CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1403,1,255,36,7,3,1,8,1,7,1,4,4,0,0,2,2,0,0,0,331,0,12,343,734
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,2,389,66,6,6,9,3,5,178,5,5,1,0,0,0,8,1,0,3,685,0,7,692,1035
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,2,378,47,1,4,6,5,3,153,0,5,0,0,0,1,2,2,0,1,608,0,8,616,948
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,2,365,46,7,12,15,7,5,259,5,2,1,0,0,2,1,2,0,0,729,0,12,741,1091
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,2,99,34,2,11,4,7,2,176,8,0,0,0,0,3,4,3,0,0,353,0,11,364,480
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,2,289,55,10,10,13,10,2,561,5,5,0,0,0,3,10,5,0,3,981,0,14,995,1381
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,2,211,56,3,4,10,7,6,281,5,5,0,1,0,0,3,2,0,0,594,0,9,603,855
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1410,1,167,51,8,3,16,0,6,185,4,0,0,0,0,4,11,0,2,2,459,0,14,473,706
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,2,253,52,5,4,8,7,7,175,3,2,1,0,0,1,3,1,0,2,524,0,8,532,838
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,4,353,99,13,20,17,23,9,946,14,3,2,1,0,6,20,8,2,10,1546,0,31,1577,2329
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4696,2,76,106,9,6,13,6,2,271,4,1,2,0,0,3,6,3,0,4,512,0,8,520,808
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4697,2,129,176,15,11,25,11,4,591,2,0,0,0,0,4,21,7,2,0,998,0,18,1016,1475
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4698,2,110,135,16,3,8,8,8,344,8,4,2,0,0,2,6,3,1,1,659,0,11,670,968
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4699,2,178,151,20,6,23,7,11,500,8,3,1,0,0,4,10,2,0,3,927,0,20,947,1375
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4700,2,125,137,10,8,26,13,5,419,12,0,1,0,0,2,12,6,0,2,778,0,24,802,1161
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4701,2,112,125,5,14,15,7,12,366,4,0,2,0,1,5,4,6,2,1,681,0,19,700,1071
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4702,2,224,111,9,3,16,5,9,230,12,2,0,1,0,4,2,2,0,2,632,0,13,645,860
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4703,2,184,110,11,8,22,6,6,226,7,4,2,0,0,6,1,2,1,1,597,0,32,629,1028
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4704,1,75,33,4,10,3,4,1,48,4,1,0,0,0,1,1,0,0,0,185,0,11,196,297
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4705,1,108,61,5,6,13,5,6,103,7,4,3,1,0,0,2,1,1,0,326,0,20,346,498
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4706,1,60,78,6,6,7,5,3,115,2,0,0,0,0,4,0,0,1,0,287,0,19,306,430
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4707,2,167,151,14,7,9,4,5,232,5,3,1,1,0,3,2,2,0,2,608,0,27,635,889
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4708,2,227,140,16,6,14,12,10,231,5,3,1,0,0,2,4,3,0,0,674,0,33,707,998
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4709,1,99,125,8,3,13,9,12,219,8,1,0,0,0,1,1,0,0,0,499,0,10,509,685
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4710,2,213,195,9,5,20,19,7,271,15,4,2,3,0,5,14,3,2,6,793,1,22,816,1054
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4711,2,133,179,9,6,8,15,6,184,13,3,0,2,0,4,7,1,0,1,571,2,12,585,807
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2776,3,492,172,22,10,19,22,21,235,7,10,4,2,1,1,2,1,0,2,1023,0,20,1043,1667
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2777,3,499,136,29,6,15,21,25,292,9,8,3,3,0,9,6,2,0,4,1067,0,23,1090,1835
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2778,1,91,20,8,3,12,6,6,38,1,3,0,0,0,0,3,1,0,0,192,0,4,196,346
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2779,1,85,37,6,4,6,2,4,39,1,1,1,1,0,0,1,0,0,0,188,0,8,196,340
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2780,1,33,47,5,1,2,0,0,27,0,3,1,0,0,0,0,1,0,2,122,0,11,133,198
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2781,2,101,66,17,5,8,5,7,92,4,2,4,0,0,0,2,2,0,2,317,0,8,325,529
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2782,1,28,30,3,3,1,3,4,15,0,3,1,0,0,3,0,0,0,1,95,0,4,99,192
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2783,1,80,53,0,3,5,13,9,8,4,1,2,0,0,1,0,0,0,0,179,0,12,191,273
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2784,2,79,43,6,2,2,11,4,20,1,2,0,0,0,1,0,0,0,1,172,0,5,177,285
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2785,1,123,36,5,7,6,3,5,32,4,1,0,3,0,0,0,1,0,0,226,0,6,232,370
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2786,1,135,62,8,11,15,8,4,115,3,1,1,0,0,3,3,2,0,1,372,0,13,385,567
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2787,1,183,100,10,9,7,5,8,85,4,2,1,0,0,3,1,0,1,0,419,0,15,434,604
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2788,2,262,63,11,7,12,11,13,67,5,15,3,1,0,1,1,1,0,1,474,0,19,493,909
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2789,1,39,30,2,1,5,3,4,36,2,0,1,0,0,0,0,0,0,0,123,0,3,126,201
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2790,2,263,276,37,5,7,10,7,132,4,2,4,1,1,5,0,2,0,1,757,0,20,777,1172
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2791,1,79,42,3,0,1,4,2,37,0,1,0,0,0,0,0,0,0,0,169,0,2,171,263
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2792,1,78,41,2,4,3,4,3,54,3,0,0,0,0,4,2,0,0,1,199,0,5,204,402
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2793,1,138,38,8,2,9,5,13,43,0,6,1,0,0,1,1,0,0,0,265,0,21,286,528
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2794,1,121,65,6,1,5,3,8,61,3,1,2,0,1,2,2,0,0,0,281,0,15,296,470
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2795,2,97,28,7,1,8,11,11,86,7,0,0,1,0,0,0,0,0,0,257,0,4,261,435
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2796,1,50,8,1,1,4,0,3,10,1,0,0,0,0,0,1,0,0,0,79,0,3,82,117
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2797,1,184,27,7,3,3,3,21,34,1,0,0,0,0,0,0,0,0,0,283,0,3,286,468
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2798,1,80,77,9,5,2,2,6,108,3,1,3,0,0,0,1,0,0,0,297,0,8,305,557
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2799,1,78,23,6,1,5,3,4,30,3,2,2,0,0,0,2,1,0,0,160,0,6,166,277
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2800,1,68,13,8,3,5,0,3,58,2,4,0,1,0,0,0,0,0,0,165,0,6,171,261
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2801,1,79,50,5,4,5,7,10,69,6,1,0,0,0,0,1,0,3,0,240,0,14,254,490
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2802,2,255,59,18,8,11,3,16,109,6,4,1,0,0,2,1,1,0,1,495,0,14,509,971
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2803,1,55,17,4,4,5,4,1,54,2,0,1,0,0,0,0,0,0,1,148,0,5,153,234
3,30,VERACRUZ,1,PANUCO,122,OZULUAMA,2804,1,70,27,3,5,3,2,5,41,2,0,0,0,0,2,1,0,0,0,161,0,4,165,282
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2814,1,137,39,6,9,14,6,12,217,7,1,1,1,0,0,1,4,4,0,459,0,22,481,715
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2815,2,149,55,3,4,22,8,6,358,4,3,0,0,0,1,5,4,0,1,623,0,15,638,909
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2816,3,273,77,17,7,44,10,11,533,11,3,3,0,0,0,11,10,0,3,1013,0,43,1056,1583
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2817,2,181,59,9,11,37,13,12,450,12,2,1,2,0,3,11,1,0,2,806,0,20,826,1160
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2818,1,165,75,2,6,9,3,6,243,5,1,0,2,0,3,8,1,0,1,530,0,11,541,722
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2819,5,493,237,21,25,68,26,32,1199,22,7,2,0,0,5,22,12,5,6,2182,0,31,2213,3266
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2820,2,175,100,9,5,17,3,6,297,5,1,2,0,0,6,3,0,0,1,630,0,12,642,915
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2821,1,110,37,0,9,10,2,3,173,5,0,0,1,0,1,3,0,0,0,354,0,7,361,515
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2822,1,164,63,3,6,13,5,5,213,4,2,0,0,0,2,3,4,0,3,490,0,10,500,743
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2823,2,205,48,3,6,15,8,7,365,4,2,1,0,0,3,7,1,1,1,677,0,26,703,1048
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2824,2,191,65,9,7,31,6,12,474,18,0,4,1,0,0,13,2,0,1,834,0,16,850,1277
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2825,2,292,44,6,17,27,9,8,419,14,1,6,2,0,2,6,2,0,3,858,1,33,892,1359
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2826,2,222,55,10,10,21,10,8,234,11,0,2,1,0,2,4,0,0,2,592,0,24,616,950
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2827,2,239,30,11,13,14,13,5,386,9,0,3,1,0,0,6,4,1,1,736,0,15,751,1076
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2828,1,97,30,4,10,8,5,8,201,6,1,0,1,0,1,4,5,1,4,386,0,10,396,614
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2829,1,117,56,0,5,13,4,6,221,5,1,0,2,0,1,2,0,0,1,434,1,9,444,693
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2830,2,174,85,6,31,18,8,10,329,8,5,1,1,0,0,6,3,0,4,689,0,17,706,999
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2831,2,180,66,6,14,14,4,9,282,11,2,3,2,0,4,3,0,0,1,601,0,19,620,1086
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2832,2,206,43,4,15,16,2,2,264,3,1,0,0,0,0,4,1,0,0,561,0,6,567,754
