ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,ZACATECAS,62,134,5895,7338,1284,2010,4001,813,901,20151,695,1367,802,598,113,51,19,8,321,158,21,72,,46618,59,1653,48330,74371,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D01MR.jpg
32,ZACATECAS,2,ZACATECAS,79,135,8567,8277,1011,1580,4840,781,1879,14831,626,1351,608,715,194,137,28,10,223,125,11,64,,45858,20,1811,47689,71666,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D02MR.jpg
32,ZACATECAS,3,GUADALUPE,59,117,3988,9805,679,2051,1315,813,1039,17385,606,1987,703,363,62,22,12,1,285,127,23,62,,41328,27,1481,42836,66104,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D03MR.jpg
32,ZACATECAS,4,GUADALUPE,55,122,3149,11221,613,2908,1056,583,1721,17486,577,1388,421,308,37,12,11,11,351,177,30,72,,42132,23,1247,43402,68242,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D04MR.jpg
32,ZACATECAS,5,FRESNILLO,70,119,3322,7336,876,4216,928,445,988,15826,560,638,358,290,60,38,16,3,400,360,20,76,,36756,48,1332,38136,61894,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D05MR.jpg
32,ZACATECAS,6,FRESNILLO,80,127,4175,5842,693,2991,1200,430,757,15902,676,1163,216,397,67,43,11,6,341,222,26,64,6649,41871,23,1035,42929,66283,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D06MR.jpg
32,ZACATECAS,7,FRESNILLO,128,161,3146,7075,4230,2601,7910,523,699,11170,458,465,213,267,202,181,8,16,287,242,12,50,,39755,15,1552,41322,66448,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D07MR.jpg
32,ZACATECAS,8,OJOCALIENTE,74,116,2337,13927,5081,4596,2300,353,1305,5963,659,319,113,129,171,156,13,40,246,223,35,50,,38016,16,1867,39899,58193,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D08MR.jpg
32,ZACATECAS,9,LORETO,63,110,1490,10053,1068,8331,2245,3132,494,8551,578,421,881,125,71,14,17,20,,,0,0,,37491,15,1733,39239,57602,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D09MR.jpg
32,ZACATECAS,10,JEREZ,139,165,7797,10515,460,1080,5555,428,3327,7343,311,311,470,185,113,67,23,3,72,52,7,32,,38151,14,1732,39897,66601,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D10MR.jpg
32,ZACATECAS,11,VILLANUEVA,104,136,3121,10800,6388,1987,5573,1131,963,7106,874,240,79,444,194,255,25,22,,,0,0,,39202,9,2118,41329,60674,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D11MR.jpg
32,ZACATECAS,12,VILLA DE COS,145,180,1326,14857,1084,2552,2806,356,13712,8344,256,26,170,188,57,47,6,5,163,146,14,30,,46145,24,2109,48278,65938,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D12MR.jpg
32,ZACATECAS,13,JALPA,124,157,11729,8624,1509,3754,1305,1776,1160,6031,778,211,585,92,318,144,96,16,177,110,16,31,,38462,7,2063,40532,66964,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D13MR.jpg
32,ZACATECAS,14,TLALTENANGO,150,178,13346,10939,2161,1020,2967,449,838,8617,405,495,60,4,208,196,43,10,107,47,11,63,,41986,9,1648,43643,67776,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D14MR.jpg
32,ZACATECAS,15,PINOS,119,144,2232,19457,5304,1165,943,525,432,9656,312,129,104,1351,92,118,7,31,126,75,6,40,,42105,26,1676,43807,62937,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D15MR.jpg
32,ZACATECAS,16,RIO GRANDE,88,126,3940,10449,6634,1662,2330,504,1217,6742,360,415,430,142,193,340,10,26,158,116,23,60,,35751,6,1774,37531,61223,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D16MR.jpg
32,ZACATECAS,17,SOMBRERETE,120,148,5400,9826,3045,1111,1418,569,615,6887,335,3330,82,97,205,248,22,19,150,84,12,42,,33497,5,1430,34932,58489,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D17MR.jpg
32,ZACATECAS,18,JUAN ALDAMA,98,134,5382,12740,668,3534,833,305,577,10932,323,738,218,396,73,78,14,4,185,208,22,57,,37287,10,1500,38797,61054,http://www.ieez.org.mx/PE2018/SesionComputo_2018/D18MR.jpg
