CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,1,1,46,88,2,6,70,2,22,79,0,0,1,,0,0,0,0,0,0,0,0,,316,1,8,325,482
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,2,1,39,72,2,0,61,4,12,89,3,0,0,,2,2,0,0,1,0,0,0,,287,0,6,293,479
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,3,2,69,159,7,4,126,4,36,124,2,3,3,,1,0,1,0,0,2,0,1,,542,0,24,566,911
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,4,1,34,93,2,1,51,8,26,75,3,3,1,,0,0,0,0,0,0,0,0,,297,0,12,309,438
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,5,1,32,56,9,1,47,2,2,34,1,0,1,,0,0,0,0,0,0,0,0,,185,0,8,193,319
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,6,1,72,111,14,2,70,5,7,90,0,0,0,,2,0,1,0,1,0,0,0,,375,0,9,384,663
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,7,1,10,112,2,2,15,3,1,18,0,1,1,,0,0,0,0,0,0,0,0,,165,0,7,172,313
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,8,1,34,169,2,6,85,3,6,54,2,2,0,,0,0,0,0,1,0,0,1,,365,0,13,378,587
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,9,1,32,64,0,2,28,0,1,16,1,1,1,,1,0,0,0,0,0,0,0,,147,0,3,150,247
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,10,1,25,77,1,4,67,0,9,41,0,2,0,,0,0,0,0,0,0,0,0,,226,0,17,243,324
1,32,ZACATECAS,14,TLALTENANGO,1,APOZOL,13,1,37,80,6,1,104,0,5,84,2,3,2,,2,0,1,0,0,0,0,0,,327,0,5,332,583
1,32,ZACATECAS,13,JALPA,2,APULCO,14,1,46,188,73,74,0,23,49,63,5,4,49,2,0,0,0,0,0,0,0,0,,576,0,21,597,709
1,32,ZACATECAS,13,JALPA,2,APULCO,15,1,77,130,5,15,6,22,70,57,9,2,46,1,0,1,1,0,2,0,0,0,,444,0,39,483,745
1,32,ZACATECAS,13,JALPA,2,APULCO,16,1,3,19,1,7,2,5,22,14,5,0,12,0,0,0,0,0,0,0,0,0,,90,0,21,111,204
1,32,ZACATECAS,13,JALPA,2,APULCO,17,2,20,214,21,35,11,15,76,141,18,1,149,1,0,0,0,2,3,0,0,2,,709,0,56,765,1132
1,32,ZACATECAS,13,JALPA,2,APULCO,18,1,15,133,8,27,6,15,27,50,9,4,97,0,0,0,0,0,1,0,0,0,,392,0,22,414,630
1,32,ZACATECAS,13,JALPA,2,APULCO,19,1,5,90,0,15,3,2,9,25,2,2,33,1,0,0,0,0,0,0,0,0,,187,0,6,193,314
1,32,ZACATECAS,13,JALPA,2,APULCO,20,1,22,124,0,34,10,0,33,0,0,0,42,0,0,0,0,0,0,0,0,0,,265,0,30,295,442
1,32,ZACATECAS,13,JALPA,2,APULCO,21,1,8,44,5,0,5,7,4,13,3,0,7,0,1,0,0,0,0,0,0,0,,97,0,7,104,167
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,22,1,193,103,3,10,123,6,3,29,11,3,0,,2,1,0,0,0,0,0,1,,488,0,12,500,792
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,23,1,74,39,3,6,61,1,25,4,0,0,0,,0,0,0,0,0,0,0,0,,213,0,12,225,349
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,24,1,91,35,2,10,82,4,8,30,2,1,0,,2,1,0,0,1,0,1,2,,272,0,17,289,438
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,26,1,80,32,2,5,45,0,1,20,4,1,0,,0,0,0,0,0,0,0,0,,190,0,0,190,309
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,27,1,67,19,4,1,29,1,0,2,3,1,0,,0,1,0,0,0,0,0,0,,128,0,3,131,177
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,28,1,36,30,2,0,23,0,2,0,0,0,0,,0,1,0,0,0,1,0,0,,95,0,3,98,131
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,29,1,26,16,2,0,30,1,1,2,0,0,0,,1,0,0,0,0,0,0,0,,79,0,4,83,110
1,32,ZACATECAS,14,TLALTENANGO,3,ATOLINGA,30,1,36,6,2,0,15,0,1,4,0,0,0,,0,1,0,0,0,0,0,0,,65,0,11,76,107
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,31,1,115,49,3,6,0,1,3,65,0,1,0,,1,0,0,0,1,0,3,0,,248,0,11,259,395
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,32,1,191,69,5,10,2,3,3,64,4,3,0,,1,1,1,1,1,1,0,0,,360,0,2,362,500
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,33,1,148,57,0,2,3,0,1,44,4,0,0,,0,0,1,0,0,1,0,0,,261,0,4,265,387
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,34,1,199,43,3,8,0,2,3,46,5,1,0,,0,1,0,0,0,1,0,0,,312,0,9,321,450
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,35,1,211,92,4,5,1,2,5,48,3,1,0,,1,2,0,0,1,1,0,0,,377,0,8,385,585
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,36,1,166,43,4,3,0,2,0,28,3,1,0,,0,2,0,0,1,0,0,0,,253,0,6,259,374
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,37,1,112,24,0,2,0,0,3,16,1,1,0,,1,0,1,0,1,0,0,0,,162,0,6,168,246
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,38,1,95,107,0,4,1,0,2,24,2,0,1,,0,1,0,0,1,0,1,3,,242,0,6,248,350
1,32,ZACATECAS,14,TLALTENANGO,4,BENITO JUAREZ,39,1,96,40,1,5,0,2,2,13,1,0,0,,0,2,0,0,0,0,0,0,,162,0,2,164,191
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,40,5,598,262,39,52,170,27,29,529,25,88,8,47,19,12,5,1,5,5,1,1,,1923,0,71,1994,3318
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,41,3,382,158,33,25,103,15,25,288,12,74,3,17,6,8,1,0,4,0,0,1,,1155,0,41,1196,1901
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,42,1,121,62,8,9,26,2,3,92,4,22,4,5,0,0,0,0,4,0,0,0,,362,0,1,363,583
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,43,2,217,79,6,14,36,5,48,96,4,16,0,6,9,0,1,0,1,1,0,0,,539,0,17,556,840
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,44,2,204,156,6,16,35,7,44,120,13,12,2,9,2,4,0,0,2,2,0,2,,636,0,23,659,1160
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,45,2,178,71,11,7,54,7,6,137,13,12,0,7,2,1,2,0,3,1,0,1,,513,0,12,525,857
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,46,2,153,91,16,7,40,5,6,100,7,22,5,8,3,3,0,0,0,0,0,0,,466,1,18,485,826
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,47,2,149,97,8,13,62,4,9,138,6,22,3,16,10,1,0,0,2,0,0,0,,540,0,33,573,804
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,48,6,635,352,51,47,206,31,68,518,34,74,15,72,6,11,1,0,8,5,0,2,,2136,1,95,2232,3765
1,32,ZACATECAS,2,ZACATECAS,5,CALERA,49,1,104,79,9,5,37,10,7,72,4,10,2,3,3,0,0,0,0,1,0,0,,346,0,14,360,574
