CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,PT_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1604,5,271,197,27,14,516,10,12,19,95,4,18,8,1,2,2,0,9,27,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,1251,61,1312,3087
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1605,4,221,156,17,11,395,13,12,80,102,13,7,19,1,0,2,0,0,16,0,1,1,2,0,0,0,0,0,0,0,0,14,0,0,1083,50,1133,2955
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1607,3,146,105,22,12,285,11,8,1,75,28,8,16,3,0,0,0,1,11,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,743,37,780,2107
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1608,6,308,126,41,11,779,20,15,13,175,13,18,26,2,0,6,0,0,28,3,0,1,5,0,0,0,0,0,0,0,0,28,0,0,1618,83,1701,4108
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1610,9,750,134,31,26,412,28,18,26,225,12,36,32,0,4,3,0,1,20,0,0,1,2,0,0,0,0,0,0,0,0,59,0,1,1820,53,1874,5409
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1611,5,386,194,13,12,347,9,4,16,186,13,14,17,3,1,1,0,3,18,0,0,1,5,0,0,0,0,0,0,0,0,39,0,0,1282,68,1350,3598
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1612,4,332,101,17,6,287,7,9,18,103,5,11,14,0,1,2,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,14,0,2,939,40,981,2389
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1618,3,318,60,15,21,228,7,7,3,103,3,10,3,1,0,1,0,0,8,0,1,2,0,1,0,0,0,0,0,0,0,9,0,0,801,29,830,2029
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1619,3,408,50,9,17,167,4,5,3,111,1,6,4,1,1,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,8,0,11,804,21,836,1828
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1620,3,547,46,10,5,191,11,8,1,116,8,13,12,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1003,37,1040,2203
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1621,2,184,33,5,4,80,6,5,1,35,2,5,4,0,0,1,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,11,0,1,387,18,406,839
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1622,8,446,133,27,20,832,17,28,49,150,6,15,45,3,2,2,0,5,20,1,1,5,3,0,0,0,0,0,0,0,0,22,0,2,1832,58,1892,5654
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1623,3,124,123,28,12,487,6,17,40,79,5,12,12,5,1,1,0,2,16,3,2,2,2,1,0,0,0,0,0,0,0,9,0,0,989,32,1021,2249
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1624,3,109,40,13,8,233,12,2,2,57,1,9,8,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,512,23,535,2143
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1625,4,244,81,11,18,498,7,15,6,109,14,11,62,2,1,5,0,0,24,0,0,3,2,0,0,0,0,0,0,0,0,18,0,1,1131,55,1187,2999
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1626,3,298,41,24,8,177,3,3,6,70,1,13,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,670,23,693,1505
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1627,2,301,20,9,10,149,4,8,1,53,7,5,5,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,599,21,620,1405
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1628,3,365,32,9,11,125,11,12,1,66,3,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,679,20,699,1564
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1629,5,753,113,16,33,236,5,8,3,173,6,13,13,2,1,0,0,0,12,0,1,1,1,0,0,0,0,0,0,0,0,41,0,0,1431,39,1470,3446
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1630,3,321,60,13,9,215,3,7,1,93,5,4,6,0,1,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,17,0,2,767,15,784,1856
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1631,3,200,30,5,6,147,7,3,3,59,4,6,3,1,1,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,499,16,515,2009
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1632,3,195,15,2,3,126,4,3,3,28,2,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,407,9,417,1558
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1653,3,544,51,9,10,128,6,11,3,101,0,2,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,22,0,3,896,11,910,1905
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1654,2,349,29,2,9,118,3,1,1,54,4,4,6,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,599,16,615,1390
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1655,3,386,32,3,12,173,20,5,6,72,5,5,6,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,758,28,786,1598
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1656,2,285,16,3,5,93,5,4,5,62,6,2,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,509,20,529,1236
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1657,5,642,66,8,18,238,18,14,11,105,5,10,14,4,2,0,0,1,6,1,0,3,0,0,0,0,0,0,0,0,0,43,0,0,1209,35,1244,3039
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1658,5,792,75,15,10,363,11,7,9,55,3,13,13,9,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,1426,36,1463,3131
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1659,4,412,63,18,13,248,15,10,5,161,10,22,10,3,0,1,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,17,0,0,1019,31,1050,2735
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1660,4,211,98,24,14,336,11,5,10,100,10,7,4,2,3,1,0,0,24,0,0,2,1,0,0,0,0,0,0,0,0,25,0,0,888,38,926,2491
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1661,5,179,115,10,7,368,7,6,7,87,4,8,10,2,2,0,0,0,15,0,0,2,1,0,0,0,0,0,0,0,0,12,0,0,842,50,892,3048
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1662,4,620,30,10,16,153,12,7,7,67,11,9,6,0,1,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,23,0,3,979,28,1010,2366
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1663,5,686,64,13,13,262,16,20,3,104,4,17,11,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,50,0,1,1273,32,1306,3268
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1664,3,288,46,5,8,130,6,4,4,52,2,4,2,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,576,28,604,1543
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1665,2,297,31,5,14,88,5,2,1,46,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,511,20,532,1082
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1666,3,341,22,4,5,124,5,2,0,59,3,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,596,19,615,1562
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1667,2,199,25,5,4,117,3,2,4,20,3,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,394,8,402,819
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1681,2,299,23,5,6,62,9,2,1,35,0,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,468,10,478,983
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1682,2,323,26,8,15,130,6,2,5,82,2,5,2,2,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,624,13,637,1495
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1683,3,297,32,4,13,96,4,3,2,59,12,2,6,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,547,19,566,1559
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1684,3,255,31,5,4,251,7,5,1,52,14,8,7,1,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,663,21,684,1634
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1685,4,926,70,14,16,215,35,9,4,57,4,5,12,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,48,0,0,1421,17,1438,2786
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1686,3,314,52,24,9,213,10,3,1,82,7,21,11,1,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,17,0,8,781,23,812,2008
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1687,2,251,35,9,9,99,5,2,3,38,1,6,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,480,18,499,1103
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1688,2,235,31,5,5,76,11,4,1,36,5,8,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,433,13,446,1066
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1689,3,408,24,2,7,112,5,7,3,85,2,9,8,0,1,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,697,10,707,1623
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1690,3,305,44,8,15,127,4,4,2,54,3,8,6,0,0,1,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,7,0,2,598,14,614,1519
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1691,2,261,29,4,4,104,4,2,2,44,3,5,4,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,9,0,2,486,12,500,1178
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1692,2,215,33,2,7,101,7,0,1,42,3,5,3,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,444,14,458,1097
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1693,2,228,25,9,6,101,4,4,3,58,0,4,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,466,5,472,1051
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1712,3,250,71,5,8,135,13,2,1,74,7,5,7,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,602,20,622,1537
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1713,3,208,34,15,17,195,6,6,3,85,6,1,11,3,1,1,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,614,24,638,1543
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1714,3,309,59,6,21,184,4,3,3,99,5,6,14,2,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,28,0,1,748,37,786,1722
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1715,3,244,41,15,10,198,6,4,5,100,9,5,1,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,22,0,1,676,24,701,1609
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1716,3,266,52,8,14,178,7,4,2,82,3,8,5,0,1,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,23,0,0,660,32,692,1684
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1717,4,429,97,19,11,327,11,6,10,165,11,15,9,1,1,6,0,0,19,0,0,1,1,0,0,0,0,0,0,0,0,22,0,4,1161,28,1193,2746
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1718,2,283,39,8,12,161,7,1,7,62,5,11,2,1,1,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,15,0,0,628,22,650,1414
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1719,2,249,27,5,1,140,5,5,2,35,5,4,9,0,0,2,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,509,13,522,1151
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1720,3,307,32,19,18,194,13,4,6,79,2,4,10,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,705,21,727,1774
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1721,3,240,68,7,10,157,14,3,3,74,1,17,9,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,21,0,1,632,25,658,1634
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1727,3,281,37,14,16,170,7,5,21,68,33,14,10,0,1,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0,0,13,0,0,700,26,726,1810
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1728,2,159,22,5,16,184,4,3,1,61,3,7,1,1,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,488,25,513,1319
