CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,COMUN_PRI_PVEM,COMUN_PRD_PT,COMUN_PRI_PVEM_NVA_ALIANZA,COMUN_PRD_PT_PAN,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRD_PT,PRD_PAN,PT_PAN,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,1,2,112,138,203,3,21,90,1,24,18,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,622,45,668,1372
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,2,2,78,163,116,7,20,83,3,20,4,12,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,515,31,546,1094
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,3,4,112,284,232,9,34,193,24,37,15,7,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,964,42,1006,2266
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,4,2,80,103,107,1,25,30,15,8,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,382,28,414,980
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,5,2,64,78,131,4,16,17,6,10,6,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,339,36,375,804
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,6,2,68,89,85,6,11,58,6,8,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,27,374,832
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,7,2,102,174,106,5,36,37,2,17,12,8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,505,38,547,1351
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,8,2,88,115,90,6,17,30,7,12,4,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,380,16,398,896
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,9,2,66,76,72,11,13,30,4,6,5,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,292,17,309,804
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,10,2,44,144,92,4,15,32,10,18,5,11,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2,383,24,409,957
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,11,2,41,134,70,7,20,20,4,12,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,317,28,345,974
4,12,GUERRERO,8,ACAPULCO DE JUAREZ,1,ACAPULCO DE JUAREZ,12,2,63,86,124,9,16,26,18,16,4,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,372,16,388,962
