ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PRD,PRI_PVEM,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
14,JALISCO,1,ACATIC,11,24,3769,1065,1470,1736,,471,116,,,,,167,,,,,1,8794,255,9050,15978,0.5664
14,JALISCO,2,ACATLÁN DE JUÁREZ,11,27,2019,2727,108,1141,,3620,285,707,,,103,,,,,,1,10710,143,10854,17367,0.6250
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,2374,4240,247,268,,3202,1260,217,,,80,,,,,,0,11888,145,12033,17285,0.6962
14,JALISCO,4,AMACUECA,4,9,758,1210,666,,,,,53,,,,,,,,,0,2687,55,2742,4519,0.6068
14,JALISCO,5,AMATITÁN,8,19,426,1822,1874,365,,1654,,498,438,,89,,,,,,0,7166,73,7239,10884,0.6651
14,JALISCO,6,AMECA,43,86,2734,6361,786,482,1994,5175,2448,1014,943,860,169,576,,,,,28,23542,586,24156,47814,0.5052
14,JALISCO,8,ARANDAS,30,83,7297,11299,,375,,2295,465,200,,6356,,389,,,,,7,28676,862,29545,52235,0.5656
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,8,1871,1295,89,,,196,,,,,53,,,,,,0,3504,33,3537,4530,0.7808
14,JALISCO,11,ATENGO,6,10,1294,1627,,13,,186,,,,,,,,,,,3,3120,57,3180,4572,0.6955
14,JALISCO,12,ATENGUILLO,5,8,167,1071,,,,1250,,,,,,,,,,,1,2488,43,2532,3592,0.7049
14,JALISCO,13,ATOTONILCO EL ALTO,27,74,4660,9797,,3078,,5755,,567,,,,,,,,,4,23857,654,24515,45675,0.5367
14,JALISCO,14,ATOYAC,6,14,1752,1761,59,518,110,188,64,,,,,,,,,,1,4452,103,4556,7056,0.6457
14,JALISCO,15,AUTLÁN DE NAVARRO,30,78,3301,6611,4908,349,436,5293,728,475,577,157,,114,,,,,6,22949,558,23513,47653,0.4934
14,JALISCO,16,AYOTLÁN,19,46,2755,5458,207,119,,259,,,,7670,69,,,,,,1,16537,336,16874,28284,0.5966
14,JALISCO,17,AYUTLA,12,20,2508,2113,58,111,43,2016,,,,,,49,,,,,4,6898,105,7007,10667,0.6569
14,JALISCO,19,BOLAÑOS,4,9,1409,1872,,,,731,388,15,,,,,,,,,0,4415,57,4472,5502,0.8128
14,JALISCO,20,CABO CORRIENTES,6,16,,2417,,1969,,1583,,,314,,,,,,,,0,6283,101,6384,8889,0.7182
14,JALISCO,117,CAÑADAS DE OBREGÓN,7,9,813,1183,30,,,217,,,,,,,,,,,1,2243,65,2309,3780,0.6108
14,JALISCO,21,CASIMIRO CASTILLO,14,27,1168,3488,236,,,2277,,1193,,,183,,,,,,3,8545,200,8748,16082,0.5440
14,JALISCO,31,CHAPALA,19,56,4722,6349,365,355,296,6715,377,266,,121,,668,,,,,2,20234,377,20613,35780,0.5761
14,JALISCO,32,CHIMALTITÁN,3,5,992,955,19,,,34,,0,,,,,,,,,0,2000,16,2016,2599,0.7757
14,JALISCO,33,CHIQUILISTLÁN,4,7,441,905,1398,57,,126,,83,7,,,,,,,,21,3017,45,3083,4257,0.7242
14,JALISCO,22,CIHUATLÁN,17,45,2123,5344,346,137,,6907,208,208,,78,,203,,,,,4,15554,218,15776,26788,0.5889
14,JALISCO,25,COCULA,17,37,2084,4466,620,215,,3108,,130,1843,118,238,208,,,,,2,13030,269,13301,22732,0.5851
14,JALISCO,26,COLOTLÁN,15,28,3931,2299,70,121,,2514,,115,,24,,,,,,,0,9074,129,9203,14327,0.6424
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,4,8,770,1345,,,,1210,,,,,,,,,,,0,3325,61,3386,4836,0.7002
14,JALISCO,28,CUAUTITLÁN DE GARCÍA BARRAGÁN,9,23,4888,4646,,,,721,,25,,,,,,,,,0,10280,98,10378,13093,0.7926
14,JALISCO,29,CUAUTLA,4,5,875,549,,,,,,,,,,,,,,,0,1424,9,1433,2167,0.6613
14,JALISCO,30,CUQUÍO,12,25,165,2360,1201,52,3099,2326,,194,,,,115,,,,,3,9512,153,9668,13949,0.6931
14,JALISCO,34,DEGOLLADO,16,32,4831,4012,357,,,530,,,,,,,,,,,1,9730,149,9880,18093,0.5461
14,JALISCO,35,EJUTLA,2,4,214,536,4,,,450,,,,,,,,,,,0,1204,25,1229,1972,0.6232
14,JALISCO,9,EL ARENAL,5,20,2357,2209,,1687,1267,817,,215,,18,,,,,,,1,8570,110,8681,13483,0.6438
14,JALISCO,39,EL GRULLO,12,31,2374,3744,381,491,,1803,,56,,153,,,,,,,3,9002,195,9200,19512,0.4715
14,JALISCO,56,EL LIMÓN,6,10,445,1082,1522,,,36,,102,,31,,,,,,,1,3218,95,3314,5579,0.5940
14,JALISCO,72,EL SALTO,27,157,8866,16919,612,1032,1938,11776,,893,853,3014,287,,,,,,62,46190,1437,47689,106199,0.4491
14,JALISCO,36,ENCARNACIÓN DE DÍAZ,31,66,12287,6697,,104,,1107,251,185,,1292,,146,,,,,5,22069,434,22508,36678,0.6137
14,JALISCO,37,ETZATLÁN,11,26,3113,623,,471,,3940,1052,,,87,,192,,,,,0,9478,137,9615,14608,0.6582
14,JALISCO,38,GOMEZ FARÍAS,8,19,896,2042,1616,530,,2191,140,,,,,,,,,,1,7415,110,7526,11512,0.6538
14,JALISCO,40,GUACHINANGO,8,10,347,740,71,324,277,447,271,26,,,,,,,,,0,2503,68,2571,3687,0.6973
14,JALISCO,41,GUADALAJARA,985,2149,60942,165230,7024,11786,16459,337297,10958,8031,6966,10952,,7063,,,,4835,405,647543,15659,663607,1271997,0.5217
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,864,1912,1666,87,,28,,,,2,,,,,,,0,4559,97,4656,6838,0.6809
14,JALISCO,43,HUEJÚCAR,5,10,1024,1474,37,,,931,,15,,,,,,,,,0,3481,44,3525,5237,0.6731
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,14,2257,1636,,,,755,,,,,,,,,,,0,4648,89,4737,7037,0.6732
14,JALISCO,46,IXTLAHUACÁN DE LOS MEMBRILLOS,12,51,1019,8401,1681,777,,1660,,564,,,429,,,,,,6,14531,378,14915,28803,0.5178
14,JALISCO,47,IXTLAHUACÁN DEL RIO,11,26,503,2568,299,254,3233,1663,,,,,,,,,,,1,8520,162,8683,14957,0.5805
14,JALISCO,48,JALOSTOTITLÁN,22,43,4951,3434,274,,,748,1151,113,1117,,,,,,,,3,11788,322,12113,23027,0.5260
14,JALISCO,49,JAMAY,12,29,2665,4583,,623,292,767,539,742,304,,,,,,,,1,10515,163,10679,18179,0.5874
14,JALISCO,50,JESÚS MARIA,14,27,3590,3735,,914,,185,,,,,,,,,,,3,8424,218,8645,15995,0.5405
14,JALISCO,51,JILOTLÁN DE LOS DOLORES,9,14,423,1668,,,,2444,,,,,,,,,,,4,4535,53,4592,6559,0.7001
14,JALISCO,52,JOCOTEPEC,18,52,4278,1693,468,2492,121,8281,315,91,,,,609,,,,,7,18348,359,18714,31886,0.5869
14,JALISCO,53,JUANACATLÁN,7,17,1399,2092,237,58,,2763,,167,,252,,,,,,,1,6968,92,7061,10742,0.6573
14,JALISCO,54,JUCHITLÁN,6,9,864,1320,108,,178,567,,266,85,,29,,,,,,6,3417,42,3465,5053,0.6857
14,JALISCO,18,LA BARCA,36,92,5262,6563,983,289,423,5880,4678,799,,,,83,,,,,96,24960,579,25635,53280,0.4811
14,JALISCO,45,LA HUERTA,18,32,3342,3710,70,165,,4089,,,,,,219,,,,,1,11595,207,11803,18315,0.6444
14,JALISCO,55,LAGOS DE MORENO,71,193,11437,21682,235,608,391,17331,1277,1226,,,247,1165,,,,,37,55599,1599,57235,114615,0.4994
