CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0188,B,53,51,16,5,,,,,48,3,12,50,34,13,13,0,298,26,324,655,ACTA LEVANTADA EN CONSEJO,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0188,C01,68,40,21,6,,,,,51,2,23,46,28,19,11,0,315,18,333,655,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0188,C02,92,50,24,6,,,,,55,2,13,39,28,20,9,2,338,23,363,655,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0188,C03,49,45,18,16,,,,,49,2,18,50,21,13,7,0,288,24,312,655,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0188,C04,67,46,24,7,,,,,51,6,14,47,15,18,9,1,304,22,327,655,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0189,B,62,57,28,7,,,,,48,2,24,35,27,12,13,0,315,25,340,721,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0189,C01,51,53,24,14,,,,,44,3,22,40,36,12,10,0,309,26,335,721,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0190,B,52,61,28,9,,,,,35,2,15,28,23,12,6,0,271,30,301,701,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0190,C01,62,55,30,6,,,,,29,2,14,53,44,18,4,0,317,17,334,701,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0190,C02,59,47,37,12,,,,,40,7,20,32,32,13,13,0,312,27,339,701,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0190,C03,59,73,26,5,,,,,33,4,21,26,49,9,14,3,319,32,354,700,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0191,B,45,47,31,13,,,,,40,2,11,42,37,10,12,1,290,24,315,667,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0191,C01,49,41,25,4,,,,,51,9,16,47,32,13,9,0,296,17,313,667,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0191,C02,52,61,19,4,,,,,44,6,18,38,25,14,10,2,291,14,307,667,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0192,B,54,58,26,10,,,,,58,7,14,50,32,16,9,0,334,23,357,717,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0192,C01,58,43,15,8,,,,,61,4,18,62,36,20,14,1,339,18,358,717,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0192,C02,56,51,19,5,,,,,58,3,14,53,43,21,14,2,337,20,359,716,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0193,B,38,50,25,8,,,,,49,4,13,32,25,10,5,2,259,23,284,604,ACTA CASILLA,,,
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,0193,C01,39,45,20,11,,,,,48,2,13,38,20,18,12,1,266,14,281,604,ACTA CASILLA,,,
