ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
17,MORELOS,1,AMACUZAC,11,23,192,2441,423,1837,0,0,0,0,665,508,299,1265,117,443,298,4,8488,515,9007,13141,0.6854
17,MORELOS,2,ATLATLAHUCAN,12,26,1936,509,265,528,2,3,1,0,805,406,863,661,1320,194,1247,7,8740,525,9272,15489,0.5986
17,MORELOS,3,AXOCHIAPAN,20,44,1133,1153,1265,469,15,17,8,0,2766,768,2129,1332,727,355,2621,3,14758,872,15633,24522,0.6375
17,MORELOS,4,AYALA,42,99,6748,5625,6222,3610,0,0,0,0,3018,338,230,769,1114,968,265,59,28907,1819,30785,58593,0.5254
17,MORELOS,5,COATLAN DEL RIO,11,18,871,1198,686,72,0,0,0,0,1554,686,210,21,154,132,47,0,5631,322,5953,8001,0.7440
17,MORELOS,6,CUAUTLA,91,227,5346,10017,3321,3107,0,0,0,0,11691,3934,8824,1391,4405,3108,3016,77,58160,3871,62108,135212,0.4593
17,MORELOS,7,CUERNAVACA,205,510,27394,21951,8402,3832,170,40,24,173,17594,2408,7748,19892,15875,7749,6306,552,139558,11762,151872,301945,0.5030
17,MORELOS,8,EMILIANO ZAPATA,21,90,3112,1981,12138,1322,0,0,0,0,5882,1930,943,420,2539,987,1444,19,32698,1359,34076,57082,0.5957
17,MORELOS,9,HUITZILAC,11,24,1235,1366,1293,1333,0,0,0,0,1140,787,136,286,1238,248,247,3,9309,511,9823,13581,0.7233
17,MORELOS,10,JANTETELCO,8,19,174,495,390,166,2,0,1,4,1489,116,1708,565,681,805,1497,6,8093,467,8566,11774,0.7275
17,MORELOS,11,JIUTEPEC,70,248,5902,9781,5473,2044,0,0,0,0,14199,844,5863,2089,8747,4393,6437,122,65772,4496,70390,155866,0.4516
17,MORELOS,12,JOJUTLA,36,80,1086,3601,893,1247,0,0,0,0,4137,1798,750,4778,3327,782,1057,36,23456,1231,24723,45187,0.5471
17,MORELOS,13,JONACATEPEC,11,22,273,254,281,479,17,1,5,2,1485,224,2468,559,218,480,1067,2,7813,490,8305,11302,0.7348
17,MORELOS,14,MAZATEPEC,7,14,203,1934,76,47,0,0,0,0,2070,48,45,14,105,42,942,5,5526,271,5802,7800,0.7438
17,MORELOS,15,MIACATLAN,14,33,220,5284,374,186,0,0,0,0,3880,2497,287,49,169,138,110,4,13194,605,13803,19364,0.7128
17,MORELOS,16,OCUITUCO,10,22,1369,1285,61,283,0,0,0,0,3340,1380,52,435,215,526,232,1,9178,370,9549,12291,0.7769
17,MORELOS,17,PUENTE DE IXTLA,32,77,999,4153,877,6251,0,0,0,0,2026,2802,2222,913,3089,506,637,34,24475,1242,25751,46539,0.5533
17,MORELOS,18,TEMIXCO,42,134,3259,6462,3884,2446,0,0,0,0,8288,2637,1715,1205,3064,1273,1726,54,35959,2478,38491,81175,0.4742
17,MORELOS,33,TEMOAC,6,17,426,826,174,624,0,0,4,0,1156,678,1003,141,209,634,1370,55,7245,649,7949,10227,0.7773
17,MORELOS,19,TEPALCINGO,16,34,326,430,1475,172,7,1,9,1,3455,432,2714,1273,525,174,1889,10,12883,551,13444,19334,0.6954
17,MORELOS,20,TEPOZTLAN,19,47,1145,1796,670,332,0,0,0,0,3041,901,1856,1256,1762,326,870,18,13955,1040,15013,27454,0.5468
17,MORELOS,21,TETECALA,6,12,297,1535,284,76,0,0,0,0,1235,180,456,64,75,40,26,0,4268,192,4460,5964,0.7478
17,MORELOS,22,TETELA DEL VOLCAN,8,22,1415,702,226,908,0,0,0,0,2349,2017,231,503,450,79,564,1,9444,482,9927,13386,0.7416
17,MORELOS,23,TLALNEPANTLA,4,9,378,361,81,46,2,1,0,0,468,949,374,57,173,18,6,0,2914,166,3080,4751,0.6483
17,MORELOS,24,TLALTIZAPAN,27,63,1588,4923,818,484,53,15,3,306,3443,609,1008,1735,981,2476,1728,11,20170,962,21143,36369,0.5813
17,MORELOS,25,TLAQUILTENANGO,26,53,354,1751,334,711,0,0,0,0,2050,2950,547,1277,1901,1004,288,4,13167,673,13844,24301,0.5697
17,MORELOS,26,TLAYACAPAN,9,21,190,1071,143,862,4,8,4,0,2848,661,1273,66,1861,59,67,0,9117,420,9537,13206,0.7222
17,MORELOS,27,TOTOLAPAN,7,14,1047,352,72,80,1,1,0,0,1283,265,708,76,668,31,36,2,4620,188,4810,7590,0.6337
17,MORELOS,28,XOCHITEPEC,23,74,1054,9248,1333,1013,0,0,0,0,6424,245,3326,307,800,841,280,21,24871,1012,25904,45802,0.5656
17,MORELOS,29,YAUTEPEC,51,128,3453,5608,1474,1543,12,2,3,5,7747,879,3422,4453,5196,1047,1024,26,35868,1895,37789,72959,0.5179
17,MORELOS,30,YECAPIXTLA,19,56,2159,2109,445,1556,0,0,0,0,4905,4059,952,401,1913,393,259,9,19151,887,20047,33096,0.6057
17,MORELOS,31,ZACATEPEC,26,51,1255,4443,1039,277,21,13,22,59,2680,1050,819,1994,1282,548,538,4,16040,873,16917,28554,0.5925
17,MORELOS,32,ZACUALPAN,6,13,364,688,94,662,0,0,0,0,1450,760,343,37,343,246,62,2,5049,358,5409,6779,0.7979
