CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND1,PRI_PVEM_NVA_ALIANZA_PD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PD,PRI_NVA_ALIANZA_PD,PVEM_NVA_ALIANZA_PD,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PD,PVEM_NVA_ALIANZA,PVEM_PD,NVA_ALIANZA_PD,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,20,HIDALGO,1,ABASOLO,1,2,71,214,64,3,15,33,5,1,0,6,0,0,245,0,0,0,0,0,0,0,0,1,0,0,,658,13,671,820
2,19,NUEVO LEON,20,HIDALGO,1,ABASOLO,2,2,136,357,139,4,16,49,7,0,0,4,3,1,352,0,0,0,0,0,1,0,1,0,0,0,,1070,16,1086,1390
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,3,2,281,182,0,0,96,0,0,1,2,0,0,0,70,0,0,0,0,0,4,0,0,0,0,0,,636,7,643,838
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,4,1,132,103,0,1,38,0,1,1,0,0,0,0,43,0,0,0,0,0,3,0,0,0,0,0,,322,3,325,433
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,5,1,180,122,0,0,50,1,2,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,,398,4,402,515
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,6,1,151,96,0,0,81,0,0,0,0,0,1,1,58,0,0,0,0,0,5,2,0,0,0,0,,395,8,403,559
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,7,1,35,28,0,1,61,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,,128,2,130,202
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,8,1,76,90,0,0,36,0,0,0,0,0,0,0,34,0,0,0,0,0,2,0,0,6,0,0,,244,8,252,337
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,9,1,115,14,0,0,83,0,1,1,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,,235,1,236,337
2,19,NUEVO LEON,22,CHINA,2,AGUALEGUAS,10,1,85,68,0,0,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,228,4,232,374
