ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,ES,MORENA,PH,PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
22,QUERETARO,1,AMEALCO DE BONFIL,34,84,12361,12179,358,491,750,815,253,216,150,190,,,,,137,,,9,27900,1426,29335,42416,0.6916
22,QUERETARO,2,ARROYO SECO,11,22,3827,2668,364,9,52,82,11,180,43,23,,,,,14,,,0,7273,271,7544,10479,0.7199
22,QUERETARO,3,CADEREYTA DE MONTES,30,82,11191,7938,344,736,1047,3748,555,1119,777,299,,,,,134,,,28,27888,1530,29446,46624,0.6316
22,QUERETARO,4,COLON,21,65,8429,10208,472,1755,608,1612,384,483,463,622,,,,,,,,17,25036,1186,26239,39490,0.6644
22,QUERETARO,5,CORREGIDORA,62,187,27631,13529,2739,583,1572,1998,2084,3700,2338,2160,381,,69,254,,29,,152,59067,3540,62759,113775,0.5516
22,QUERETARO,6,EL MARQUES,33,145,23524,19997,1800,978,1276,2000,726,1907,679,1424,,,,,,,,43,54311,2400,56754,88846,0.6388
22,QUERETARO,7,EZEQUIEL MONTES,17,48,6023,4812,940,373,231,2569,153,2341,320,177,,,,,28,,,28,17967,817,18812,28020,0.6714
22,QUERETARO,8,HUIMILPAN,14,44,4396,3992,1216,898,2396,423,155,225,162,166,,,,,25,,,1,14054,1029,15084,25116,0.6006
22,QUERETARO,9,JALPAN DE SERRA,15,41,7080,4694,116,22,66,145,110,387,200,40,,,,,60,,,5,12920,498,13423,19170,0.7002
22,QUERETARO,10,LANDA DE MATAMOROS,14,30,4764,4377,27,16,149,259,23,101,54,31,,,,,17,,,2,9818,398,10218,14989,0.6817
22,QUERETARO,11,PEDRO ESCOBEDO,24,80,10047,10043,4496,1087,581,794,324,1072,,422,,,,,0,,,12,28866,1419,30297,46464,0.6521
22,QUERETARO,12,PEÑAMILLER,14,30,4190,4210,157,280,328,113,11,55,20,229,,,,,,,,0,9593,450,10043,13170,0.7626
22,QUERETARO,13,PINAL DE AMOLES,18,39,6753,4418,223,146,74,97,38,191,38,22,,,,,37,,,1,12037,528,12566,18555,0.6772
22,QUERETARO,14,QUERETARO,400,1085,134017,95658,11561,11800,8146,11809,10046,22994,9150,4200,851,170,118,724,16,70,2,560,321334,17518,339410,650827,0.5215
22,QUERETARO,15,SAN JOAQUIN,7,15,1628,2087,103,14,74,52,12,57,9,49,,,,,23,,,3,4108,182,4293,6317,0.6796
22,QUERETARO,16,SAN JUAN DEL RIO,102,316,41239,28362,1811,1691,3391,3228,2191,3291,6545,2290,341,0,62,285,0,31,0,111,94758,4539,99408,183073,0.5430
22,QUERETARO,17,TEQUISQUIAPAN,30,81,7189,9589,1850,1244,404,7691,496,1216,,514,,,,,0,,,33,30193,1557,31783,47927,0.6632
22,QUERETARO,18,TOLIMAN,13,34,3017,5034,948,750,987,881,134,391,379,375,,,,,,,,0,12896,1138,14034,18529,0.7574
