ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,MC,MORENA,PRI_NVA_ALIANZA_PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
22,QUERETARO,1,Querétaro,50,93,14850,708,439,2604,10581,62,29182,1092,30336,50732,0.5980
22,QUERETARO,2,Querétaro,106,262,35570,2272,1677,5757,26667,91,71943,2276,74310,152918,0.4859
22,QUERETARO,3,Querétaro,64,221,31635,1811,1097,4340,26154,104,65037,2162,67303,135276,0.4975
22,QUERETARO,4,Querétaro,69,222,32716,2296,1334,5813,24900,120,67059,2238,69417,139019,0.4993
22,QUERETARO,5,Querétaro,62,142,25168,1319,781,4229,17020,97,48517,1741,50355,83261,0.6048
22,QUERETARO,6,Querétaro,49,145,23168,1876,735,3679,17472,57,46930,1692,48679,89621,0.5432
22,QUERETARO,7,Corregidora,62,187,31625,2167,1064,4887,23037,127,62780,2654,65561,113775,0.5762
22,QUERETARO,8,Amealco de bonfil,48,128,19802,981,435,564,21010,11,42792,1555,44358,67532,0.6568
22,QUERETARO,9,San Juan del Río,60,173,24723,1222,1055,3339,21506,53,51845,1798,53696,101542,0.5288
22,QUERETARO,10,San Juan del Río,42,143,22312,880,643,2194,17407,58,43436,1568,45062,81531,0.5527
22,QUERETARO,11,Pedro Escobedo,54,161,26675,2580,1018,2500,25026,19,57799,2058,59876,94391,0.6343
22,QUERETARO,12,El Marqués,33,145,25726,1432,591,2040,25005,28,54794,1372,56194,88846,0.6325
22,QUERETARO,13,Tolimán,48,129,22308,1098,1089,992,21910,8,47397,1535,48940,71189,0.6875
22,QUERETARO,14,Cadereyta de Montes,47,130,19343,1575,700,1966,22248,25,45832,1726,47583,74644,0.6375
22,QUERETARO,15,Jalpan de Serra,65,147,24169,624,100,660,21089,13,46642,1248,47903,69510,0.6892
