ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,MC,NVA_ALIANZA,MORENA,PH,ES,PAN_PT,PRI_PVEM,PRI_PVEM_NVA_ALIANZA,PRD_PT,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,1,AHUALULCO,14,27,2893,1806,1687,303,277,733,61,502,52,,15,,222,,235,,9,8795,795,9590,13632,0.7035
24,SAN LUIS POTOSI,2,ALAQUINES,18,19,1949,1493,,110,35,28,9,232,57,,7,159,53,,,,0,4132,219,4351,6125,0.7104
24,SAN LUIS POTOSI,3,AQUISMON,26,58,9229,9456,,298,488,43,654,188,55,68,24,,,867,,,2,21372,1377,22749,29628,0.7678
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,11,11,779,1580,90,42,80,41,12,40,75,,21,,,117,4,,0,2881,221,3102,3721,0.8336
24,SAN LUIS POTOSI,5,CARDENAS,20,29,4185,1904,,260,153,385,166,652,310,,149,133,41,,,,2,8340,455,8795,14703,0.5982
24,SAN LUIS POTOSI,6,CATORCE,18,20,2119,1939,0,190,96,79,20,71,124,,11,,73,,,,25,4747,232,4979,6691,0.7441
24,SAN LUIS POTOSI,7,CEDRAL,17,28,2892,2704,0,94,275,51,92,874,213,,43,,334,,,,1,7573,293,7866,13154,0.598
24,SAN LUIS POTOSI,8,CERRITOS,26,39,2749,3393,287,229,1701,387,59,260,110,,97,,,232,7,,1,9512,517,10029,16907,0.5932
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,9,933,695,129,8,300,33,52,228,68,13,16,,9,,,,7,2491,156,2647,3466,0.7637
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,49,5080,5308,,921,170,314,34,696,137,,90,105,323,,,,16,13194,909,14103,22682,0.6218
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,59,5025,7001,948,234,1791,1263,853,569,466,188,196,,,420,,,16,18970,852,19822,32995,0.6008
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,26,3662,3863,,270,179,72,63,249,273,328,34,,,396,,,17,9406,540,9946,13598,0.7314
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,219,17378,11550,5353,696,1865,3232,7663,1227,1624,2343,1277,,,1071,,,31,55310,2493,57803,123376,0.4685
24,SAN LUIS POTOSI,14,COXCATLAN,13,23,2294,2401,118,66,133,257,1565,479,97,42,33,48,84,,,,1,7618,754,8372,11563,0.724
24,SAN LUIS POTOSI,15,CHARCAS,21,33,2745,3062,0,622,225,261,84,138,259,,195,,247,,,,1,7839,520,8359,14854,0.5627
24,SAN LUIS POTOSI,16,EBANO,32,55,6799,4897,1313,515,359,92,357,1332,982,72,324,41,161,,,,3,17247,884,18131,29017,0.6248
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,41,1865,4131,576,141,3656,1006,62,162,66,,105,,,169,31,,14,11984,1069,13053,18108,0.7208
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,22,2116,2254,,88,1227,111,56,248,207,205,13,,,122,,,2,6649,636,7285,11726,0.6213
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,1168,885,116,625,25,17,6,31,5,4,35,,,53,,,0,2970,204,3174,4779,0.6642
24,SAN LUIS POTOSI,20,MATEHUALA,64,127,9142,13424,0,754,1065,772,210,789,2763,,529,,1255,,,,34,30737,1240,31977,68569,0.4663
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,75,4786,4518,4029,1416,892,1459,3672,787,297,,193,,493,,395,,8,22945,2318,25263,39463,0.6402
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,30,2602,1333,601,723,500,970,119,1142,309,,34,,77,,93,,33,8536,629,9165,13669,0.6705
24,SAN LUIS POTOSI,23,RAYON,18,27,3758,1509,,92,225,101,32,670,104,,119,64,101,,,,3,6778,679,7457,12171,0.6127
24,SAN LUIS POTOSI,24,RIOVERDE,87,145,14458,13549,670,1306,1617,625,637,813,869,303,783,,,925,,,56,36611,1450,38061,73297,0.5193
24,SAN LUIS POTOSI,25,SALINAS,23,40,2598,2941,660,420,1685,1177,659,870,558,,387,,111,,86,,7,12159,897,13056,20546,0.6355
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,13,2595,1299,114,38,57,89,20,273,160,60,12,22,61,,,,1,4801,328,5129,6476,0.792
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,16,19,2389,2137,24,11,59,30,27,65,14,11,4,,,187,,,2,4960,202,5162,8388,0.6154
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,372,954,75731,33135,66648,4788,20013,11384,7831,10168,15570,6475,7814,0,591,1760,0,0,2984,264892,18208,283100,572818,0.4893
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,4269,1587,4073,232,117,49,81,136,48,92,12,0,0,136,0,253,0,11085,634,11719,14868,0.7882
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,11,12,691,508,262,277,369,132,201,180,251,,41,,,43,6,,1,2962,351,3313,4946,0.6698
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,3076,2896,151,123,184,62,67,554,398,61,86,54,89,,,,0,7801,758,8559,10746,0.7965
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,19,1088,1554,,1685,66,60,34,183,14,,22,109,61,,,,0,4876,443,5319,7795,0.6824
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,31,57,4918,5660,3675,478,358,193,1493,659,253,80,72,,95,,,,13,17947,916,18863,29321,0.6433
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,24,1678,3630,68,80,684,153,81,275,27,,13,,28,,3,,0,6720,396,7116,9596,0.7416
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,89,301,8942,10036,31949,2566,4892,9136,1486,3235,4317,2605,1551,,,616,,,377,81708,4910,86618,191977,0.4512
24,SAN LUIS POTOSI,36,TAMASOPO,17,40,5466,4505,,585,574,84,227,940,128,,130,220,245,,,,2,13106,1167,14273,20636,0.6917
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,120,13131,7249,2129,707,2852,168,574,5255,2230,528,544,0,0,645,0,240,13,36265,2914,39179,67102,0.5839
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,1478,2020,3102,884,141,246,78,183,167,71,21,0,0,54,0,40,1,8486,617,9103,11183,0.814
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,20,1188,1115,752,551,186,435,206,1218,303,88,52,21,12,,,,19,6146,508,6654,9636,0.6905
24,SAN LUIS POTOSI,40,TAMUIN,35,53,3354,4987,416,264,498,231,922,1137,364,851,129,236,530,,,,7,13926,864,14790,25286,0.5849
24,SAN LUIS POTOSI,41,TANLAJAS,16,25,2323,1771,1179,298,243,89,169,768,1794,110,80,85,135,,,,4,9048,686,9734,12603,0.7724
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,11,19,2589,2452,49,137,96,21,17,1245,396,37,32,85,56,,,,28,7240,348,7588,9799,0.7744
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,14,997,1283,89,19,288,219,192,910,43,19,19,,24,,,,7,4109,409,4518,7132,0.6335
24,SAN LUIS POTOSI,44,VANEGAS,13,14,1060,856,0,270,505,25,56,461,56,,9,,48,,,,1,3347,362,3709,5314,0.698
24,SAN LUIS POTOSI,45,VENADO,20,25,2815,826,798,205,1245,97,56,93,718,,49,,,86,16,,2,7006,595,7601,10375,0.7326
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,22,2170,2245,585,47,184,136,1483,31,168,,44,,,29,11,,1,7134,376,7510,10730,0.6999
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,26,2150,3874,607,433,290,397,74,427,183,38,33,,36,,,,12,8554,544,9098,11569,0.7864
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,18,967,2106,0,128,89,13,714,175,154,,11,,79,,,,0,4436,404,4840,7366,0.6571
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,546,1090,0,222,89,73,113,78,62,,38,,29,,,,2,2342,127,2469,3804,0.6491
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,51,3339,6070,874,2851,685,304,139,551,97,,1178,,68,,416,,3,16575,928,17503,25587,0.6841
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,60,3615,8090,607,243,1060,4679,355,451,197,135,150,,667,,,,14,20263,1147,21410,32840,0.6519
