CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,98,B,239,157,6,2,8,2,3,1,1,0,0,3,0,1,423,16,439,541,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,98,C01,250,166,4,1,11,4,2,1,3,1,1,4,0,0,448,4,452,541,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,99,B,67,28,1,1,0,2,0,0,0,0,0,0,0,0,99,5,104,130,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,101,B,79,62,1,2,0,4,1,0,2,1,0,1,0,0,153,6,159,229,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,102,B,115,85,2,1,1,0,0,0,0,0,0,0,0,0,204,7,211,268,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,103,B,179,80,0,2,2,7,1,0,0,0,0,0,0,0,271,18,289,366,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,105,B,126,97,0,1,0,2,1,2,0,0,0,0,0,0,229,5,234,294,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,106,B,189,106,5,13,1,3,1,4,7,0,0,3,0,0,332,11,343,475,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,106,C01,184,112,4,10,3,6,2,3,7,0,0,5,0,0,336,16,352,475,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,107,B,49,67,1,2,0,3,1,0,1,0,0,0,0,0,124,6,130,161,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,108,B,145,172,2,6,4,8,1,0,4,2,0,13,2,0,359,22,381,488,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,110,B,116,30,8,1,1,4,3,1,15,1,2,0,0,0,182,13,195,361,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,111,B,118,40,5,0,0,19,0,0,0,0,1,0,0,0,183,9,192,266,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,112,B,146,118,10,5,4,15,0,0,10,0,0,1,0,0,309,17,326,473,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,113,B,63,54,1,3,2,0,27,1,2,0,1,2,0,0,156,9,165,228,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,114,B,60,24,1,1,4,6,15,0,2,0,0,0,0,0,113,5,118,170,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,115,B,39,167,6,4,2,3,7,0,1,0,0,0,0,0,229,12,241,312,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,116,B,75,72,0,1,1,1,5,0,1,0,1,1,0,0,158,10,168,251,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,117,B,87,48,5,0,1,4,1,0,0,1,0,0,1,0,148,10,158,229,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,6,CATORCE,118,B,134,96,7,2,2,43,3,1,1,1,0,1,0,0,291,19,310,433,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,119,B,177,97,3,22,12,5,3,9,11,1,1,3,1,0,345,4,349,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,119,C01,176,95,6,9,3,5,1,3,12,0,1,18,0,0,329,13,342,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,119,C02,186,97,2,12,7,1,1,8,11,0,2,6,0,0,333,10,343,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,119,C03,157,111,4,21,6,1,0,3,16,1,3,9,0,0,332,19,351,569,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,120,B,167,121,12,15,6,2,1,4,7,0,9,0,0,1,345,14,359,650,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,120,C01,191,116,15,18,11,5,2,5,7,1,0,0,0,2,373,7,380,650,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,120,C02,171,131,17,15,12,4,1,3,0,16,3,13,0,0,386,20,406,649,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,121,B,142,108,7,22,6,3,5,7,5,1,3,6,0,1,316,16,332,588,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,121,C01,170,107,16,20,4,5,0,7,8,0,2,13,1,0,353,8,361,588,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,121,C02,159,144,0,0,16,0,0,8,10,1,2,0,0,0,340,12,352,587,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,122,B,204,146,15,31,13,3,1,7,11,0,2,17,0,0,450,14,464,738,,,,
2,24,SAN LUIS POTOSI,1,MATEHULA,7,CEDRAL,122,C01,204,160,13,17,16,4,4,9,11,0,1,14,1,0,454,11,465,737,,,,
