CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,6,CANANEA,1,ACONCHI,1,B,157,187,0,2,0,0,13,22,0,0,6,4,7,0,0,0,0,0,0,398,1,399,502,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,1,C01,178,178,0,1,0,0,5,27,0,0,4,1,7,0,0,0,0,0,0,401,4,405,502,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,1,C02,159,187,0,3,0,0,11,25,0,0,9,0,2,0,0,0,0,0,0,396,12,408,501,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,2,B,153,116,0,2,0,0,2,20,0,0,4,1,5,0,0,0,0,0,0,303,2,305,383,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,2,C01,155,125,0,0,0,0,0,14,0,0,5,1,1,0,0,0,0,0,0,301,10,311,383,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,3,B,201,74,2,2,2,2,32,3,0,0,5,0,0,0,0,0,0,0,0,323,9,332,662,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,3,C01,199,74,0,5,1,2,35,3,0,0,0,0,6,2,0,0,0,0,0,327,9,336,661,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,4,B,103,44,4,2,2,0,18,4,0,0,3,0,2,0,0,0,0,0,0,182,2,184,368,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,5,B,180,78,1,3,5,5,23,2,0,0,10,3,9,0,0,0,0,0,0,319,5,324,665,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,6,B,176,57,4,0,3,3,0,6,0,0,42,0,0,0,0,0,0,0,0,291,10,301,638,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,6,C01,185,62,3,1,3,5,23,3,0,0,15,3,9,0,0,0,0,0,0,312,11,323,637,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,7,B,178,70,4,2,3,5,24,8,0,0,5,3,2,0,0,0,0,0,0,304,7,311,699,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,7,C01,184,79,5,5,2,9,25,3,0,0,5,0,4,0,0,0,0,0,0,321,4,325,699,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,B,183,80,9,4,3,2,21,9,0,0,7,0,0,0,0,0,0,0,0,318,2,320,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,C01,179,53,6,2,2,7,31,10,0,0,6,0,6,0,0,0,0,0,0,302,5,307,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,C02,198,58,6,4,4,3,22,9,0,0,7,1,4,0,0,0,0,0,0,316,5,321,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,C03,187,77,6,2,0,4,18,5,0,0,17,0,0,0,0,0,0,0,0,316,4,320,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,B,173,79,4,2,3,2,30,4,0,0,4,0,2,0,0,0,0,0,0,303,3,306,657,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,C01,171,65,5,1,5,10,22,5,0,0,10,0,3,0,0,0,0,0,0,297,7,304,657,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,C02,175,77,2,3,4,3,35,4,0,0,12,4,3,0,0,0,0,0,0,322,7,329,656,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,C03,163,73,7,2,7,7,28,2,0,0,8,1,4,0,0,0,0,0,0,302,12,314,656,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,B,202,64,4,1,3,9,13,9,0,0,7,2,5,0,0,0,0,0,0,319,14,333,631,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,C01,167,69,5,2,2,6,18,5,0,0,4,4,3,0,0,0,0,0,0,285,8,293,631,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,C02,198,56,3,4,4,4,24,7,0,0,12,2,4,0,0,0,0,0,0,318,11,329,631,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,C03,188,74,4,4,3,5,23,5,0,0,13,2,1,0,0,0,0,0,0,322,5,327,631,Acta casilla,,,
