ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PRD_NVA_ALIANZA,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
27,TABASCO,1,BALANCAN,44,78,5749,5085,10932,837,123,3697,171,375,48,39,,,,,,,129,,,,,,0,27185,638,27823,39125,0.7111
27,TABASCO,2,CARDENAS,122,290,2428,26892,27206,3844,14852,1866,689,5646,500,694,4151,,,,,,55,,,,,,440,88823,2239,91502,168338,0.5436
27,TABASCO,3,CENTLA,64,130,2262,13007,10526,11160,898,741,252,3432,120,225,,338,,,,,116,,,,,,13,43077,1701,44791,68974,0.6494
27,TABASCO,4,CENTRO,277,792,,37933,73917,3286,2052,,2632,47021,790,,,,,,,2829,,3388,1500,1087,272,66,581,176773,5219,182573,483868,0.3773
27,TABASCO,5,COMALCALCO,97,249,604,24447,27709,1379,425,449,806,32150,267,243,,,952,,,,94,,,,,,14,89525,1952,91491,140999,0.6489
27,TABASCO,6,CUNDUACAN,59,149,295,8972,14600,3073,1022,683,12846,7084,338,195,,,,,,,,,,,,,7,49108,1618,50733,87834,0.5776
27,TABASCO,7,EMILIANO ZAPATA,16,41,378,3045,1082,5942,1615,235,79,2305,25,9,,,,,,,11,,,,,,0,14726,270,14996,22743,0.6594
27,TABASCO,8,HUIMANGUILLO,97,223,317,29182,38040,8406,417,255,1042,1040,206,328,,,,,,,,,,,,,27,79233,2269,81529,123697,0.6591
27,TABASCO,9,JALAPA,27,52,115,6120,7769,2005,120,72,230,223,35,227,,,,,,,65,,,,,,1,16981,596,17578,26810,0.6557
27,TABASCO,10,JALPA DE MENDEZ,37,95,771,10535,10993,11045,2299,1042,255,1269,162,169,,,,,,,81,,,,,,1,38621,989,39611,58867,0.6729
27,TABASCO,11,JONUTA,26,42,23,4493,5439,4186,20,73,55,2332,34,26,,,,,,,169,,,,,,0,16850,291,17141,21769,0.7874
27,TABASCO,12,MACUSPANA,82,193,633,13612,10765,8707,484,2591,3424,8641,532,597,,,,4692,,,,,,,,,28,54678,1850,56556,111695,0.5063
27,TABASCO,13,NACAJUCA,37,132,16320,10254,5339,4745,3222,619,243,5136,169,331,,,,,,,,,,,,,14,46378,1626,48018,83595,0.5744
27,TABASCO,14,PARAISO,45,110,10741,10375,11696,1814,171,1957,165,1243,653,704,,,,,741,,51,,,,,,24,40311,787,41122,64696,0.6356
27,TABASCO,15,TACOTALPA,27,61,71,7400,6151,6952,85,74,58,307,28,39,,,,,,,115,,,,,,6,21280,673,21959,31686,0.6930
27,TABASCO,16,TEAPA,26,66,268,6263,3578,6970,449,210,142,309,86,160,,,,,,,76,,,,,,5,18511,523,19039,38260,0.4976
27,TABASCO,17,TENOSIQUE,45,79,182,11762,9655,1192,133,1542,179,237,38,18,,,,,,,23,,,,,,3,24961,613,25577,40593,0.6301
