ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,CI_1,CI_2,CI_3,CI_4,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,CIUDAD DE MEXICO,2,AZCAPOTZALCO,347,677,1331,715,761,298,606,365,432,396,237,311,242,709,503,364,149,304,147,166,418,646,470,10990,7542,17292,1334,773,1686,2915,34457,3503,7041,97103,371018,0.2617
9,CIUDAD DE MEXICO,3,COYOACAN,403,951,1524,862,1078,485,1186,523,947,1104,287,764,480,1269,945,678,288,924,263,265,699,782,912,21817,11317,61590,1889,1093,2669,4446,56870,4770,14707,197433,559772,0.3527
9,CIUDAD DE MEXICO,4,CUAJIMALPA DE MORELOS,75,245,310,157,256,87,184,72,333,404,46,105,69,244,134,103,53,96,44,49,116,131,179,4866,6871,2757,995,196,470,974,6947,957,2283,30488,154115,0.1978
9,CIUDAD DE MEXICO,5,GUSTAVO A. MADERO,858,1817,2702,1451,1253,653,1245,641,1176,972,2916,519,420,1605,898,661,250,589,332,261,866,965,1026,23154,19604,99932,3982,2230,4438,7531,97306,9482,23926,312986,1030775,0.3036
9,CIUDAD DE MEXICO,6,IZTACALCO,299,617,1118,566,560,231,473,272,376,450,175,256,207,557,378,298,128,284,156,150,385,540,401,7758,7030,30330,1348,860,1861,2984,32668,3500,7988,104288,350972,0.2971
9,CIUDAD DE MEXICO,7,IZTAPALAPA,1001,2428,3971,2014,1669,871,1790,914,1301,1161,670,815,814,1838,1238,859,458,837,491,495,2537,1493,1276,23459,24262,153906,6355,5809,10400,12159,139261,18152,44317,465592,1443018,0.3227
9,CIUDAD DE MEXICO,8,LA MAGDALENA CONTRERAS,147,337,407,218,208,101,251,132,265,265,63,155,107,359,207,167,84,162,202,87,195,181,213,4913,9262,8423,1089,434,1091,1109,15067,1413,4307,51137,192272,0.266
9,CIUDAD DE MEXICO,9,MILPA ALTA,44,157,268,41,80,36,71,18,33,20,17,19,19,142,33,25,20,22,11,12,24,40,33,1010,4553,3604,350,189,2622,347,5729,500,1545,21433,99392,0.2156
9,CIUDAD DE MEXICO,10,ALVARO OBREGON,445,1014,1460,838,1000,432,812,456,1001,965,254,551,380,1144,717,493,225,541,249,245,566,1017,842,18832,10037,61393,2659,1701,2453,4480,44884,4909,15784,181320,592541,0.306
9,CIUDAD DE MEXICO,11,TLAHUAC,145,455,1323,232,183,100,255,99,133,117,85,129,89,249,159,178,37,110,68,54,250,169,173,2733,4355,12588,969,587,1003,1364,21566,2005,4461,55823,282391,0.1977
9,CIUDAD DE MEXICO,12,TLALPAN,354,887,1346,731,827,415,951,416,833,949,223,580,320,936,694,523,274,637,242,213,640,575,787,15603,9100,25765,3103,958,2068,3280,50048,4202,10412,137651,527579,0.2609
9,CIUDAD DE MEXICO,13,XOCHIMILCO,170,529,1380,306,454,182,401,189,308,394,130,193,145,941,324,240,96,226,110,93,259,294,318,5446,4820,10066,1497,755,1448,2217,25918,2249,4753,66152,331819,0.1994
9,CIUDAD DE MEXICO,14,BENITO JUAREZ,254,602,1338,757,864,348,887,451,960,940,206,1106,407,1028,827,630,242,847,234,275,561,1090,1209,26163,7812,4248,1076,484,1729,2633,25115,2667,5760,92894,356049,0.2609
9,CIUDAD DE MEXICO,15,CUAUHTEMOC,389,824,1349,2058,795,351,829,377,665,550,269,522,859,848,621,415,209,674,189,216,494,782,860,12322,11515,17053,1432,811,1891,3251,41416,3836,9054,116513,471821,0.2469
9,CIUDAD DE MEXICO,16,MIGUEL HIDALGO,260,556,892,528,793,281,483,270,593,551,168,448,193,647,479,314,123,340,109,163,339,659,585,15811,6135,15252,992,507,1160,2149,20817,2270,5909,79960,316124,0.2529
9,CIUDAD DE MEXICO,17,VENUSTIANO CARRANZA,336,693,1252,708,585,363,517,354,494,401,261,259,213,600,422,263,119,269,220,149,438,512,439,8373,8156,44595,1292,870,4924,3100,31469,3921,9634,125172,401933,0.3114
