ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,1,ZIMAPÁN,192,248,9800,21836,23814,514,3006,1067,3332,2288,451,,15,66108,2747,68870,108749,0.6332
13,HIDALGO,2,ZACUALTIPÁN DE ÁNGELES,171,244,5333,30075,12359,2768,2201,3624,8348,1947,9726,,85,76381,4218,80684,114454,0.7049
13,HIDALGO,3,SAN FELIPE ORIZATLÁN,104,194,16131,25012,8988,1037,492,736,4372,3169,12082,,23,72019,4168,76210,101246,0.7527
13,HIDALGO,4,HUEJUTLA DE REYES,91,195,8127,,5745,2205,,2774,,2634,23597,24866,61,69948,4688,74697,108880,0.686
13,HIDALGO,5,IXMIQUILPAN,134,226,33242,21261,2961,404,1180,1004,4177,3954,1179,,435,69362,1961,71758,113918,0.6299
13,HIDALGO,6,HUICHAPAN,113,215,24814,21159,2520,653,9093,4729,3829,6951,1768,,89,75516,2966,78571,122028,0.6438
13,HIDALGO,7,MIXQUIAHUALA DE JUÁREZ,86,193,9687,,12797,4052,,2232,,7251,3133,28613,55,67765,2862,70682,112181,0.63
13,HIDALGO,8,ACTOPAN,119,211,10040,27477,6784,1172,910,2839,5024,4456,9112,,48,67814,2477,70339,115180,0.6106
13,HIDALGO,9,METEPEC,121,210,10015,,10276,871,,2855,,4207,3977,36936,82,69137,2739,71958,103913,0.6924
13,HIDALGO,10,APAN,91,207,11681,23073,4657,4401,3372,7555,4464,6752,1876,,0,67831,3100,70931,119955,0.5913
13,HIDALGO,11,TULANCINGO DE BRAVO,54,190,10692,,1300,969,,14200,,4667,4288,19379,73,55495,2307,57875,118375,0.4889
13,HIDALGO,12,PACHUCA DE SOTO,96,193,23003,15717,2806,1160,1210,5751,2880,5569,2081,,89,60177,2216,62482,110204,0.5669
13,HIDALGO,13,PACHUCA DE SOTO,33,160,16138,11892,2938,839,2197,6397,3168,6042,2154,,109,51765,1776,53650,105777,0.5071
13,HIDALGO,14,TULA DE ALLENDE,74,190,9803,14267,8511,1647,1683,4419,2259,12698,1373,,36,56660,1899,58595,114386,0.5122
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,191,9115,,8741,2694,,4250,,9084,3914,21826,54,59624,1901,61579,113310,0.5434
13,HIDALGO,16,TIZAYUCA,63,190,6576,18750,4199,744,1946,2652,6327,4096,4559,,49,49849,1447,51345,112056,0.4582
13,HIDALGO,17,VILLAS DEL ALAMO,87,190,20755,,2231,907,,9449,,5072,2605,16254,81,57273,1565,58919,112848,0.5221
13,HIDALGO,18,TEPEAPULCO,85,197,9455,22529,4625,1812,1824,4428,10422,5162,3334,,59,63591,2427,66077,115158,0.5737
