ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA _ALIANZA,MORENA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,1,ZIMAPÁN,192,248,11653,23936,20878,2839,583,2660,2263,24,64812,2476,67312,108749,0.6337
13,HIDALGO,2,ZACUALTIPÁN DE ÁNGELES,171,244,10083,34718,17043,2716,3012,6530,3438,83,77540,5241,82864,114454,0.731
13,HIDALGO,3,SAN FELIPE ORIZATLÁN,104,194,18892,28054,10187,742,942,3990,3778,79,66585,6480,73144,101246,0.7586
13,HIDALGO,4,HUEJUTLA DE REYES,91,195,14338,28168,9175,1421,2469,4527,3535,186,63633,6941,70760,108880,0.6855
13,HIDALGO,5,IXMIQUILPAN,134,226,24870,24563,6827,1281,675,3802,4743,45,66761,2245,69051,113918,0.6316
13,HIDALGO,6,HUICHAPAN,113,215,26804,24405,4621,7761,805,2848,5792,107,73036,2567,75710,122028,0.6469
13,HIDALGO,7,MIXQUIAHUALA DE JUÁREZ,86,193,14336,21800,13378,2931,3272,3848,6005,70,65570,2216,67856,112181,0.6274
13,HIDALGO,8,ACTOPAN,119,211,16703,26532,10706,1436,1406,3176,4314,120,64273,2536,66929,115180,0.6236
13,HIDALGO,9,METEPEC,121,210,13899,22566,11438,4628,812,6336,3111,67,62790,2629,65486,103913,0.7034
13,HIDALGO,10,APAN,91,207,18604,23959,6512,2997,2969,3701,5594,113,64336,2561,67010,119955,0.5991
13,HIDALGO,11,TULANCINGO DE BRAVO,54,190,20123,18132,3609,966,1396,2087,4398,181,50711,2832,53724,118375,0.4909
13,HIDALGO,12,PACHUCA DE SOTO,96,193,21240,15193,6553,795,1283,1517,4133,117,50714,1734,52565,110204,0.5909
13,HIDALGO,13,PACHUCA DE SOTO,33,160,20275,12331,5820,586,1188,1234,4528,151,45962,1500,47613,105777,0.5009
13,HIDALGO,14,TULA DE ALLENDE,74,190,14247,14179,10393,789,1490,1760,7620,76,50478,1671,52225,114386,0.4944
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,191,15702,14732,9565,1303,2431,4754,8329,101,56816,1939,58856,113310,0.5683
13,HIDALGO,16,TIZAYUCA,63,190,10895,19427,5687,1267,988,3607,4122,92,45993,1443,47528,112056,0.4619
13,HIDALGO,17,VILLAS DEL ALAMO,87,190,24392,14772,5995,558,1285,1277,4484,176,52763,1567,54506,112848,0.521
13,HIDALGO,18,TEPEAPULCO,85,197,16427,22378,5863,1081,1796,6799,4103,99,58447,1867,60413,115158,0.5733
