ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_NVA_ALIANZA_PSD,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,PLANILLA_UNICA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,61,13174,7479,454,302,298,112,,82,43,732,,,477,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,23263,452,23719,31260,0.7588
20,OAXACA,24,COSOLAPA,10,17,749,3259,60,183,40,2027,,23,36,80,,38,24,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6719,255,6974,9550,0.7303
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,81,1364,1137,4,2,,,,,4,,,21,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2626,19,2645,3388,0.7807
20,OAXACA,170,SAN JOSE TENANGO,16,25,15,1324,79,25,2495,2312,,,66,41,,2048,2,11,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8662,271,8933,11439,0.7809
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,52,4508,11908,2491,55,417,49,282,44,,545,,,299,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20678,310,20988,26089,0.8045
20,OAXACA,307,SAN PEDRO IXCATLAN,9,14,212,1795,55,15,68,1470,,60,,2229,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5915,201,6116,7409,0.8255
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,74,195,5689,11817,6032,801,16112,2776,325,1319,319,10570,,301,937,278,,,4519,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,62137,1658,63823,112363,0.5680
20,OAXACA,11,AYOTZINTEPEC,3,10,100,1887,1309,11,12,3,69,,,236,,,46,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3708,92,3800,4787,0.7938
20,OAXACA,44,LOMA BONITA,32,59,,3138,6037,226,759,5719,100,247,,2206,,77,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18604,576,19181,28556,0.6717
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,33,21,6400,1589,22,89,51,249,75,79,6871,,46,19,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15608,155,15763,18292,0.8617
20,OAXACA,133,SAN FELIPE USILA,5,14,292,3454,22,19,100,,1166,,21,2080,,,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7169,60,7229,8423,0.8582
20,OAXACA,164,SAN JOSE CHILTEPEC,6,15,135,2241,597,103,314,856,,49,39,1905,,,42,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6332,222,6557,8279,0.7920
20,OAXACA,181,SAN JUAN BAUTISTA TLACOATZINTEPEC,1,4,,60,,297,4,,30,292,210,480,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1381,20,1401,1628,0.8606
20,OAXACA,232,SAN LUCAS OJITLAN,12,27,3481,1280,538,44,,2083,,77,253,3895,,,141,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,11815,194,12016,14741,0.8151
20,OAXACA,418,SANTA MARIA JACATEPEC,6,13,164,748,1601,10,1416,10,,16,39,242,,,100,,,,,,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5244,150,5394,6935,0.7778
20,OAXACA,38,HUAUTEPEC,4,8,,1645,,39,84,,60,,,1340,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3178,107,3285,3866,0.8497
20,OAXACA,39,HUAUTLA DE JIMENEZ,19,39,102,3134,4593,51,108,72,,118,790,5124,157,,184,36,,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15108,442,15550,20933,0.7428
20,OAXACA,115,SAN BARTOLOME AYAUTLA,3,5,5,511,760,2,15,6,5,,856,33,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2196,64,2260,2763,0.8180
20,OAXACA,175,SAN JUAN BAUTISTA CUICATLAN,13,19,1120,1172,438,41,431,4,168,191,381,738,,14,251,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4979,223,5202,7224,0.7201
20,OAXACA,189,SAN JUAN COATZOSPAM,1,2,2,362,6,4,9,,124,,9,,,433,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,953,43,996,1408,0.7074
20,OAXACA,432,SANTA MARIA TECOMAVACA,1,2,2,253,16,74,2,,109,291,,297,,,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1084,30,1114,1422,0.7834
20,OAXACA,435,SANTA MARIA TEOPOXCO,2,6,9,1226,23,15,9,,,20,,558,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1874,87,1961,2889,0.6788
20,OAXACA,437,SANTA MARIA TEXCATITLAN,1,2,5,283,285,2,,,,,5,5,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,590,13,603,782,0.7711
20,OAXACA,545,TEOTITLAN DE FLORES MAGON,6,13,112,882,1971,31,56,13,,1162,21,353,,,46,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4665,147,4812,6850,0.7025
20,OAXACA,558,VALERIO TRUJANO,2,2,7,28,152,155,51,0,147,57,95,162,,98,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,964,17,981,1242,0.7899
20,OAXACA,7,ASUNCION NOCHIXTLAN,8,24,229,1359,927,86,1483,78,282,,2502,930,,,56,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7975,283,8259,12682,0.6512
20,OAXACA,86,SAN ANDRES DINICUITI,3,4,5,348,330,214,10,,,,,224,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1134,27,1161,1704,0.6813
20,OAXACA,99,SAN ANDRES ZAUTLA,2,5,34,1011,806,18,22,,,,63,122,,,42,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2139,32,2171,2911,0.7458
20,OAXACA,147,SAN FRANCISCO TELIXTLAHUACA,6,16,106,795,832,54,1543,18,844,23,192,651,,88,33,14,,,,,,,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6070,159,6229,8807,0.7073
20,OAXACA,292,SAN PABLO HUITZO,5,10,448,755,425,183,99,2,431,450,11,329,,168,44,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3605,121,3728,5042,0.7394
20,OAXACA,334,SAN PEDRO Y SAN PABLO TEPOSCOLULA,5,7,43,770,123,21,13,9,35,,,1090,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2117,54,2174,3132,0.6941
