ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,61,11680,7840,563,311,459,79,27,88,49,1582,,17,491,140,,,,,,,5,23326,497,23828,31260,0.7623
20,OAXACA,24,COSOLAPA,10,17,1112,2930,186,213,153,917,13,74,216,631,,25,36,201,,,,,,,0,6707,283,6990,9550,0.7319
20,OAXACA,167,SAN JOSE INDEPENDENCIA,3,6,72,1337,1126,7,1,1,2,0,1,38,,0,26,12,,,,,,,0,2623,22,2645,3388,0.7807
20,OAXACA,170,SAN JOSE TENANGO,16,25,50,1381,265,31,2065,2011,33,28,127,564,,1831,11,9,,,,,,,1,8406,425,8832,11439,0.7721
20,OAXACA,182,SAN JUAN BAUTISTA TUXTEPEC,74,195,7817,12341,4752,1004,12027,7215,525,1534,1013,12723,,457,895,269,,,,,,,27,62572,1955,64554,112363,0.5745
20,OAXACA,276,SAN MIGUEL SOYALTEPEC,24,52,4238,11692,2473,55,378,33,242,51,18,765,,15,295,84,,,,,,,0,20339,272,20611,26089,0.7900
20,OAXACA,307,SAN PEDRO IXCATLAN,9,14,257,2105,91,28,104,1067,23,51,64,2051,,25,9,10,,,,,,,0,5885,154,6039,7409,0.8151
20,OAXACA,404,SANTA MARIA CHILCHOTLA,17,33,491,4200,1438,143,170,17,33,138,39,513,,14,250,76,,,,,,,14,7522,325,7861,13853,0.5675
20,OAXACA,232,SAN LUCAS OJITLAN,12,27,2925,1464,674,82,128,1540,41,227,206,4161,,26,113,22,,,,,,,5,11609,277,11891,14741,0.8067
20,OAXACA,11,AYOTZINTEPEC,3,10,115,1494,1026,19,65,10,56,10,12,789,,1,40,22,,,,,,,0,3659,141,3800,4787,0.7938
20,OAXACA,44,LOMA BONITA,32,59,287,3277,5353,384,1024,4694,316,521,90,2456,,80,71,91,,,,,,,1,18644,696,19341,28556,0.6773
20,OAXACA,131,SAN FELIPE JALAPA DE DIAZ,11,33,62,6045,2229,61,124,123,243,89,87,6378,,45,31,33,,,,,,,0,15550,201,15751,18292,0.8611
20,OAXACA,133,SAN FELIPE USILA,5,14,358,2888,189,72,265,11,764,27,31,2502,,1,1,10,,,,,,,0,7119,95,7214,8423,0.8565
