CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,1,10,656,690,308,612,32,39,505,226,118,18,96,2,0,4,3302,127,3433,7345
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,4,3,283,232,68,138,12,5,112,71,56,21,7,4,0,1,1009,17,1027,2141
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,5,6,464,325,118,265,38,11,323,77,76,6,16,0,0,3,1719,57,1779,3956
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,6,2,87,58,21,79,4,6,51,11,18,4,2,0,0,3,341,8,352,873
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,7,3,183,173,78,106,6,6,106,30,24,3,25,0,1,1,741,32,774,1606
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,8,2,92,90,29,169,3,1,43,31,6,4,10,0,1,0,479,10,489,905
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,9,2,65,83,25,105,4,5,54,13,6,3,19,0,0,0,382,14,396,810
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,10,1,55,56,24,151,4,5,30,23,5,2,14,0,0,0,369,5,374,719
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,13,3,201,288,104,138,39,8,182,76,27,9,15,0,0,2,1087,43,1132,2141
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,14,5,383,295,124,125,37,17,344,104,51,8,23,1,0,4,1512,61,1577,3593
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,15,4,317,238,99,144,12,10,250,106,52,12,13,0,1,2,1254,44,1300,2754
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,16,11,956,622,312,386,50,32,658,202,115,23,55,1,1,4,3413,121,3538,7503
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,18,3,152,145,57,242,6,11,100,42,24,18,40,0,0,0,837,35,872,1556
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,19,3,189,142,55,211,8,8,121,55,28,15,23,0,0,0,855,22,877,1562
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,20,2,172,106,33,104,5,11,99,46,18,3,16,1,0,1,614,22,637,1220
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,21,2,154,119,34,59,10,3,82,16,16,3,12,0,0,1,508,16,525,1067
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,22,2,136,87,38,74,8,4,84,23,17,6,11,1,0,0,489,8,497,1038
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,23,2,104,66,31,74,3,1,86,19,12,7,0,0,0,0,403,12,415,811
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,24,2,149,136,49,88,5,5,102,28,14,4,9,0,0,0,589,14,603,1128
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,25,1,86,56,28,57,4,5,52,21,7,6,14,0,0,1,336,13,350,718
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,26,1,80,82,21,83,7,2,64,22,12,3,6,0,0,0,382,8,390,714
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,27,2,89,91,36,103,6,6,78,36,16,5,17,0,1,0,484,14,498,1024
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,28,2,112,118,43,139,9,3,66,26,19,15,27,2,1,0,580,23,603,1200
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,29,2,115,79,36,118,4,5,54,23,14,0,12,0,0,0,460,11,471,905
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,30,1,66,55,25,112,1,0,38,10,13,4,4,0,0,1,328,8,337,644
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,31,2,82,87,29,107,6,3,42,14,10,1,14,0,0,0,395,10,405,753
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,32,2,88,68,23,211,8,4,61,14,10,3,13,0,0,0,503,13,516,1077
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,33,1,40,69,22,84,2,3,35,15,8,1,12,0,0,0,291,17,308,670
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,34,2,65,67,36,157,6,1,45,13,23,8,18,0,0,1,439,12,452,846
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,35,2,80,81,37,117,6,3,61,24,16,10,14,0,0,0,449,5,454,973
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,36,2,94,142,40,132,3,5,71,16,20,3,12,0,0,0,538,16,554,1150
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,37,2,70,71,31,112,4,3,21,11,1,0,7,0,0,0,331,5,336,828
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,38,2,78,65,35,92,4,7,55,16,11,3,11,0,0,0,377,18,395,884
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,39,1,40,54,25,72,3,2,35,16,4,3,7,0,0,0,261,14,275,632
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,40,2,68,82,41,140,4,5,52,18,8,4,17,0,1,0,440,12,452,1152
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,41,1,42,42,16,62,2,0,31,15,6,1,6,2,1,1,226,4,231,628
1,23,QUINTANA ROO,4,CANCÚN,1,BENITO JUÁREZ,42,1,73,50,27,78,3,1,58,18,14,7,14,0,0,0,343,13,356,708
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,43,2,122,91,34,54,1,4,67,26,19,3,21,1,0,0,443,16,459,860
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,44,2,121,103,42,97,6,7,80,35,14,7,20,1,2,0,535,18,553,1260
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,45,2,167,169,57,112,9,3,121,19,21,4,10,2,0,0,694,23,717,1344
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,46,3,147,156,36,261,14,7,104,39,27,13,52,0,1,0,857,37,894,1510
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,47,2,143,150,55,131,7,8,111,46,8,9,0,0,0,0,668,41,709,1362
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,48,2,156,150,53,86,13,10,145,49,18,3,13,0,1,0,697,24,721,1480
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,49,3,143,141,49,122,13,12,184,34,19,7,13,1,0,0,738,38,776,1525
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,50,3,246,174,87,160,19,21,295,71,23,4,25,0,0,0,1125,46,1171,2144
1,23,QUINTANA ROO,2,CANCÚN,1,BENITO JUÁREZ,51,2,177,147,54,92,10,8,105,48,8,4,13,0,0,1,666,27,694,1226
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,52,2,149,104,71,170,10,11,113,68,17,5,18,0,0,0,736,29,765,1414
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,53,4,281,262,116,229,24,17,223,96,36,3,27,0,0,0,1314,41,1355,2650
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,54,4,349,215,109,120,19,16,233,77,37,4,31,0,0,1,1210,41,1252,2579
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,55,2,139,141,28,175,9,7,99,22,24,8,49,0,0,0,701,18,719,1271
1,23,QUINTANA ROO,6,CANCÚN,1,BENITO JUÁREZ,56,2,129,96,35,176,5,4,67,26,18,1,27,0,0,0,584,17,601,1072
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,57,3,247,169,53,61,11,6,101,37,27,2,17,0,1,3,732,22,757,1556
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,58,1,139,56,23,40,2,5,77,19,10,2,5,0,0,1,378,9,388,714
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,59,2,165,85,32,40,12,5,117,26,20,1,6,0,0,0,509,17,526,1144
1,23,QUINTANA ROO,5,CANCÚN,1,BENITO JUÁREZ,60,3,171,150,83,112,10,8,141,40,24,6,15,0,0,1,760,13,774,1577
