ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,EL FUERTE,247,258,16113,20018,1468,813,4832,509,1394,8393,1042,1094,,,,,,,,,,,,,,,,,,,,5,55681,1508,57189,94928,0.6024
25,SINALOA,2,LOS MOCHIS,109,163,8989,11611,911,549,1085,452,4314,5997,2737,463,1481,1685,,,,,,,,,,,,,,,,,,44,40318,1408,41726,83631,0.4989
25,SINALOA,3,LOS MOCHIS,151,180,8507,16532,1867,371,890,318,6224,6490,1968,277,,,,,,,,,,,,,,,,,,,,11,43455,1481,44936,82231,0.5465
25,SINALOA,4,LOS MOCHIS,160,191,10463,14353,1128,739,714,425,2790,7054,2689,937,,,,,,,,,,,,,,,,,,,,100,41392,1367,42759,85626,0.4994
25,SINALOA,5,LOS MOCHIS,87,163,10630,9141,1171,1534,480,402,3445,3172,2303,390,,,1872,1862,,,,,,,,,,,,,,,,23,36425,1145,37570,81752,0.4596
25,SINALOA,6,SINALOA DE LEYVA,228,229,3606,23100,1041,332,1979,375,747,11834,860,492,,,,,,,,,,,,,,,,,,,,23,44389,1623,46012,78892,0.5832
25,SINALOA,7,GUASAVE,180,205,9644,24072,1226,1134,755,519,889,5414,1503,606,,,,,1368,,,,,,,,,,,,,,,55,47185,1251,48436,81359,0.5953
25,SINALOA,8,GUASAVE,167,191,7757,23498,1657,923,654,566,1194,7872,1351,388,,,,,,658,,,,,,,,,,,,,,25,46543,1278,47821,80877,0.5913
25,SINALOA,9,GUAMUCHIL,255,272,6154,20764,3675,546,1044,655,1809,14174,1142,2049,,,,,,,2611,,,,,,,,,,,,,26,54649,1525,56174,95007,0.5913
25,SINALOA,10,MOCORITO,243,237,2764,20929,2517,902,2755,1335,1038,13062,931,534,,,,,,,,,,,,,,,,,,,,10,46777,1585,48362,80627,0.5998
25,SINALOA,11,NAVOLATO,127,165,3113,12580,540,340,5246,631,1233,11334,1973,765,,,,,,,,,,,,,,,,,,,,18,37773,1140,38913,77195,0.5041
25,SINALOA,12,CULIACAN DE ROSALES,66,156,5796,13348,938,386,1125,502,1320,8970,2890,725,,,,,,,,1444,2203,,,,,,,,,,,69,39716,1545,41261,90143,0.4577
25,SINALOA,13,CULIACAN DE ROSALES,161,205,5385,17888,892,445,814,459,762,7381,2832,581,,,,,,,,,,2787,383,,,,,,,,,95,40704,1513,42217,95533,0.4419
25,SINALOA,14,CULIACAN DE ROSALES,270,293,8784,14759,875,484,819,472,913,7912,3124,545,,,,,,,,,,,,2594,8112,,,,,,,58,49451,1803,51254,102901,0.4981
25,SINALOA,15,CULIACAN DE ROSALES,78,151,4456,9673,1093,574,658,432,575,6598,2849,623,,,,,,,,,,,,,,1629,,,,,,69,29229,1151,30380,80047,0.3795
25,SINALOA,16,CULIACAN DE ROSALES,55,128,4113,8630,701,848,742,507,753,5685,2197,937,,,,,,,,,,,,,,,,,,,,46,25159,1119,26278,78013,0.3368
25,SINALOA,17,CULIACAN DE ROSALES,155,192,3837,12216,1241,541,756,528,831,6912,2744,1633,,,,,,,,,,,,,,,,,,,,54,31293,1524,32817,91431,0.3589
25,SINALOA,18,CULIACAN DE ROSALES,179,213,4519,14542,1536,446,1239,417,1070,9906,1588,519,,,,,,,,,,,,,,,,,,,,31,35813,1374,37187,88567,0.4199
25,SINALOA,19,LA CRUZ,187,214,4535,19159,1258,537,761,468,1595,17383,592,,,,,,,,,,,,,,,,,,,,,19,46307,1373,47680,82974,0.5746
25,SINALOA,20,MAZATLAN,94,167,7440,10243,572,4091,836,651,544,5041,2333,377,,,,,,,,,,,,,,,808,,,,,92,33028,1240,34268,89493,0.3829
25,SINALOA,21,MAZATLAN,76,153,8709,9516,761,886,827,573,624,5154,2888,536,,,,,,,,,,,,,,,,2576,691,,,31,33772,1222,34994,85348,0.4100
25,SINALOA,22,MAZATLAN,189,214,10565,13213,496,1586,1077,500,683,5731,3366,458,,,,,,,,,,,,,,,,,,3084,,104,40863,1623,42486,95101,0.4467
25,SINALOA,23,MAZATLAN,188,210,10002,14227,627,1307,1106,369,3149,5058,2113,496,,,,,,,,,,,,,,,,,,,990,56,39500,1797,41297,85883,0.4809
25,SINALOA,24,EL ROSARIO,152,181,15497,13302,4482,348,276,3008,1403,4237,1526,292,,,,,,,,,,,,,,,,,,,,11,44382,1283,45665,76949,0.5934
