ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,ABASOLO,11,17,2797,,187,,15,7,,212,24,2815,,,,,,,,,,,,,,,,,,,,,,,,0,6057,87,6144,8251,0.7446
28,TAMAULIPAS,2,ALDAMA,21,44,4884,,78,,42,4958,,239,139,6205,,,,,,,,,,,,,,,,,,,,,,,,1,16545,398,16944,23115,0.7330
28,TAMAULIPAS,3,ALTAMIRA,84,253,41544,,1745,,1147,3456,,1805,1009,36736,418,,,,,,,,,,,,,,,,,,,,,,,49,87860,1404,89313,155168,0.5756
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3664,,15,,24,0,,50,2,1714,,,,,,,,,,,,,,,,,,,,,,,,0,5469,53,5522,7201,0.7668
28,TAMAULIPAS,5,BURGOS,8,12,1792,,1,,2,0,,0,0,1715,,,,,,,,,,,,,,,,,,,,,,,,0,3510,21,3531,4373,0.8075
28,TAMAULIPAS,6,BUSTAMANTE,9,15,1208,,10,,3,2,,11,18,2777,,208,,,,,,,,,,,,,,,,,,,,,,,4237,88,4325,5521,0.7834
28,TAMAULIPAS,7,CAMARGO,16,26,2108,,33,,14,15,,138,1537,2637,,,422,,,,,,,,,,,,,,,,,,,,,2,6904,219,7125,12788,0.5572
28,TAMAULIPAS,8,CASAS,8,12,1839,,24,,10,3,,0,22,1508,,,,,,,,,,,,,,,,,,,,,,,,0,3406,49,3455,4109,0.8408
28,TAMAULIPAS,9,CIUDAD MADERO,107,277,44485,,2245,,741,4276,,4944,1607,33516,,,,,,,,,,,,,,,,,,,,,,,,85,91814,1948,93847,164436,0.5707
28,TAMAULIPAS,10,CRUILLAS,5,7,207,1204,2,1,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1423,23,1446,2039,0.7092
28,TAMAULIPAS,11,GOMEZ FARIAS,7,17,3307,,9,,34,4,,48,21,1983,,,,22,26,,,,,,,,,,,,,,,,,,,0,5454,73,5527,7004,0.7891
28,TAMAULIPAS,12,GONZALEZ,37,67,11484,,78,,27,122,,154,50,7716,,,,,,,,,,,,,,,,,,,,,,,,6,19631,308,19945,30954,0.6443
28,TAMAULIPAS,13,GÜEMEZ,15,27,4655,,52,,7,17,,40,14,4651,,,,,,,,,,,,,,,,,,,,,,,,0,9436,122,9558,12465,0.7668
28,TAMAULIPAS,14,GUERRERO,3,6,791,,2,,32,1,,20,0,716,,,,,,,,,,,,,,,,,,,,,,,,0,1562,26,1588,2742,0.5791
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,26,1883,,11,,20,10,,68,3474,2591,,,,,,,,,,,,,,,,,,,,,,,,0,8057,139,8196,13362,0.6134
28,TAMAULIPAS,16,HIDALGO,21,34,7738,,58,,61,8,,503,122,135,,,,,,,,,,,,,,,,,,,,,,,,3,8625,1044,9672,15574,0.6210
28,TAMAULIPAS,17,JAUMAVE,12,24,348,,30,,31,52,,66,1105,3248,,,,,,3417,,,,,,,,,,,,,,,,,,0,8297,418,8715,11085,0.7862
28,TAMAULIPAS,18,JIMENEZ,8,13,2195,,27,,1,4,,1,20,2294,,,,,,,,,,,,,,,,,,,,,,,,0,4542,38,4580,6094,0.7516
28,TAMAULIPAS,19,LLERA,18,30,2127,,43,,12,67,,78,83,2760,,,,,,,3797,,,,,,,,,,,,,,,,,2,8967,443,9412,12872,0.7312
28,TAMAULIPAS,20,MAINERO,4,6,1324,,23,,0,0,,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1360,105,1465,2308,0.6347
28,TAMAULIPAS,21,EL MANTE,86,164,25610,,724,,530,701,,2171,484,23183,,,,,,,,332,,,,,,,,,,,,,,,,11,53735,804,54550,87221,0.6254
