ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,96,6490,3267,1251,,1122,7306,651,2702,1287,7966,,,,,5,32047,1624,33671,55068,0.6114
29,TLAXCALA,2,TLAXCO DE MORELOS,59,108,7426,5446,898,,1896,1384,9131,1966,318,6451,,,,,75,34991,1791,36782,54441,0.6756
29,TLAXCALA,3,SAN COSME XALOZTOC,42,92,7612,1756,1876,2348,614,1875,6419,2140,627,,11904,,,,9,37180,1866,39046,53372,0.7316
29,TLAXCALA,4,APIZACO,36,100,5828,7217,838,,968,3231,498,4223,493,7860,,1286,1557,,44,34043,1782,35825,61094,0.5864
29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,51,98,14420,2132,1219,,546,2284,872,2949,610,8443,,,,,66,33541,1683,35224,53942,0.6530
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,53,113,3395,9425,1386,1249,2477,6034,1602,3854,1253,,7635,,,,443,38753,2679,41432,62676,0.6611
29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,35,112,5249,9880,882,,1283,3635,1241,5094,1140,10483,,,,605,2450,41942,2336,44278,70480,0.6282
29,TLAXCALA,8,SAN BERNARDINO CONTLA,35,97,9288,9955,1203,,954,2314,760,4189,853,8324,,,,,29,37869,2104,39973,57134,0.6996
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,36,104,5949,5534,7766,,1498,5244,743,4442,1248,7189,,,,,38,39651,2355,42006,63205,0.6646
29,TLAXCALA,10,HUAMANTLA,41,90,7137,3161,1274,2066,477,2601,956,3536,716,,9327,,,,23,31274,1947,33221,52776,0.6295
29,TLAXCALA,11,HUAMANTLA,48,94,7090,4115,2151,3100,344,2689,735,1923,334,,10747,,,,44,33272,2285,35557,50642,0.7021
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,104,6488,11469,1465,,4023,1504,497,4735,1120,11741,,,,,18,43060,2694,45754,63877,0.7163
29,TLAXCALA,13,ZACATELCO,32,100,7599,8367,1375,,2261,5048,1411,6296,3196,3818,,,,,32,39403,2032,41435,60129,0.6891
29,TLAXCALA,14,SANTA MARIA NATIVITAS,39,100,6003,7576,1761,,1,4384,5732,4008,974,10636,,,,,25,41100,2357,43457,61432,0.7074
29,TLAXCALA,15,VICENTE GUERRERO,23,93,10466,8582,2547,782,1599,1588,375,3188,298,,9277,,,,44,38746,1728,40474,59742,0.6775
