CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRD,PT,PVEM,MC,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,78,6,326,170,49,,63,570,44,124,72,447,,,,,0,1865,109,1974,3784
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,79,4,149,103,18,,49,357,14,87,57,191,,,,,0,1025,49,1074,2028
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,80,2,118,87,15,,59,221,3,53,49,184,,,,,0,789,54,843,1406
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,81,3,145,84,22,,50,269,14,76,62,182,,,,,0,904,60,964,1714
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,82,3,166,60,16,,46,364,7,65,59,180,,,,,0,963,38,1001,1860
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,83,4,201,88,19,,62,435,23,100,85,220,,,,,0,1233,60,1293,2372
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,84,1,56,38,8,,31,161,1,31,23,59,,,,,0,408,29,437,715
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,85,3,265,71,23,,53,375,24,77,58,195,,,,,0,1141,68,1209,1974
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,86,3,171,57,33,,47,370,14,48,43,215,,,,,0,998,46,1044,1646
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,87,2,88,38,11,,66,174,6,45,18,81,,,,,0,527,29,556,953
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,88,2,113,74,12,,70,257,6,68,31,103,,,,,2,736,45,781,1324
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,89,3,270,55,29,,52,350,15,104,48,198,,,,,0,1121,65,1186,1981
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,90,4,244,71,21,,82,525,15,99,44,175,,,,,0,1276,79,1355,2454
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,91,1,128,22,10,,3,117,12,26,19,191,,,,,0,528,20,548,740
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,92,3,327,101,23,,31,291,25,101,40,287,,,,,0,1226,47,1273,1884
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,93,2,142,55,24,,33,135,5,86,73,168,,,,,0,721,30,751,1213
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,94,2,120,69,12,,21,115,5,63,11,155,,,,,0,571,20,591,859
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,95,1,130,14,4,,3,16,1,9,2,64,,,,,0,243,8,251,407
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,96,1,0,0,0,,0,0,0,0,0,0,,,,,0,0,0,0,601
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,97,2,91,41,9,,8,124,3,26,9,183,,,,,0,494,23,517,872
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,98,3,206,72,12,,59,155,17,86,18,191,,,,,0,816,64,880,1593
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,292,2,145,99,72,,37,191,25,57,47,236,,,,,0,909,49,958,1366
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,293,2,160,53,79,,19,168,36,62,31,285,,,,,0,893,34,927,1323
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,294,2,76,80,50,,23,121,36,25,43,239,,,,,0,693,36,729,1002
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,297,2,433,149,20,,11,115,7,51,11,116,,,,,0,913,38,951,1335
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,298,3,294,160,35,,12,97,14,72,16,127,,,,,0,827,31,858,1250
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,299,4,282,185,136,,19,131,14,154,20,444,,,,,0,1385,74,1459,2543
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,300,2,186,79,64,,22,118,4,67,12,219,,,,,0,771,45,816,1326
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,301,4,269,148,119,,15,128,8,81,18,515,,,,,0,1301,75,1376,2271
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,302,4,254,188,105,,16,135,15,135,18,467,,,,,1,1334,74,1408,2331
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,303,2,125,73,31,,12,72,3,34,8,156,,,,,0,514,29,543,827
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,304,2,211,43,44,,4,63,5,22,4,224,,,,,0,620,36,656,916
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,305,1,35,15,19,,4,18,0,15,0,109,,,,,0,215,8,223,333
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,306,1,26,8,3,,1,13,1,22,0,55,,,,,0,129,5,134,172
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,307,1,53,21,15,,2,50,0,24,7,166,,,,,0,338,20,358,507
