ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_NVA_ALIANZA_PVEM,PRI_PS_PVEM,PRI_PS_NVA_ALIANZA,PVEM_PS_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PS,PVEM_NVA_ALIANZA,PVEM_PS,NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,96,6659,8762,9887,342,687,915,1318,599,2075,640,65,15,1,1,2,39,26,14,1,1,3,464,6,32522,1148,33670,55068,0.6114,
29,TLAXCALA,2,TLAXCO DE MORELOS,59,108,8668,9873,9421,378,1149,1116,415,2263,1518,109,197,23,1,1,2,25,19,27,8,4,10,362,13,35602,1208,36810,54441,0.6761,
29,TLAXCALA,3,SAN COSME XALOZTOC,42,92,8335,10979,11086,1156,331,559,900,1160,1833,253,953,24,4,4,2,62,14,24,5,5,20,271,27,38007,1165,39172,53372,0.7339,
29,TLAXCALA,4,APIZACO,36,100,8523,10578,9616,384,421,198,862,165,2642,211,55,11,4,1,0,34,3,4,0,0,1,860,44,34617,1092,35709,61094,0.5845,
29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,51,98,9300,9571,9984,577,554,487,1081,387,2480,219,41,12,2,1,5,33,17,7,2,2,4,388,16,35170,1178,36348,53942,0.6738,
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,53,113,4520,9239,17108,623,1798,986,1498,520,2669,199,232,15,3,0,6,27,23,17,4,2,7,790,33,40319,1244,41563,62676,0.6631,
29,TLAXCALA,7,TLAXCALA DE XICOHTÉNCATL,35,112,5441,11610,18209,353,1126,430,1332,244,2974,241,107,28,5,1,3,52,9,9,4,0,7,1310,53,43548,1057,44605,70480,0.6329,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,35,97,6727,10514,14810,745,511,349,1176,189,2806,226,64,18,3,1,1,41,12,9,1,0,1,695,29,38928,1008,39936,57134,0.6990,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,36,104,5672,12671,14155,680,1002,600,904,220,2849,409,228,25,17,1,12,112,15,16,5,1,3,932,14,40543,1373,41916,63205,0.6632,
29,TLAXCALA,10,HUAMANTLA,41,90,6866,10627,7102,1040,280,625,893,608,2800,368,38,15,12,11,2,67,19,28,3,4,3,513,49,31973,1339,33312,52776,0.6312,
29,TLAXCALA,11,HUAMANTLA,48,94,6375,11794,10270,1621,279,536,946,246,1345,119,33,18,10,4,2,100,33,11,17,10,4,260,14,34047,1439,35486,50642,0.7007,
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,104,6646,10555,13549,2331,5200,468,841,339,3169,320,45,14,3,3,0,163,6,8,5,4,6,630,26,44331,1327,45658,63877,0.7148,
29,TLAXCALA,13,ZACATELCO,32,100,5941,8329,11138,404,7948,581,1024,528,2697,736,151,38,3,1,3,46,23,5,7,3,3,555,33,40197,1136,41333,60129,0.6874,
29,TLAXCALA,14,SANTA MARÍA NATIVITAS,39,100,6073,10136,11063,1698,2166,1788,1838,1704,2935,364,95,42,6,8,5,70,38,30,8,7,4,1921,37,42036,1337,43373,61432,0.7060,
29,TLAXCALA,15,VICENTE GUERRERO,23,93,12128,9894,9901,431,2039,321,701,338,2680,131,159,7,2,5,6,37,14,11,11,1,3,299,29,39148,1267,40415,59742,0.6765,
