ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,MC,PAC,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,96,6659,9887,687,1318,2075,640,10786,464,6,32522,1148,33670,55068,0.6114
29,TLAXCALA,2,TLAXCO DE MORELOS,59,108,8668,9421,1149,415,1518,109,13947,362,13,35602,1208,36810,54441,0.6761
29,TLAXCALA,3,SAN COSME XALOZTOC,42,92,8335,11086,331,900,1833,253,14971,271,27,38007,1165,39172,53372,0.7339
29,TLAXCALA,4,APIZACO,36,100,8523,9616,421,862,2642,211,11438,860,44,34617,1092,35709,61094,0.5845
29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,51,98,9300,9984,554,1081,2480,219,11148,388,16,35170,1178,36348,53942,0.6738
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,53,113,4520,17108,1798,1498,2669,199,11704,790,33,40319,1244,41563,62676,0.6631
29,TLAXCALA,7,TLAXCALA DE XICOHTÉNCATL,35,112,5441,18209,1126,1332,2974,241,12862,1310,53,43548,1057,44605,70480,0.6329
29,TLAXCALA,8,SAN BERNARDINO CONTLA,35,97,6727,14810,511,1176,2806,226,11948,695,29,38928,1008,39936,57134,0.6990
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,36,104,5672,14155,1002,904,2849,409,14606,932,14,40543,1373,41916,63205,0.6632
29,TLAXCALA,10,HUAMANTLA,41,90,6866,7102,280,893,2800,368,13102,513,49,31973,1339,33312,52776,0.6312
29,TLAXCALA,11,HUAMANTLA,48,94,6375,10270,279,946,1345,119,14439,260,14,34047,1439,35486,50642,0.7007
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,104,6646,13549,5200,841,3169,320,13950,630,26,44331,1327,45658,63877,0.7148
29,TLAXCALA,13,ZACATELCO,32,100,5941,11138,7948,1024,2697,736,10125,555,33,40197,1136,41333,60129,0.6874
29,TLAXCALA,14,SANTA MARÍA NATIVITAS,39,100,6073,11063,2166,1838,2935,364,15639,1921,37,42036,1337,43373,61432,0.7060
29,TLAXCALA,15,VICENTE GUERRERO,23,93,12128,9901,2039,701,2680,131,11240,299,29,39148,1267,40415,59742,0.6765
