CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_NVA_ALIANZA_PVEM,PRI_PS_PVEM,PRI_PS_NVA_ALIANZA,PVEM_PS_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PS,PVEM_NVA_ALIANZA,PVEM_PS,NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,78,6,416,505,536,25,30,40,111,26,90,34,7,1,0,0,0,3,3,0,0,0,0,39,0,1866,87,1953,3784
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,79,4,182,305,309,2,24,8,66,17,59,19,2,0,0,0,0,2,1,0,0,0,0,23,0,1019,39,1058,2028
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,80,2,146,210,280,11,22,8,39,3,57,14,4,0,0,0,0,0,0,0,0,0,0,9,0,803,26,829,1406
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,81,3,157,270,249,11,25,12,57,6,82,34,9,0,1,0,0,0,0,0,0,0,0,17,0,930,44,974,1714
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,82,3,203,254,272,5,22,11,39,7,83,25,4,2,0,0,0,0,0,0,0,0,0,29,0,956,22,978,1860
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,83,4,281,302,346,9,44,15,63,13,117,35,2,0,0,0,0,1,0,0,0,0,0,32,0,1260,38,1298,2372
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,84,1,73,114,115,1,16,4,14,4,23,10,1,1,0,0,0,0,0,1,0,0,0,8,0,385,21,406,715
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,85,3,315,252,365,4,18,4,69,22,65,10,3,1,0,0,0,3,0,1,0,0,1,20,0,1153,42,1195,1974
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,86,3,220,309,305,10,25,10,42,18,50,10,1,0,0,0,0,0,0,0,0,0,0,11,0,1011,36,1047,1646
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,87,2,107,164,130,4,9,3,33,6,46,9,0,0,0,0,0,1,0,1,0,0,0,13,0,526,25,551,953
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,88,2,164,157,218,9,24,6,58,7,62,13,2,1,0,0,0,0,0,0,0,0,0,23,0,744,36,780,1324
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,89,3,315,248,306,12,22,9,29,15,125,17,3,0,0,0,0,0,0,1,0,1,0,27,0,1130,37,1167,1981
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,90,4,329,279,314,4,41,17,103,13,123,23,5,1,0,0,0,0,1,1,0,0,0,33,0,1287,67,1354,2454
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,91,1,126,191,133,4,5,8,22,13,20,1,3,0,0,0,0,10,2,0,0,0,0,2,0,540,8,548,740
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,92,3,376,357,292,8,18,12,50,16,62,26,1,0,0,0,0,3,0,0,0,0,0,13,0,1234,35,1269,1884
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,93,2,157,177,138,8,38,12,44,5,76,61,0,0,0,0,0,0,1,0,1,0,0,7,1,726,23,749,1213
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,94,2,128,179,143,4,11,4,32,2,65,6,0,0,0,0,0,1,0,0,0,0,0,6,0,581,9,590,859
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,95,1,109,85,30,1,2,1,3,3,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,245,8,253,407
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,97,2,102,217,97,6,12,2,30,3,18,3,0,2,0,0,0,3,1,0,0,0,0,2,0,498,17,515,872
4,29,TLAXCALA,1,CALPULALPAN,6,CALPULALPAN,98,3,206,206,218,7,43,11,44,13,68,9,1,0,0,0,0,0,0,0,0,0,0,9,0,835,44,879,1593
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,292,2,129,158,341,28,51,45,52,31,39,33,1,0,0,0,0,0,0,0,0,0,0,12,0,920,37,957,1366
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,293,2,155,145,277,39,21,44,71,48,61,23,0,1,0,0,0,2,4,1,0,0,1,5,0,898,27,925,1323
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,294,2,76,132,271,7,25,47,31,38,31,37,1,1,0,0,0,1,1,0,0,0,0,5,0,704,25,729,1002
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,297,2,407,121,272,19,9,20,12,3,36,7,2,0,0,0,0,1,2,0,0,0,0,4,0,915,34,949,1335
4,29,TLAXCALA,1,CALPULALPAN,20,SANCTORUM DE LAZARO CARDENAS,298,3,272,127,320,9,6,21,20,10,29,7,1,0,0,0,0,0,1,0,0,0,0,17,2,842,19,861,1250
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,299,4,196,415,525,19,11,93,15,17,87,8,1,1,0,0,0,3,1,1,0,0,0,23,0,1416,43,1459,2543
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,300,2,119,223,271,14,5,58,10,19,39,4,1,1,0,0,0,0,6,1,0,0,0,9,0,780,31,811,1326
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,301,4,209,458,474,17,8,185,11,4,40,5,3,0,0,0,0,0,1,0,0,0,0,13,0,1428,47,1475,2271
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,302,4,159,402,557,10,13,74,15,17,79,5,0,1,0,1,0,3,0,0,0,0,0,12,1,1349,58,1407,2331
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,303,2,97,147,209,2,7,21,10,2,16,1,0,0,0,0,0,1,0,1,0,0,0,12,0,526,18,544,827
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,304,2,150,256,222,7,3,4,4,15,12,1,1,0,0,0,0,0,0,0,0,0,0,2,1,678,28,706,916
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,305,1,32,114,45,5,1,8,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,217,6,223,333
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,306,1,26,56,27,0,2,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,3,134,172
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,307,1,56,129,106,5,2,22,7,0,13,0,1,0,0,0,0,0,1,0,0,0,0,2,0,344,14,358,507
4,29,TLAXCALA,1,CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,308,2,76,299,227,7,49,53,5,39,25,2,0,0,0,0,0,0,0,3,0,0,0,5,1,791,22,813,1172
4,29,TLAXCALA,1,CALPULALPAN,60,BENITO JUAREZ,295,4,247,481,593,6,18,18,43,92,140,101,2,0,0,0,0,0,0,1,0,0,1,15,0,1758,43,1801,2489
4,29,TLAXCALA,1,CALPULALPAN,60,BENITO JUAREZ,296,3,141,318,354,3,5,5,62,52,102,45,2,1,0,0,2,1,0,0,0,0,0,3,0,1096,29,1125,1525
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,49,1,77,117,229,3,9,19,4,7,22,0,0,0,0,0,0,0,0,1,0,0,0,4,0,492,20,512,647
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,50,1,19,153,69,0,1,16,1,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277,10,287,343
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,51,1,32,97,69,3,13,10,3,5,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,245,7,252,305
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,52,1,11,40,12,1,0,4,1,5,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,83,1,84,101
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,53,2,217,239,157,11,32,13,5,10,50,1,0,1,0,0,0,0,1,2,0,1,0,2,0,742,22,764,1065
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,54,1,65,70,87,3,1,6,2,1,25,0,0,1,0,0,0,0,0,0,0,0,0,2,0,263,7,270,380
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,55,1,59,86,49,1,0,10,7,2,21,0,1,0,0,0,0,0,0,1,0,0,1,0,0,238,11,249,311
4,29,TLAXCALA,2,TLAXCO,4,ATLANGATEPEC,56,2,157,403,184,4,7,61,10,7,41,0,2,1,0,0,0,1,0,3,0,0,1,5,0,887,24,911,1163
