ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_AVE,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PVEM_NVA_ALIANZA,PVEM_AVE,NVA_ALIANZA_AVE,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,ACAJETE,4,11,1170,420,84,372,42,24,32,583,34,515,48,51,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,18,,,,,,,0,3393,115,3508,6195,0.5663
30,VERACRUZ,2,ACATLAN,2,4,427,226,91,53,66,13,14,52,11,264,20,9,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,0,1247,28,1275,2307,0.5527
30,VERACRUZ,3,ACAYUCAN,40,107,5115,6356,2788,1066,303,1368,233,4370,310,8232,367,582,13,3,43,4,1,84,8,107,3,37,13,,,,,,,,,,,,,,,,17,31406,1106,32529,61916,0.5254
30,VERACRUZ,4,ACTOPAN,38,64,7803,4427,955,603,264,357,137,223,80,2557,142,430,6,6,15,1,0,98,3,7,0,1,1,,,,,,,,,,108,,,,,,8,18224,487,18719,31407,0.5960
30,VERACRUZ,5,ACULA,7,9,611,777,31,972,19,13,81,2,14,108,3,22,0,0,0,0,0,15,1,0,0,0,0,,,,,,,,,,,,,,,,0,2669,41,2710,4121,0.6576
30,VERACRUZ,6,ACULTZINGO,14,26,829,1523,636,68,146,75,76,78,70,1738,88,72,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,138,,,4,5537,271,5812,13360,0.4350
30,VERACRUZ,206,AGUA DULCE,29,65,851,2857,635,492,130,94,123,634,83,7076,148,81,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1295,10,14499,549,15058,33343,0.4516
30,VERACRUZ,8,ALAMO TEMAPACHE,69,143,14474,13053,1212,2539,378,327,439,136,321,6036,453,688,31,22,13,2,2,351,14,10,13,7,5,,610,,,,,,,,,,,,,,13,41136,1163,42312,76048,0.5564
30,VERACRUZ,9,ALPATLAHUAC,5,12,1263,841,281,186,42,15,20,13,82,125,30,117,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3,3015,119,3137,6123,0.5123
30,VERACRUZ,10,ALTO LUCERO DE GUTIERREZ BARRIOS,33,46,2108,2174,491,326,921,114,133,1314,243,2294,186,120,6,1,10,1,0,49,6,52,8,8,8,,,,,,,,,,,,,,,,4,10573,464,11041,21488,0.5138
