CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_AVE,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PVEM_NVA_ALIANZA,PVEM_AVE,NVA_ALIANZA_AVE,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1403,1,155,100,7,82,0,1,2,1,2,34,0,11,0,0,0,0,0,13,0,0,0,0,0,1,,,,,,,,,,,,,,,0,409,6,415,728
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,2,188,143,14,120,3,1,4,4,2,66,2,15,0,0,0,0,0,7,0,0,0,0,0,1,,,,,,,,,,,,,,,0,570,5,575,1041
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,2,177,121,7,159,5,0,2,0,22,22,2,5,0,0,0,0,0,0,1,0,0,0,0,2,,,,,,,,,,,,,,,0,525,8,533,900
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,2,181,117,6,172,4,3,1,1,2,54,0,11,0,0,1,0,0,12,0,0,0,0,0,1,,,,,,,,,,,,,,,0,566,7,573,1045
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,2,74,91,4,115,2,1,0,1,0,12,0,3,0,0,0,0,0,3,0,0,0,0,0,1,,,,,,,,,,,,,,,0,307,9,316,464
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,2,258,96,14,211,2,3,5,2,1,109,0,8,1,0,1,0,0,19,0,1,0,1,1,3,,,,,,,,,,,,,,,0,736,27,763,1332
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,2,189,114,6,102,2,2,1,1,3,37,1,9,0,0,0,0,0,20,1,0,0,0,0,1,,,,,,,,,,,,,,,0,489,11,500,845
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1410,1,91,160,6,62,2,1,5,1,5,28,0,4,0,1,0,0,0,15,0,0,0,0,1,0,,,,,,,,,,,,,,,0,382,10,392,711
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,2,150,98,9,78,2,2,5,1,1,24,1,8,0,0,0,0,0,15,0,0,0,0,0,1,,,,,,,,,,,,,,,0,395,13,408,835
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,4,197,136,25,274,5,6,7,8,2,240,5,7,0,0,0,0,0,14,0,0,0,0,0,4,,,,,,,,,,,,,,,0,930,14,944,2292
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4696,2,79,88,10,50,1,2,4,2,0,118,0,2,0,1,0,0,0,8,0,0,0,1,0,7,,,,,,,,,,,,,,,0,373,6,379,794
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4697,2,126,92,9,78,2,6,3,6,0,318,0,9,0,0,1,0,0,21,0,0,0,0,0,8,,,,,,,,,,,,,,,0,679,18,697,1412
