CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT,PAN_PRD,PAN_PT,PRD_PT,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND19,CAND_IND23,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1772,B,27,87,8,6,9,19,1,,17,0,0,0,1,1,0,0,0,4,4,3,1,188,4,192,647,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1773,B,19,69,12,7,15,16,2,,8,0,0,0,1,0,0,0,0,8,1,6,1,165,6,171,544,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1773,C01,30,65,14,12,16,18,6,,10,0,1,0,0,0,0,0,0,3,4,9,1,189,4,193,543,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1774,B,22,53,8,13,7,30,5,,6,1,0,0,0,1,0,0,0,1,12,6,0,165,8,173,567,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1774,C01,13,55,8,18,3,21,1,,7,0,0,0,1,0,1,0,0,1,8,8,0,145,12,157,566,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1775,B,21,62,7,3,2,9,3,,5,2,1,0,0,0,1,0,0,4,3,13,0,136,5,141,421,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1775,C01,22,38,15,14,3,11,1,,1,0,3,0,0,0,2,0,0,1,1,14,0,126,7,133,420,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1776,B,27,84,16,12,8,25,6,,8,2,0,0,0,1,1,0,0,6,6,10,0,212,6,218,597,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1777,B,46,58,8,14,9,31,4,,1,0,1,1,0,1,0,0,0,1,7,18,2,202,4,206,561,GRUPO DE RECUENTO,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
2,32,ZACATECAS,2,ZACATECAS,58,ZACATECAS,1778,B,16,34,6,11,2,25,5,,4,0,0,0,1,0,0,0,0,2,5,8,0,119,3,122,468,ACTA CASILLA,,LOS REGISTROS DE LA VOTACIÓN CORRESPONDEN A LA ELECCIÓN EXTRAORDINARIA CELEBRADA EL 4 DE DICIEMBRE DE 2017,
