ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,1,ABASOLO,2,2,281,433,0,0,1,0,0,0,0,1,1,1,1,23,37,,,,,,,,,,,,,,,0,779,11,790,1096,0.7208
5,COAHUILA,2,ACUÑA,64,173,7343,16153,3095,501,677,24985,0,429,203,222,1683,118,43,1915,470,,,,,,,,,,,,,,,15,57837,1009,58861,112033,0.5254
5,COAHUILA,3,ALLENDE,15,32,2284,3860,37,289,0,3348,0,567,16,54,0,0,0,206,29,,,,,,,,,,,,,,,0,10690,179,10869,19054,0.5704
5,COAHUILA,4,ARTEAGA,21,37,1449,6095,335,247,54,54,55,79,57,15,172,33,60,245,94,3066,,,,,,,,,,,,,,4,12110,361,12475,18604,0.6706
5,COAHUILA,5,CANDELA,3,4,570,653,0,0,1,20,0,12,0,1,1,0,0,2,23,,,,,,,,,,,,,,,0,1283,11,1294,1681,0.7698
5,COAHUILA,6,CASTAÑOS,23,40,1826,5283,3413,238,187,159,32,125,20,52,31,11,11,616,613,,,,,,,,,,,,,,,2,12617,202,12821,21467,0.5972
5,COAHUILA,7,CUATROCIENEGAS,14,23,1948,2762,291,103,24,29,686,32,11,15,12,3,7,126,13,,77,,,,,,,,,,,,,1,6139,91,6231,10008,0.6226
5,COAHUILA,8,ESCOBEDO,4,6,18,852,593,0,3,1,0,4,0,3,2,5,0,199,11,,,,,,,,,,,,,,,0,1691,27,1718,2479,0.6930
5,COAHUILA,9,FRANCISCO I.MADERO,42,76,4702,9202,452,140,1142,1418,102,396,265,574,6614,344,52,1865,156,,,,,,,,,,,,,,,4,27424,557,27985,43557,0.6425
5,COAHUILA,10,FRONTERA,41,95,9457,12446,422,2698,571,60,192,603,242,47,453,0,0,3229,138,,,183,188,1987,,,,,,,,,,13,32916,468,33397,60794,0.5493
5,COAHUILA,11,GRAL. CEPEDA,16,20,2551,2089,53,0,0,20,22,111,0,10,72,15,835,452,13,,,,,,,,,,,,,,,1,6243,162,6406,9565,0.6697
5,COAHUILA,12,GUERRERO,5,5,580,556,0,0,1,5,0,16,3,3,0,2,0,26,3,,,,,,,,,,,,,,,0,1195,19,1214,1797,0.6756
5,COAHUILA,13,HIDALGO,2,3,135,495,0,0,3,178,0,7,0,7,3,1,0,0,6,,,,,,,,,,,,,,,0,835,12,847,1160,0.7302
5,COAHUILA,14,JIMENEZ,10,15,679,1679,111,759,738,193,0,0,0,12,722,0,0,136,18,,,,,,,,,,,,,,,1,5047,149,5197,8318,0.6248
5,COAHUILA,15,JUAREZ,4,4,22,441,379,0,6,4,56,7,0,2,0,2,1,2,53,,,,,,,,,,,,,,,0,975,18,993,1433,0.6930
5,COAHUILA,16,LAMADRID,2,3,643,510,4,0,0,6,0,30,1,27,6,0,0,30,0,,,,,,,,,,,,,,,0,1257,18,1275,1631,0.7817
5,COAHUILA,17,MATAMOROS,62,134,5023,20533,638,503,680,1178,0,763,109,13946,389,1455,319,2921,210,,,,,,5051,241,,,,,,,,1,53959,906,54866,82229,0.6672
5,COAHUILA,18,MONCLOVA,124,282,36434,31592,695,1971,1637,330,554,1092,730,149,0,172,0,13356,491,,,,,,,,7287,,,,,,,58,96490,1257,97805,173863,0.5625
5,COAHUILA,19,MORELOS,6,12,1456,1721,557,154,8,84,0,14,2,4,8,4,5,118,52,,,,,,,,,,,,,,,2,4187,67,4256,6756,0.6300
5,COAHUILA,20,MUZQUIZ,48,91,5746,12879,164,554,147,4259,2948,343,62,220,117,45,101,2148,141,,,,,,,,,,,,,,,4,29874,646,30524,54044,0.5648
5,COAHUILA,21,NADADORES,8,12,979,1657,22,490,0,12,5,134,0,4,90,0,0,60,5,,,,,,,,,,,,,,,0,3458,149,3607,5292,0.6816
5,COAHUILA,22,NAVA,15,34,2594,5716,148,178,214,1210,127,116,35,40,38,14,32,758,46,,,,,,,,,,,,,,,2,11266,210,11478,20513,0.5595
5,COAHUILA,23,OCAMPO,13,19,562,1538,64,0,18,20,1739,46,13,10,16,11,2,228,5,,,,,,,,,,,,,,,0,4272,112,4384,7878,0.5565
5,COAHUILA,24,PARRAS,34,65,1021,0,251,260,6225,719,83,3664,815,118,122,0,6037,424,54,,,,,,,,,,,,,,,1,19793,668,20462,35742,0.5725
5,COAHUILA,25,PIEDRAS NEGRAS,87,207,16085,22600,678,670,720,420,322,594,160,148,250,90,62,2710,331,,,,,,,,,18698,,,,,,31,64538,983,65552,128598,0.5097
5,COAHUILA,26,PROGRESO,6,6,127,1031,177,0,4,4,0,20,11,0,3,1,1,631,21,,,,,,,,,,,,,,,0,2031,30,2061,3017,0.6831
5,COAHUILA,27,RAMOS ARIZPE,35,100,6220,14328,1786,357,476,89,0,183,107,50,493,35,207,1711,190,,,,,,,,,,5109,,,,,8,31341,691,32040,62617,0.5117
5,COAHUILA,28,SABINAS,37,85,7365,10891,62,95,188,8488,0,272,65,179,76,28,41,782,134,,,,,,,,,,,516,,,,6,29182,441,29629,51028,0.5806
5,COAHUILA,29,SACRAMENTO,2,4,111,685,3,74,2,36,0,23,7,260,1,4,1,41,3,,,,,,,,,,,,291,,,0,1542,34,1576,1984,0.7944
5,COAHUILA,30,SALTILLO,378,923,97460,126725,3476,4638,5838,1158,1088,4359,1383,749,7769,663,3027,27059,3569,,,,,,,,,,,,,10372,7908,145,307241,5655,313041,579755,0.5400
5,COAHUILA,31,SAN BUENAVENTURA,17,31,2327,4638,96,299,0,36,0,2006,0,58,0,0,0,1584,84,,,,,,,,,,,,,,,3,11128,116,11247,18207,0.6177
5,COAHUILA,32,SAN JUAN DE SABINAS,33,63,11650,6884,39,200,76,168,236,117,45,64,46,11,15,1100,48,,,,,,,,,,,,,,,0,20699,274,20973,35176,0.5962
5,COAHUILA,33,SAN PEDRO,75,133,11857,16238,1364,1021,530,3504,4615,662,283,1501,707,200,219,2632,551,,,,,,,,,,,,,,,16,45884,1240,47140,75444,0.6248
5,COAHUILA,34,SIERRA MOJADA,5,9,326,813,0,0,6,27,283,1,0,499,1,5,1,133,4,,,,,,,,,,,,,,,0,2099,31,2130,4140,0.5145
5,COAHUILA,35,TORREON,367,819,133937,98539,7994,4013,5272,1025,1868,3226,1754,1784,1189,1114,404,27493,1582,,,,,,,,,,,,,,,104,291194,4249,295547,509526,0.5800
5,COAHUILA,36,VIESCA,22,30,987,4502,750,0,80,190,0,173,55,1969,440,619,33,359,17,,,,,,,,,,,,,,,0,10174,205,10379,15628,0.6641
5,COAHUILA,37,VILLA UNION,7,10,1089,1345,518,0,5,26,0,8,6,9,6,10,3,57,5,,,,,,,,,,,,,,,2,3087,90,3179,5317,0.5979
5,COAHUILA,38,ZARAGOZA,13,20,1691,2401,1628,0,0,89,0,74,50,15,23,0,0,271,21,,,,,,,,,,,,,,,3,6263,142,6408,10695,0.5992
