ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,PAN_UDC_PPC_ES,PAN_UDC_PPC,PAN_UDC_ES,PAN_PPC_ES,UDC_PPC_ES,PAN_UDC,PAN_PPC,PAN_ES,UDC_PPC,UDC_ES,PPC_ES,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,1,ACUÑA,93,220,9709,20183,11135,1254,684,21463,529,725,298,93,3057,150,62,2618,415,44,45,13,7,0,637,4,4,8,2,0,,,,18,73139,1615,74772,137802,0.5426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,2,PIEDRAS NEGRAS,109,249,24684,28792,1745,2374,2011,1594,996,2356,906,169,1582,336,157,7979,643,52,26,7,5,0,118,11,9,1,2,0,,,,115,76555,2103,78773,152068,0.5180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,3,SABINAS,118,239,22586,29770,425,792,929,10317,2017,2010,243,288,789,89,123,4729,232,97,61,38,13,4,476,32,19,4,5,2,873,,,46,76963,1707,78716,140248,0.5613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,4,SAN PEDRO,136,234,18067,26989,1719,1325,2101,6143,3770,2225,819,1788,2477,335,218,6411,698,63,135,14,5,1,195,71,15,20,8,2,,,,29,75614,2494,78137,124584,0.6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,5,MONCLOVA,124,247,27782,29063,1746,1489,1462,2753,685,1686,873,132,824,294,110,13139,569,26,19,8,1,0,115,4,6,0,1,0,,,,44,82787,1927,84758,146871,0.5771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,6,FRONTERA,105,234,21559,24873,4523,3072,2618,227,758,1695,746,119,1260,192,108,12255,664,24,4,6,0,0,22,6,21,0,2,2,,,,54,74756,1936,76746,143330,0.5354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,7,MATAMOROS,131,246,12290,34662,1956,942,2425,2189,386,4280,572,16872,5656,2861,528,7524,406,39,102,3,6,1,65,252,8,13,1,0,,,,27,94039,2051,96117,144700,0.6643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,8,TORREON,37,169,26528,18031,2426,1040,1979,154,518,1098,1751,336,828,430,278,7463,277,40,15,3,4,0,18,9,7,2,0,0,,,,18,63235,1608,64861,116032,0.5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,9,TORREON,154,242,34102,30457,1682,1343,1928,148,778,1341,612,216,488,437,165,8690,376,70,30,6,7,0,22,13,3,1,0,0,,,,39,82915,1699,84653,139001,0.6090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,10,TORREON,134,221,29024,23760,1335,1532,1733,147,666,1039,431,328,529,329,132,8966,286,61,19,6,5,0,27,9,12,0,0,0,,,,28,70376,1555,71959,123052,0.5848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,11,TORREON,37,181,27656,22240,1704,1317,2170,152,673,1430,581,359,482,376,197,10187,366,51,19,7,7,0,20,12,5,0,1,0,,,,39,70012,1433,71484,128155,0.5578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,12,RAMOS ARIZPE,106,222,14598,26244,1838,1092,3639,724,389,3227,1822,178,3796,202,4594,4590,942,12,2,2,1,0,23,1,4,0,0,0,,,,32,67920,3149,71101,126528,0.5619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,13,SALTILLO,91,222,21352,29169,1098,1154,2052,311,546,1483,670,187,3278,299,1047,9649,1159,36,13,4,2,0,19,7,9,2,1,0,,,,86,73547,2043,75676,138278,0.5473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,14,SALTILLO,76,227,33170,24795,1281,1208,1715,392,697,1774,588,154,2473,156,474,10207,1081,47,5,3,2,0,16,4,11,0,0,1,,2018,,56,82272,2162,84490,148846,0.5676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,15,SALTILLO,88,228,22125,29921,1312,1254,3055,215,640,1694,674,150,4505,236,592,9873,1202,44,14,5,3,0,22,6,24,1,0,1,,,,40,77568,2365,79973,145248,0.5506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,COAHUILA,16,SALTILLO,123,246,17538,32558,1421,1264,2166,296,451,2309,507,217,2959,224,1872,9775,1538,43,4,6,3,0,17,5,27,0,0,0,,,1749,63,76949,2290,79302,147383,0.5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
