ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_UDC_PPC_ES,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,SI,PJ,PRC,PCP,MORENA,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,1,ACUÑA,93,220,32444,20183,11135,1254,684,529,725,298,3057,150,62,2618,,,,18,73139,1615,74772,137802,0.5426
5,COAHUILA,2,PIEDRAS NEGRAS,109,249,27321,28792,1745,2374,2011,996,2356,906,1582,336,157,7979,,,,115,76555,2103,78773,152068,0.5180
5,COAHUILA,3,SABINAS,118,239,34174,29770,425,792,929,2017,2010,243,789,89,123,4729,873,,,46,76963,1707,78716,140248,0.5613
5,COAHUILA,4,SAN PEDRO,136,234,27225,26989,1719,1325,2101,3770,2225,819,2477,335,218,6411,,,,29,75614,2494,78137,124584,0.6272
5,COAHUILA,5,MONCLOVA,124,247,31416,29063,1746,1489,1462,685,1686,873,824,294,110,13139,,,,44,82787,1927,84758,146871,0.5771
5,COAHUILA,6,FRONTERA,105,234,22656,24873,4523,3072,2618,758,1695,746,1260,192,108,12255,,,,54,74756,1936,76746,143330,0.5354
5,COAHUILA,7,MATAMOROS,131,246,32247,34662,1956,942,2425,386,4280,572,5656,2861,528,7524,,,,27,94039,2051,96117,144700,0.6643
5,COAHUILA,8,TORREON,37,169,27393,18031,2426,1040,1979,518,1098,1751,828,430,278,7463,,,,18,63235,1608,64861,116032,0.5590
5,COAHUILA,9,TORREON,154,242,34994,30457,1682,1343,1928,778,1341,612,488,437,165,8690,,,,39,82915,1699,84653,139001,0.6090
5,COAHUILA,10,TORREON,134,221,29924,23760,1335,1532,1733,666,1039,431,529,329,132,8966,,,,28,70376,1555,71959,123052,0.5848
5,COAHUILA,11,TORREON,37,181,28655,22240,1704,1317,2170,673,1430,581,482,376,197,10187,,,,39,70012,1433,71484,128155,0.5578
5,COAHUILA,12,RAMOS ARIZPE,106,222,16487,26244,1838,1092,3639,389,3227,1822,3796,202,4594,4590,,,,32,67920,3149,71101,126528,0.5619
5,COAHUILA,13,SALTILLO,91,222,23102,29169,1098,1154,2052,546,1483,670,3278,299,1047,9649,,,,86,73547,2043,75676,138278,0.5473
5,COAHUILA,14,SALTILLO,76,227,34886,24795,1281,1208,1715,697,1774,588,2473,156,474,10207,,2018,,56,82272,2162,84490,148846,0.5676
5,COAHUILA,15,SALTILLO,88,228,23812,29921,1312,1254,3055,640,1694,674,4505,236,592,9873,,,,40,77568,2365,79973,145248,0.5506
5,COAHUILA,16,SALTILLO,123,246,19694,32558,1421,1264,2166,451,2309,507,2959,224,1872,9775,,,1749,63,76949,2290,79302,147383,0.5381
