CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,PAN_UDC_PPC_ES,PAN_UDC_PPC,PAN_UDC_ES,PAN_PPC_ES,UDC_PPC_ES,PAN_UDC,PAN_PPC,PAN_ES,UDC_PPC,UDC_ES,PPC_ES,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,4,126,411,235,10,20,496,9,11,2,4,37,3,2,50,7,1,1,0,0,0,9,0,0,0,0,0,,,,6,1434,28,1468,2524
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,7,275,810,554,17,25,1051,15,17,6,6,117,6,0,89,28,2,0,1,0,0,32,0,0,0,0,0,,,,1,3051,59,3111,5299
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,5,3,93,169,128,7,28,339,5,9,2,5,28,2,0,35,8,0,2,0,0,0,9,0,0,0,0,0,,,,1,869,20,890,1644
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,6,2,62,140,66,1,6,176,6,2,1,0,7,0,0,9,3,0,0,0,7,0,3,0,0,0,0,0,,,,0,489,14,503,904
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,7,2,98,182,73,5,7,215,7,5,0,3,22,0,1,17,2,0,1,0,0,0,6,0,0,0,0,0,,,,0,644,15,659,1236
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,8,2,63,230,102,6,6,213,8,10,1,0,20,2,1,21,6,0,1,0,0,0,7,0,0,0,0,0,,,,0,697,13,710,1277
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,10,20,723,1788,1397,77,86,2475,26,52,12,2,368,9,4,235,32,0,5,2,0,0,57,0,1,1,0,0,,,,1,7352,132,7485,14937
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,11,4,148,375,266,12,12,520,8,22,6,1,30,6,1,31,9,0,0,0,0,0,21,0,0,1,0,0,,,,0,1469,22,1491,2613
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,12,5,170,486,293,6,20,609,9,24,5,1,51,2,0,35,20,2,0,0,0,0,19,0,0,0,0,0,,,,0,1752,34,1786,3291
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,13,1,44,88,29,1,3,80,2,5,0,0,5,1,0,5,0,0,1,0,0,0,4,0,0,0,0,0,,,,1,268,5,274,474
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,14,2,55,107,60,2,6,121,3,6,3,2,13,0,0,19,4,2,0,0,0,0,1,0,0,0,0,0,,,,0,404,5,409,864
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,15,1,66,120,50,4,2,153,5,1,3,0,18,0,0,9,1,0,0,1,0,0,3,0,0,0,0,0,,,,0,436,8,444,778
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,16,2,72,161,32,1,2,141,7,6,2,2,12,1,0,12,1,0,0,0,0,0,6,0,1,0,0,0,,,,0,459,4,463,927
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,17,3,81,118,40,0,5,174,3,4,0,3,6,1,0,11,1,0,2,0,0,0,11,1,0,0,0,0,,,,0,461,9,470,1664
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,18,3,99,307,126,7,10,376,12,13,5,0,25,2,1,29,5,1,0,0,0,0,8,0,0,2,1,0,,,,0,1029,20,1049,1827
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,19,14,524,1277,1002,38,57,1980,37,53,13,11,218,6,4,162,25,2,1,1,0,0,60,0,0,0,0,0,,,,0,5471,89,5560,10236
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,20,2,66,122,72,4,3,179,3,8,0,1,26,4,0,12,3,0,2,0,0,0,10,0,0,0,0,0,,,,0,515,13,528,994
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,21,2,59,151,58,3,7,235,3,4,3,1,10,2,1,12,6,0,0,0,0,0,8,0,0,0,0,0,,,,0,563,17,580,1137
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,22,2,38,111,51,3,2,173,1,6,0,0,17,3,0,18,5,0,0,0,0,0,1,0,0,0,0,0,,,,0,429,12,441,843
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,23,1,42,89,31,3,4,81,3,6,0,0,5,3,0,15,3,0,0,0,0,0,2,0,0,0,0,0,,,,0,287,4,291,579
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,24,1,57,93,36,1,2,96,2,5,2,0,6,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,,,,0,311,7,318,643
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,25,3,115,171,71,4,4,260,13,6,2,0,15,2,0,16,5,1,1,1,0,0,6,0,0,0,0,0,,,,0,693,19,712,2078
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,26,1,65,104,48,4,3,198,5,11,0,5,8,5,0,12,1,1,1,0,0,0,4,0,0,0,0,0,,,,0,475,8,483,773
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,27,2,51,110,67,2,3,174,5,2,6,0,9,1,0,11,2,0,1,0,0,0,6,0,0,0,0,0,,,,0,450,13,463,908
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,28,2,62,208,146,5,8,272,1,3,4,2,50,2,1,20,2,1,0,0,0,0,13,0,0,0,0,0,,,,0,800,17,817,1408
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,29,3,97,228,129,6,12,323,5,9,6,1,34,2,5,26,1,0,0,0,0,0,9,0,0,0,0,0,,,,0,893,28,921,1796
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,30,2,108,180,72,2,2,290,16,16,4,1,18,1,0,20,6,3,0,0,0,0,2,0,0,0,0,0,,,,0,741,3,744,1341
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,31,9,321,823,566,19,38,1461,31,77,14,1,102,5,4,106,31,6,2,1,0,0,20,0,0,0,0,0,,,,1,3628,65,3694,6630
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,32,2,39,157,55,1,8,121,4,6,3,1,42,1,0,9,3,0,0,0,0,0,1,0,0,0,0,0,,,,0,451,7,458,897
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,33,9,249,798,644,18,37,1102,27,31,8,3,148,3,3,127,22,7,1,0,0,0,23,0,0,0,0,0,,,,2,3251,47,3300,6435
