ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,1,ACUÑA,93,220,10249,20352,11174,1261,690,22020,537,769,303,130,3091,155,63,2656,443,,,,18,73893,1615,75526,137802,0.5481
5,COAHUILA,2,PIEDRAS NEGRAS,109,249,25057,28941,1753,2385,2023,1700,1002,2399,911,198,1587,340,159,8101,667,,,,115,77223,2103,79441,152068,0.5224
5,COAHUILA,3,SABINAS,118,239,23121,29903,433,796,938,10660,2023,2038,245,358,805,90,124,4814,288,873,,,46,77509,1707,79262,140248,0.5652
5,COAHUILA,4,SAN PEDRO,136,234,18378,27040,1723,1329,2123,6357,3787,2230,829,1902,2483,337,220,6443,738,,,,29,75919,2494,78442,124584,0.6296
5,COAHUILA,5,MONCLOVA,124,247,28247,29294,1751,1500,1477,2874,701,1732,881,147,836,300,113,13299,587,,,,44,83739,1927,85710,146871,0.5836
5,COAHUILA,6,FRONTERA,105,234,21593,24873,4523,3072,2618,247,758,1695,746,130,1260,192,108,12255,684,,,,54,74754,1936,76744,143330,0.5354
5,COAHUILA,7,MATAMOROS,131,246,12564,34696,1959,943,2431,2282,389,4288,573,17060,5671,2863,528,7547,423,,,,27,94217,2051,96295,144700,0.6655
5,COAHUILA,8,TORREON,37,169,26565,18031,2426,1040,1979,181,518,1098,1751,358,828,430,278,7463,292,,,,18,63238,1608,64864,116032,0.5590
5,COAHUILA,9,TORREON,154,242,34154,30457,1682,1343,1928,188,778,1341,612,252,488,437,165,8690,399,,,,39,82914,1699,84652,139001,0.6090
5,COAHUILA,10,TORREON,134,221,29075,23760,1335,1532,1733,182,666,1039,431,354,529,329,132,8966,309,,,,28,70372,1555,71955,123052,0.5848
5,COAHUILA,11,TORREON,37,181,27957,22446,1713,1327,2182,191,680,1450,584,390,493,377,199,10292,388,,,,39,70669,1433,72141,128155,0.5629
5,COAHUILA,12,RAMOS ARIZPE,106,222,14888,26373,1852,1101,3660,749,396,3273,1839,184,3818,204,4612,4728,973,,,,32,68650,3149,71831,126528,0.5677
5,COAHUILA,13,SALTILLO,91,222,21389,29169,1098,1154,2052,335,546,1483,670,204,3278,299,1047,9649,1175,,,,86,73548,2043,75677,138278,0.5473
5,COAHUILA,14,SALTILLO,76,227,33214,24804,1282,1209,1717,415,697,1776,588,168,2475,156,475,10219,1102,,2018,,56,82315,2162,84533,148846,0.5679
5,COAHUILA,15,SALTILLO,88,228,22217,29939,1315,1255,3059,248,642,1698,674,169,4510,236,594,9903,1230,,,,40,77689,2365,80094,145248,0.5514
5,COAHUILA,16,SALTILLO,123,246,17657,32564,1426,1265,2170,325,451,2313,508,237,2961,224,1873,9785,1734,,,1749,63,77242,2290,79595,147383,0.5401
