ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,1,CAMPECHE,1,PICH,5,12,1728,1322,470,93,154,35,111,801,58,32,,,,,4804,0,534,5338,6852,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_PICH.PDF
4,CAMPECHE,1,CAMPECHE,2,TIXMUCUY,6,7,151,1114,29,15,0,0,66,879,0,0,,,,,2254,0,71,2325,2748,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_TIXM.PDF
4,CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,5,7,406,797,58,10,15,8,19,420,10,63,,,,,1806,0,46,1852,2440,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_ALFR.PDF
4,CAMPECHE,1,CAMPECHE,4,HAMPOLOL,4,7,312,833,53,14,0,142,38,901,0,55,,,,,2348,2,68,2418,3023,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_HAMP.PDF
4,CAMPECHE,2,CALKINI,5,BECAL,7,13,733,1325,190,47,300,121,186,1249,12,58,,,,180,4401,63,136,4600,5752,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_BECA.PDF
4,CAMPECHE,2,CALKINI,6,DZITBALCHE,6,17,167,3278,447,169,727,1078,269,1940,0,432,,,,,8507,30,295,8832,10914,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_DZIT.PDF
4,CAMPECHE,2,CALKINI,7,NUNKINI,8,14,863,2638,207,253,115,47,401,1631,0,35,,,,,6190,1,193,6384,7433,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_NUNK.PDF
4,CAMPECHE,3,CARMEN,8,ATASTA,7,20,454,1592,92,164,69,48,143,1612,32,57,,47,510,,4820,38,288,5146,11712,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_ATAS.PDF
4,CAMPECHE,3,CARMEN,9,MAMANTEL,8,12,549,1178,4,83,12,56,111,1599,6,3,,,,,3601,1,214,3816,5951,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_MAMA.PDF
4,CAMPECHE,3,CARMEN,10,SABANCUY,11,21,1144,3392,102,137,567,150,156,2544,37,51,104,,,,8384,0,526,8910,12991,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_SABA.PDF
