ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD,PRI_PVEM,PT_MORENA_ES,MC,NA,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,6,ARMERIA,21,41,1786,4247,5616,230,920,,,12799,1,573,13373,21499,
6,COLIMA,1,COLIMA,91,227,18229,16299,17259,19256,5553,,,76596,84,2236,78916,123072,
6,COLIMA,2,COMALA,13,32,3966,3421,1928,914,174,1025,,11428,1,371,11800,16597,
6,COLIMA,3,COQUIMATLAN,15,34,2083,3716,2814,591,910,,,10114,1,381,10496,15996,
6,COLIMA,4,CUAUHTEMOC,18,43,6100,3872,2938,659,1068,,,14637,3,482,15122,22909,
6,COLIMA,7,IXTLAHUACAN,8,12,97,1768,1887,82,107,,,3941,0,114,4055,5084,
6,COLIMA,8,MANZANILLO,70,233,10249,25834,29679,3637,1537,,10326,81262,13,2954,84229,136912,
6,COLIMA,9,MINATITLAN,7,16,221,2474,2400,429,225,,,5749,0,159,5908,7341,
6,COLIMA,10,TECOMAN,60,144,12366,11616,18208,1163,908,,,44261,20,1801,46082,82538,
6,COLIMA,5,VILLA DE ALVAREZ,67,168,6689,15806,18284,18802,2289,,,61870,50,1566,63486,98772,
