ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
11,GUANAJUATO,1,DOLORES HIDALGO CIN,153,332,28972,20837,3085,13825,1810,5353,5666,9370,1440,,,90358,137,5295,95790,184197,
11,GUANAJUATO,2,SAN LUIS DE LA PAZ,156,370,41796,18533,4516,8484,2612,7123,5053,23601,1876,,,113594,56,6678,120328,209948,
11,GUANAJUATO,3,LEON,88,298,65158,9741,1072,9197,1793,2388,2284,13902,1770,,,107305,100,3778,111183,186470,
11,GUANAJUATO,4,LEON,115,298,44764,11180,1357,7988,1928,2022,2168,14401,1533,,,87341,134,4889,87475,185354,
11,GUANAJUATO,5,LEON,99,293,48711,10009,1151,8011,1910,2301,2059,13620,1545,,,89317,102,3609,93028,183623,
11,GUANAJUATO,6,LEON,126,303,46929,12271,1211,8440,1931,1954,1893,12569,1471,,,88669,66,4196,92931,182252,
11,GUANAJUATO,7,LEON,206,364,62898,12855,1237,10607,2145,2540,2604,16807,1811,,,113504,101,4673,118278,198253,
11,GUANAJUATO,8,GUANAJUATO,128,330,28909,19015,2886,10491,2692,3011,4632,17901,2127,,,91664,87,5279,97030,191337,
11,GUANAJUATO,9,SAN MIGUEL DE ALLENDE,146,336,33128,12241,1823,11906,2165,2240,3996,20619,2838,,,90956,97,5146,91053,192643,
11,GUANAJUATO,10,SAN FRANCISCO DEL RINCON,147,341,49922,25708,1146,10147,1180,2310,1843,8785,631,,,101672,49,4023,101672,198991,
11,GUANAJUATO,11,IRAPUATO,109,340,46349,18415,1779,5272,2792,1993,2623,21429,2370,,,103022,102,4421,103124,211800,
11,GUANAJUATO,12,IRAPUATO,140,340,36565,15513,1533,5247,2890,2124,2763,25473,2548,,,94656,113,4175,98944,203287,
11,GUANAJUATO,13,SILAO DE LA VICTORIA,128,307,27066,18233,1657,8637,2201,1737,3918,19875,1299,,,84623,141,3212,87976,179803,
11,GUANAJUATO,14,SALAMANCA,154,361,38092,11939,2618,8291,3997,3073,3050,38143,2734,,,111937,118,4508,116563,212516,
11,GUANAJUATO,15,CELAYA,171,369,42513,12923,1663,8965,3031,3918,3523,25635,3664,,,105835,303,4991,106138,205305,
11,GUANAJUATO,16,CELAYA,110,320,32136,11046,1485,6204,2568,2728,2769,22997,2074,11939,,95946,198,3852,96144,199049,
11,GUANAJUATO,17,SANTA CRUZ DE JUVENTINO ROSAS,107,277,26579,6551,8151,8308,1244,2348,8852,17512,1103,,3420,84068,580,4216,88864,165941,
11,GUANAJUATO,18,PENJAMO,185,395,35856,22804,2666,9545,2748,2791,3539,23156,1409,,,104514,62,4958,104576,219081,
11,GUANAJUATO,19,VALLE DE SANTIAGO,156,388,35624,14875,17642,8521,2665,3809,6705,18175,1689,,,109705,97,5239,115041,217572,
11,GUANAJUATO,20,YURIRIA,212,437,41766,25205,6253,16414,2928,3837,2536,23182,1558,,,123679,64,6029,129772,247283,
11,GUANAJUATO,21,LEON,89,280,49683,9348,1128,9641,1940,2371,3030,16713,1993,,,95847,108,3587,99542,178486,
11,GUANAJUATO,22,ACAMBARO,212,384,25730,16731,7395,8508,2558,7976,2972,24295,1743,,,97908,392,6210,98300,206340,
