CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,1,0,MEC01,59,31,4,4,13,148,6,171,2,6,3,0,0,447,0,4,451,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,2,0,MEC02,42,29,3,4,6,137,8,129,3,7,1,0,1,370,0,6,376,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,3,0,MEC03,60,28,6,6,8,109,8,158,1,12,1,1,0,398,1,4,403,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,4,0,MEC04,58,21,9,3,5,102,8,138,1,16,0,0,0,361,1,7,369,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,5,0,MEC05,59,15,8,10,9,127,3,114,0,6,1,0,3,355,7,7,369,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,6,0,MEC06,52,23,6,2,12,139,4,145,3,7,1,,1,395,5,5,405,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,7,0,MEC07,52,27,2,6,14,99,7,133,4,10,3,0,0,357,2,3,362,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,8,0,MEC08,67,23,4,2,5,120,3,109,0,11,1,0,0,345,1,50,396,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,9,0,MEC09,63,30,4,2,9,119,8,125,4,2,7,1,1,375,,4,379,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,10,0,MEC10,52,28,4,0,7,112,6,136,2,12,0,0,0,359,0,6,365,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,11,0,MEC11,61,17,1,2,14,126,6,143,1,10,1,0,0,382,1,1,384,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,12,0,MEC12,76,22,5,6,9,127,4,146,2,7,1,0,1,406,1,3,410,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,13,0,MEC13,43,14,8,2,7,112,4,147,7,5,5,0,1,355,1,5,361,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,14,0,MEC14,52,21,3,5,4,146,3,147,0,10,3,0,0,394,0,6,400,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,15,0,MEC15,64,22,9,4,5,128,7,138,1,7,1,0,0,386,0,1,387,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,16,0,MEC16,57,14,6,5,7,118,8,133,1,7,1,0,0,357,1,11,369,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,17,0,MEC17,51,19,5,0,10,118,11,137,6,12,2,0,0,371,0,5,376,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,18,0,MEC18,32,36,7,4,11,104,9,158,1,13,0,0,0,375,2,6,383,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,19,0,MEC19,50,21,5,3,8,131,7,146,2,14,2,0,1,390,0,6,396,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,20,0,MEC20,36,28,5,5,4,126,7,124,1,11,1,0,0,348,0,5,353,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,21,0,MEC21,59,23,4,3,11,121,5,149,1,13,0,0,0,389,1,10,400,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,MEC,22,0,MEC22,52,25,4,9,16,144,7,152,3,10,3,0,0,425,2,7,434,0,Mesa de escrutinio y computo,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,B,1,0,B,15,68,5,11,14,236,15,101,0,3,0,0,0,468,0,11,479,690,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,1,0,C01,10,86,1,7,10,218,14,126,2,1,0,0,0,475,0,14,489,689,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,2,0,C02,15,77,5,1,10,227,10,130,4,1,0,0,0,480,0,13,493,689,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,B,1,0,B,12,96,5,5,5,149,6,89,2,1,1,0,0,371,0,7,378,489,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,25,C,1,0,C01,11,90,2,4,4,141,3,99,3,1,0,0,0,358,0,3,361,488,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,B,1,0,B,15,41,2,7,8,155,3,72,2,0,0,0,0,305,0,13,318,449,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,C,1,0,C01,17,49,1,4,1,151,4,80,1,3,1,0,2,314,0,10,324,448,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,B,1,0,B,9,52,1,7,6,170,19,117,6,1,5,0,1,394,0,10,404,566,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,C,1,0,C01,23,56,2,4,8,204,29,94,3,0,0,0,0,423,0,12,435,565,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,C,2,0,C02,10,62,3,15,8,175,11,87,2,1,0,0,0,374,0,12,386,565,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,B,1,0,B,18,106,2,8,14,199,14,134,5,0,0,0,0,500,0,3,503,677,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,C,1,0,C01,36,116,1,2,35,55,6,224,6,2,0,0,0,483,0,1,484,676,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,B,1,0,B,17,98,0,3,6,215,9,156,4,1,0,0,3,512,0,4,516,673,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,C,1,0,C01,34,71,5,9,13,214,18,143,5,1,0,0,1,514,0,12,526,673,ACTA CASILLA,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,29,C,2,0,C02,23,79,3,4,4,237,11,119,2,3,1,,,486,,13,499,672,ACTA CASILLA,,,
