ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,86,5603,9934,643,741,420,305,2472,8796,357,145,78,48,14,4,172,46,14,82,,,,,,,,,,,,,,,,,,,29874,7,1258,31139,45311,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M001.pdf
15,MEXICO,2,ACOLMAN,26,125,3183,16065,4610,1450,2020,781,1400,22140,1024,1074,132,57,11,16,564,131,41,153,,,,,,,,,,,,,,,,,,,54852,34,1212,56098,81436,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M002.pdf
15,MEXICO,3,ACULCO,23,59,4082,10841,1777,459,385,311,254,3479,420,446,144,95,20,9,105,34,10,53,,,,,,,,,,,,,,,,,,,22924,17,1026,23967,33305,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M003.pdf
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,621,5312,79,112,23,44,60,2332,46,13,3,5,0,0,28,11,3,6,,,,,,,,,,,,,,,,,,,8698,2,275,8975,11863,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M004.pdf
15,MEXICO,5,ALMOLOYA DE JUAREZ 1,56,181,9248,17794,3527,4451,1978,1316,3034,20589,1538,2079,237,103,31,22,,,,,,,,,,,,,,,,,,,,,,,65947,14,3655,69616,111693,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M005_ALMOLOYADEJUAREZ_JI_14_2018.pdf
15,MEXICO,6,ALMOLOYA DEL RIO 2,5,13,835,1254,936,147,1296,64,207,1408,132,43,19,24,1,1,20,7,3,14,,,,,,,,,,,,,,,,,,,6411,30,202,6643,8464,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M006.pdf
15,MEXICO,7,AMANALCO,10,29,165,3491,179,668,548,65,663,3804,229,2985,6,6,0,0,84,34,7,14,,,,,,,,,,,,,,,,,,,12948,4,439,13391,17591,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M007.pdf
15,MEXICO,8,AMATEPEC,27,46,202,5073,6743,171,43,100,,2010,209,,29,62,4,33,25,11,3,12,,,,,,,,,,,,,,,,,,,14730,10,625,15365,20578,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M008.pdf
15,MEXICO,9,AMECAMECA,26,68,537,5352,2621,334,8954,438,410,5340,314,3679,81,19,3,23,117,35,11,60,,,,,,,,,,,,,,,,,,,28328,12,801,29141,40264,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M009.pdf
15,MEXICO,10,APAXCO,14,36,4688,2066,65,89,,3225,833,773,92,40,,,,,16,4,0,4,2945,,,,,,,,,,,,,,,,,,14840,3,361,15204,21514,http://www.ieem.org.mx/proceso2018/actas/municipal/ACM2018_M010.pdf
