CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,1,3,28,68,61,311,26,1,155,41,12,,,,,0,2,0,0,13,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,0,57,947,1538
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,2,2,19,47,84,290,24,2,137,40,13,,,,,1,4,0,0,12,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,0,66,945,1488
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,3,2,22,40,36,164,21,2,111,29,12,,,,,1,2,1,0,2,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,1,23,608,957
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,4,2,13,53,40,209,28,3,84,21,6,,,,,0,0,1,0,2,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,1,35,631,976
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,5,2,18,34,38,230,11,3,109,35,15,,,,,2,5,0,0,2,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,0,62,718,1129
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,6,1,9,11,20,49,17,1,17,6,5,,,,,0,0,0,0,0,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0,27,300,442
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,7,1,9,35,32,86,7,2,37,10,2,,,,,1,1,0,0,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,0,27,344,586
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,8,1,12,10,16,61,5,1,22,8,25,,,,,0,1,0,0,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,0,26,241,364
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,9,1,1,6,14,25,6,0,72,8,3,,,,,0,0,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,0,18,173,226
5,16,MICHOACAN,19,TACÁMBARO,1,ACUITZIO,10,2,13,42,50,163,11,3,45,9,19,,,,,1,2,0,0,3,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,0,61,574,843
