CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,3,113,57,131,35,46,41,22,309,35,25,20,0,12,5,2,0,6,,,,,,,,,76,,,,,,,935,0,42,977,1561
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,4,254,131,101,80,76,94,39,610,65,30,35,6,30,36,8,0,3,,,,,,,,,160,,,,,,,1758,2,112,1872,2937
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,191,3,188,91,85,77,60,72,15,406,59,30,24,2,7,22,1,0,7,,,,,,,,,111,,,,,,,1257,0,60,1317,2051
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,192,3,235,110,139,53,60,89,16,459,84,35,25,14,7,16,1,1,5,,,,,,,,,129,,,,,,,1478,0,62,1540,2202
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,5,217,96,158,90,79,127,27,579,77,45,60,6,13,24,5,1,18,,,,,,,,,277,,,,,,,1899,1,103,2003,3216
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,6,286,135,188,113,85,98,26,680,123,70,114,15,13,32,6,10,8,,,,,,,,,404,,,,,,,2406,1,104,2511,3815
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,4,288,112,173,69,60,84,19,500,70,25,35,4,5,9,2,2,5,,,,,,,,,152,,,,,,,1614,1,82,1697,2585
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,5,258,151,224,79,57,86,22,544,75,28,41,23,24,12,0,0,5,,,,,,,,,144,,,,,,,1773,0,88,1861,3029
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,6,420,184,167,97,110,122,40,1005,135,28,83,17,16,37,20,2,19,,,,,,,,,280,,,,,,,2782,1,87,2870,4457
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,4,226,102,119,63,45,57,15,485,56,16,38,3,6,31,3,0,13,,,,,,,,,162,,,,,,,1440,0,57,1497,2316
