CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,C_COMUN_PRD_MC_PUP,PRD_MC,PRD_PUP,MC_PUP,C_COMUN_PRI_PVEM,C_COMUN_PRI_NA,C_COMUN_PVEM_NA,C_COMUN_PRD_MC,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,2,B,1,0,B,275,131,6,26,2,1,,1,51,0,0,,6,0,1,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,0,16,521,680,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,B,1,0,B,240,77,6,27,2,1,,1,42,0,3,,3,0,0,0,4,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,0,8,417,547,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,C,1,0,C01,248,79,3,26,3,1,,0,36,0,0,,5,1,0,0,2,4,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,1,6,416,547,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,C,2,0,C02,267,81,3,23,2,0,,2,35,0,0,,2,1,1,0,3,3,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0,11,435,547,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,B,1,0,B,238,83,5,5,3,5,,0,36,2,0,,1,1,1,0,1,3,0,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,0,16,406,540,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,C,1,0,C01,224,89,1,14,3,0,,2,30,1,0,,0,2,2,0,3,5,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,0,27,405,539,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,C,2,0,C02,237,71,2,19,0,1,,1,39,0,1,,5,2,3,1,3,7,0,0,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395,0,20,415,539,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,B,1,0,B,252,136,3,15,2,1,,3,45,1,0,,2,1,0,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0,18,486,655,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,S,1,0,S01,29,13,1,0,1,0,,0,7,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,4,58,0,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,B,1,0,B,234,62,7,2,6,6,,3,18,1,0,,1,3,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0,26,370,562,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,C,1,0,C01,202,80,3,3,7,5,,2,96,6,1,,0,1,2,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,0,17,427,562,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,C,2,0,C02,240,62,12,2,3,7,,4,88,1,0,,1,2,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,0,24,448,561,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,B,1,0,B,191,70,3,0,2,6,,2,48,2,0,,1,3,2,0,0,1,0,0,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,0,21,357,442,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,C,1,0,C01,76,51,3,6,0,7,,1,41,2,0,,1,1,2,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,0,24,217,441,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,8,B,1,0,B,278,166,4,4,2,0,,1,39,2,0,,6,0,1,0,1,3,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,0,32,541,696,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,9,B,1,0,B,319,106,16,0,1,1,,0,51,3,1,,2,0,1,0,0,2,1,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,0,15,523,670,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,B,1,0,B,293,88,2,8,4,4,,4,36,0,0,,9,3,1,0,1,7,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,0,17,478,594,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,C,1,0,C01,333,72,1,8,1,0,,2,27,0,0,,5,1,0,0,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,0,21,479,593,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,B,1,0,B,206,86,6,3,3,0,,2,35,2,1,,1,0,0,0,5,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,0,19,370,513,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,C,1,0,C01,240,70,2,4,5,3,,0,33,0,0,,4,4,1,1,1,2,1,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,0,16,391,513,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,C,2,0,C02,247,61,5,0,5,2,,2,30,0,1,,7,2,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,0,15,380,512,Recuento,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,B,1,0,B,226,107,2,3,2,3,,2,31,0,1,,4,4,0,0,1,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,0,9,397,545,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,C,1,0,C01,261,72,3,8,1,1,,1,28,3,0,,0,1,0,0,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,0,21,404,545,Cotejo,,,
,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,C,2,0,C02,230,89,3,3,0,4,,0,33,1,0,,2,2,1,0,1,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,0,24,396,545,Recuento,,,
