ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,535,4,587,268,21,82,33,18,12,5,558,32,13,2,0,2,1,0,5,2,1,2,1,0,0,0,0,0,15,1,0,0,0,0,0,0,1,3,35,11,5,14,1730,0,53,1783,2339
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,536,3,302,110,9,41,16,9,11,4,315,13,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,11,4,0,10,871,0,41,912,1766
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,537,3,245,164,100,81,16,17,10,1,380,24,1,1,1,0,1,1,3,2,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,14,6,2,4,1079,0,46,1125,1451
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,538,3,314,286,25,48,22,14,7,1,588,26,5,1,0,0,0,0,6,1,0,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,19,6,0,5,1381,0,63,1444,1780
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,539,2,196,91,8,30,11,14,3,3,248,10,6,3,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,6,2,0,2,642,0,19,661,820
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,540,2,248,106,9,27,8,11,6,6,174,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,2,1,3,624,0,17,641,832
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,541,3,328,235,36,53,5,17,4,4,441,13,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,1,9,1,0,5,1167,0,28,1195,1524
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,542,2,308,146,23,52,17,18,5,4,287,19,5,2,0,1,1,0,2,1,0,0,1,1,1,0,0,0,7,1,2,1,1,0,0,0,0,0,11,8,1,4,930,0,40,970,1377
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,543,1,171,167,2,13,5,5,5,1,124,5,4,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,8,1,1,0,522,0,22,544,734
21,PUEBLA,1,XICOTEPEC DE JUAREZ,58,HONEY,502,3,773,281,12,17,11,10,5,0,112,2,6,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,16,4,1,0,0,0,0,0,0,0,0,2,0,3,1259,0,55,1314,1723
