ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERÉTARO,1,QUERÉTARO,62,175,19084,11080,962,1001,683,2079,1426,19489,1082,619,4703,728,138,154,24,,,,,,472,,,,,,,,63723,81,2772,66577,108525,
22,QUERÉTARO,2,QUERÉTARO,66,187,19040,7520,1118,943,1025,2471,1079,20142,1264,2341,5156,810,133,140,54,252,,,,,366,,,,,,,,63854,93,2703,66650,112569,
22,QUERÉTARO,3,QUERÉTARO,67,164,18327,5997,905,1085,1018,1532,1230,19752,1218,1353,3843,735,137,186,32,207,532,96,71,22,,,,,,,,,58278,89,2113,60480,102541,
22,QUERÉTARO,4,QUERÉTARO,62,176,28103,6197,1413,1523,1378,1326,931,16381,907,1119,3015,537,107,142,48,179,,,,,610,,,,,,,,63916,99,2624,66639,109805,
22,QUERÉTARO,5,QUERÉTARO,65,188,25851,10075,1033,1883,1366,2274,1046,17360,1308,680,3476,598,142,126,35,281,,,,,395,,,,,,3045,,70974,55,3002,74031,113327,
22,QUERÉTARO,6,QUERÉTARO,51,187,26173,9069,866,1474,1406,2895,1647,16964,1926,939,3715,725,219,162,54,408,,,,,396,,2982,,,,,,72020,76,3104,75200,117394,
22,QUERÉTARO,7,CORREGIDORA,63,179,25743,10031,1275,1130,2288,2949,925,10747,1327,798,1967,386,106,93,49,432,,,,,,,,,,1858,,,62104,48,3391,65543,104811,
22,QUERÉTARO,8,SAN JUAN DEL RÍO,66,180,24995,15945,896,828,1043,1985,796,9734,889,466,1986,422,138,111,62,984,,,,,,,,,,,,,61280,49,3332,64661,96694,
22,QUERÉTARO,9,SAN JUAN DEL RÍO,53,170,21400,8057,745,1054,1809,2028,939,16820,1152,1023,1911,773,145,157,28,296,,,,,,3134,,,,,,,61471,74,2229,63774,104113,
22,QUERÉTARO,10,PEDRO ESCOBEDO,41,158,19809,11415,1636,1153,2624,2441,1160,12318,2231,1318,3028,836,150,168,54,412,,,,,,,,,,,,,60753,38,2835,63626,98118,
22,QUERÉTARO,11,TEQUISQUIAPAN,51,156,23792,12388,1645,,1158,2446,893,10655,1170,2562,917,313,147,92,28,,,,,,,,,,3219,,,,61425,71,3422,64918,95870,
22,QUERÉTARO,12,EL MARQUÉS,33,176,18541,17738,7063,1553,1113,1597,893,12128,1065,1043,1447,394,78,109,66,701,,,,,,,,4417,,,,,69946,34,2783,72763,112388,
22,QUERÉTARO,13,QUERÉTARO,40,193,24184,9746,1100,1244,616,1719,1219,15595,1539,554,1185,496,145,146,34,343,,,,,361,,,,,,,3011,63237,62,2602,65901,119121,
22,QUERÉTARO,14,CADEREYTA DE MONTES,61,175,20935,11348,1512,1236,2369,3073,1088,11721,2134,1236,2056,413,127,137,53,512,,,,,579,,,,,,,,60529,39,3995,64563,100111,
22,QUERÉTARO,15,JALPAN DE SERRA,79,184,14897,20767,2004,1174,4785,550,625,6326,1409,1024,675,,,,,,266,230,53,19,,,,,,,,,54804,16,4068,58888,87566,
