ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD_MC_PAS,PRI,PVEM,NA,C_COMUN_PRI_PVEM_NA,PT_MORENA_ES,PT,MORENA,ES,PAIS,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
25,SINALOA,1,AHOME,453,669,38281,,,,61286,89512,,,,1581,,1475,,,192135,195,4481,196811,321131
25,SINALOA,2,ANGOSTURA,103,112,9466,,,,10498,4566,,,,100,,,400,,25030,12,938,25980,35903
25,SINALOA,3,BADIRAGUATO,60,67,5890,,,,7013,628,,,,65,,,,,13596,2,661,14259,22814
25,SINALOA,7,CHOIX,67,74,3201,,,,5566,6603,,,,62,,,,,15432,1,540,15973,23300
25,SINALOA,4,CONCORDIA,43,49,4126,,,,6157,1950,,,,91,,,,,12324,1,677,13002,20583
25,SINALOA,5,COSALA,32,37,3515,,,,3875,137,,,,83,,,,,7610,11,526,8147,12149
25,SINALOA,6,CULIACAN,1001,1436,63687,,,,136152,170601,,,,7033,,,,,377473,183,10638,388294,681372
25,SINALOA,10,EL FUERTE,169,183,10801,,,,16163,15062,,,,265,400,,,,42691,30,1586,44307,71928
25,SINALOA,8,ELOTA,59,75,6203,,,,7647,3913,,,,191,,,,875,18829,93,672,19594,29975
25,SINALOA,9,ESCUINAPA,63,86,2842,8055,337,740,,,220,11705,168,126,,,,,24193,0,776,24969,40712
25,SINALOA,11,GUASAVE,437,501,16304,,,,50553,59808,,,,1403,,,,,128068,60,3808,131936,208773
25,SINALOA,12,MAZATLAN,492,719,36207,,,,70286,81693,,,,2443,,,,,190629,107,4950,195686,350510
25,SINALOA,13,MOCORITO,112,116,9109,,,,8628,4598,,,,149,,,,,22484,31,909,23424,35352
25,SINALOA,18,NAVOLATO,172,225,15734,,,,17143,26450,,,,1054,,,,,60381,30,1820,62231,103304
25,SINALOA,14,ROSARIO,84,96,13003,,,,6652,,,2694,305,302,,,,,22956,0,1046,24002,37933
25,SINALOA,15,SALVADOR ALVARADO,144,165,12187,,,,15333,10154,,,,199,,,,,37873,7,1116,38996,60843
25,SINALOA,16,SAN IGNACIO,37,44,1752,283,5246,402,,1029,,,,50,,,,,8762,35,837,9634,15867
25,SINALOA,17,SINALOA,176,187,6491,,,,16719,12538,,,,218,,,,,35966,7,1721,37694,62809
