NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN_PRD_MC_PAS,PRI,PVEM,NA,PRI_PVEM_NA,C_COMUN_PRI_PVEM_NA,PT_MORENA_ES,PT,MORENA,ES,PAIS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
SINALOA,1,EL FUERTE,236,257,14490,,,,20646,,24640,,,,357,,,,,60133,13,2340,62486,95228,
SINALOA,2,LOS MOCHIS,109,175,12183,,,,14006,,27033,,,,745,,,,,53967,44,1282,55293,88443,
SINALOA,3,LOS MOCHIS,150,184,10060,,,,13540,,,2726,22508,676,347,,,,,49857,20,2676,52553,84242,
SINALOA,4,LOS MOCHIS,160,194,10905,,,,12739,,27183,,,,789,,,,,51616,52,1295,52963,87048,
SINALOA,5,LOS MOCHIS,86,176,13168,,,,9660,,28099,,,,737,,,,,51664,21,1131,52816,87988,
SINALOA,6,SINALOA DE LEYVA,215,228,7447,,,,,18954,18951,,,,298,,,,,45650,13,2164,47827,78996,
SINALOA,7,GUASAVE,179,207,6074,,,,17594,,28295,,,,430,,,,,52393,31,1617,54041,83524,
SINALOA,8,GUASAVE,167,193,7212,,,,17928,,24906,,,,539,,,,,50585,27,1563,52175,82472,
SINALOA,9,GUAMUCHIL,247,277,26982,,,,16583,,18183,,,,420,,,,,62168,10,2217,64395,96746,
SINALOA,10,MOCORITO,219,236,16612,,,,,21165,14202,,,,400,,,,,52379,19,2128,54526,81765,
SINALOA,11,NAVOLATO,125,172,9330,,,,11802,,22883,,,,1254,,,,,45269,40,1442,46751,79705,
SINALOA,12,CULIACAN DE ROSALES,66,167,12526,,,,14589,,30625,,,,1945,,,,,59685,66,1492,61243,98439,
SINALOA,13,CULIACAN DE ROSALES,161,212,11068,,,,16328,,26454,,,,1831,,,,,55681,87,1868,57636,98340,
SINALOA,14,CULIACAN DE ROSALES,263,296,12327,,,,17210,,30759,,,,823,2704,1566,,,65389,80,1690,67159,101818,
SINALOA,15,CULIACAN DE ROSALES,78,158,7969,,,,10036,,24857,,,,646,,,2916,,46424,37,1037,47498,85823,
SINALOA,16,CULIACAN DE ROSALES,55,135,7237,,,,9994,,25773,,,,835,,,,,43839,29,1032,44900,83586,
SINALOA,17,CULIACAN DE ROSALES,155,192,7060,,,,11987,,26037,,,,1997,,,,,47081,45,2341,49467,92373,
SINALOA,18,CULIACAN DE ROSALES,176,218,11028,10697,882,958,,,24615,,,,789,,,,,48969,26,1861,50856,94015,
SINALOA,19,LA CRUZ,175,214,13741,18835,2787,931,,,13618,,,,364,,,,,50276,128,4424,54828,84969,
SINALOA,20,MAZATLAN,90,178,12646,,,,15753,,30315,,,,852,,,,,59566,34,2034,61634,97053,
SINALOA,21,MAZATLAN,76,166,11106,,,,13520,,24450,,,,802,,,,1727,51605,124,1240,52969,93155,
SINALOA,22,MAZATLAN,189,212,11270,,,,14383,,27122,,,,1167,,,,,53942,250,2029,56221,94504,
SINALOA,23,MAZATLAN,180,212,13415,,,,16623,,17433,,,,500,,,,,47971,35,1886,49892,86381,
SINALOA,24,EL ROSARIO,147,182,15586,12317,714,1667,,,,348,12961,465,347,,,,,44405,16,2074,46495,78645,
