CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PRI_PVEM_NA_CP,PVEM_NA,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,1,2,,295,200,17,80,57,,29,38,3,250,,,,,,,,,,,,,3,3,0,0,,,,,,,,,,,,,975,0,15,990,1459
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,2,3,,424,280,17,124,94,,64,108,0,354,,,,,,,,,,,,,5,11,0,0,,,,,,,,,,,,,1481,0,32,1513,2187
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,3,1,,16,81,1,22,3,,11,4,0,31,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,170,0,8,178,294
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,4,1,,13,163,3,9,2,,3,2,0,36,,,,,,,,,,,,,1,3,0,2,,,,,,,,,,,,,237,0,23,260,366
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,5,1,,6,90,1,22,1,,2,4,0,26,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,152,0,7,159,218
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,6,3,,149,330,6,56,74,,25,36,1,334,,,,,,,,,,,,,2,3,0,0,,,,,,,,,,,,,1016,0,52,1068,1668
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,7,2,,203,167,10,140,96,,12,15,1,137,,,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,783,0,48,831,1231
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,8,3,,152,147,19,154,107,,32,31,4,255,,,,,,,,,,,,,2,3,0,0,,,,,,,,,,,,,906,0,36,942,1463
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,9,1,,27,37,3,38,14,,4,7,1,50,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,181,0,3,184,294
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,10,1,,24,14,0,38,2,,2,1,0,6,,,,,,,,,,,,,0,2,0,1,,,,,,,,,,,,,90,0,3,93,140
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,11,2,,193,254,5,104,19,,10,8,0,207,,,,,,,,,,,,,0,1,0,0,,,,,,,,,,,,,801,0,29,830,1160
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,12,1,,106,50,14,53,34,,10,23,1,114,,,,,,,,,,,,,1,0,0,1,,,,,,,,,,,,,407,0,25,432,673
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,13,2,,178,183,8,58,58,,9,37,4,135,,,,,,,,,,,,,2,3,0,0,,,,,,,,,,,,,675,0,20,695,917
,24,SAN LUIS POTOSI,4,SALINAS,1,AHUALULCO,14,4,,253,427,14,317,42,,25,31,4,358,,,,,,,,,,,,,9,2,1,1,,,,,,,,,,,,,1484,0,83,1567,2158
,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,15,1,40,,,2,,,,78,2,0,,,,,73,,,,,,,,,0,0,0,0,,,,,,,,,,,,,195,0,14,209,318
,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,16,1,33,,,5,,,,76,10,1,,,,,131,,,,,,,,,0,0,0,2,,,,,,,,,,,,,258,0,13,271,354
,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,17,1,17,,,1,,,,55,7,0,,,,,85,,,,,,,,,0,0,0,0,,,,,,,,,,,,,165,0,12,177,244
,24,SAN LUIS POTOSI,11,CARDENAS,2,ALAQUINES,18,1,19,,,0,,,,31,3,0,,,,,46,,,,,,,,,0,0,0,1,,,,,,,,,,,,,100,0,2,102,147
