ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PT_MORENA_ES,C_COMUN_PAN_PRD,C_COMUN_PRI_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,1,ACONCHI,2,5,,,,,,22,,,,,775,806,130,,,,,,,,,,,,,,,,1733,0,43,1776,2431,
26,Sonora,2,AGUA PRIETA,29,104,,,,,,381,,,,276,7311,,12004,,9426,458,,,,,,,,,,,,,29856,34,867,30757,64815,
26,Sonora,62,ALAMOS,28,42,,,,,,581,,,,155,4400,,826,,5622,,,,,,,,,,,,,,11584,4,719,12307,19332,
26,Sonora,3,ALTAR,7,14,,,,,,42,,,,,372,2885,479,,,,,,,,,,,,,,,,3778,3,144,3925,6573,
26,Sonora,4,ARIVECHI,3,4,,,,,,,,,,,230,566,17,,,,,,,,,,,,,,,,813,0,23,836,1215,
26,Sonora,5,ARIZPE,5,7,,,,,,,,,,872,53,1243,22,,,,,,,,,,,,,,,,2190,0,102,2292,3019,
26,Sonora,6,ATIL,1,2,,,,,,340,,72,,,1,311,,,,,,,,,,,,,,,,,724,0,6,730,841,
26,Sonora,7,BACADEHUACHI,1,2,,,,,,4,,,,221,,292,428,,,,,,,,,,,,,,,,945,0,7,952,1147,
26,Sonora,8,BACANORA,3,4,,386,,5,,,,,,,,,7,459,,,,,,,,,,,,,,,857,0,24,881,1293,
26,Sonora,9,BACERAC,1,2,,,,,,,,,,,384,526,26,,,,,,,,,,,,,,,,936,0,31,967,1152,
26,Sonora,10,BACOACHI,2,3,,451,,,,,,,,,348,,206,,,,,,,,,,,,,,,,1005,0,24,1029,1443,
26,Sonora,58,BACUM,13,29,,,,,,836,,,,610,1948,,3909,,2060,,,,,,,,,,,,,,9363,1,268,9632,17970,
26,Sonora,11,BANAMICHI,2,3,,,,,,,,,,,538,582,74,,,,,,,,,,,,,,,,1194,0,16,1210,1541,
26,Sonora,12,BAVIACORA,6,9,,,,,,520,,,,,1211,650,105,,,,,,,,,,,,,,,,2486,0,80,2566,3430,
26,Sonora,13,BAVISPE,2,3,,,,,,,,,,,4,646,362,,,,,,,,,,,,,,,,1012,0,5,1017,1324,
