ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,CAND_IND14,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,1,SAN LUIS RÍO COLORADO,79,184,8995,4408,797,2049,1747,1048,3791,15497,1140,601,,,2133,,,,42206,53,1300,43559,101463,
26,Sonora,2,PUERTO PEÑASCO,30,147,9649,4096,802,1904,1473,1140,3523,12877,823,1031,,,,,,,37318,58,1417,38793,94602,
26,Sonora,3,CABORCA,67,165,6420,11941,1021,1285,1557,3824,945,18495,790,576,,,,,,,46854,33,2234,49121,92005,
26,Sonora,4,NOGALES,77,180,9944,10177,1058,992,1562,4739,975,17577,784,581,,,,,,,48389,16,1611,50016,108586,
26,Sonora,5,NOGALES,71,179,10279,9097,1125,836,1252,4297,646,14665,441,553,,,,,,,43191,39,1515,44745,106168,
26,Sonora,6,HERMOSILLO,65,166,7591,14982,637,1333,1458,3569,1156,18982,855,1138,,,,,,,51701,59,1621,53381,100321,
26,Sonora,7,AGUA PRIETA,59,177,13614,13192,1252,1153,2522,2200,1253,13950,681,1118,,,,,,,50935,11,1847,52793,105423,
26,Sonora,8,HERMOSILLO,75,163,5864,7255,570,916,1252,3493,730,18455,660,615,,,,1484,,,41294,80,1234,42608,97314,
26,Sonora,9,HERMOSILLO,93,193,8713,13580,546,1488,1143,4084,1536,16861,694,1143,,,,,,,49788,24,1677,51489,111515,
26,Sonora,10,HERMOSILLO,40,150,7436,12667,610,1426,1469,3579,1193,19432,804,1233,,,,,,,49849,34,1740,51623,99598,
26,Sonora,11,HERMOSILLO,77,167,4296,11802,483,1217,1482,2344,1071,16921,680,729,,,,,,,41025,60,1305,42390,94849,
26,Sonora,12,HERMOSILLO,65,165,7536,11045,558,1143,1500,3491,1081,17571,715,1254,,,,,,,45894,35,1349,47278,96441,
26,Sonora,13,GUAYMAS,76,175,6599,1075,1229,5377,3363,1812,4301,19361,807,1335,,,,,3088,,48347,43,1273,49663,96727,
26,Sonora,14,EMPALME,65,153,3124,755,2706,3778,2031,2218,3022,17682,700,1303,,,,,,,37319,11,1323,38653,88292,
26,Sonora,15,CD. OBREGÓN,77,192,1921,11525,581,1317,1490,3412,1327,24661,787,863,4136,,,,,,52020,41,1556,53617,107171,
26,Sonora,16,CD. OBREGÓN,82,184,3570,9338,582,1320,1592,5939,838,19597,644,411,,8183,,,,,52014,91,1666,53771,105320,
26,Sonora,17,CD. OBREGÓN,60,176,2488,8926,622,948,1481,3985,997,27191,716,581,,,,,,6295,54230,39,1463,55732,107956,
26,Sonora,18,SANTA ANA,142,233,17927,8968,2295,5979,2842,2757,14948,15397,610,1912,,,,,,,73635,25,3485,77145,114519,
26,Sonora,19,NAVOJOA,55,153,4775,14253,690,1076,1357,868,1000,22540,559,521,,,,,,,47639,19,1285,48943,93366,
26,Sonora,20,ETCHOJOA,73,160,5112,14146,1832,825,1726,979,1128,21935,695,290,,,,,,,48668,14,1795,50477,87674,
26,Sonora,21,HUATABAMPO,85,174,9181,4855,4159,3237,4446,4815,8094,10969,3759,626,,,,,,,54141,6,2705,56852,92378,
