CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,4,79,153,303,25,108,11,633,89,11,2,2,1,10,6,2,3,46,1484,0,114,1598,2666
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,3,57,121,246,12,79,8,617,41,3,5,0,6,5,3,1,4,38,1246,0,61,1307,1946
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,2,36,78,96,3,53,1,394,31,1,0,0,0,3,1,0,1,16,714,0,18,732,1098
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,2,24,78,137,4,47,4,355,47,1,1,1,0,4,1,0,5,25,734,1,49,784,1061
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,3,44,96,173,11,67,5,590,41,8,2,0,3,6,2,0,1,45,1094,1,50,1145,1688
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,2,44,87,158,7,43,6,479,48,10,0,1,0,2,0,0,2,8,895,0,34,929,705
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,2,13,92,75,6,33,4,512,18,84,0,0,1,1,1,1,4,57,902,0,49,951,1208
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,2,19,74,87,14,31,11,254,89,3,0,2,1,6,2,0,6,12,611,0,95,706,1090
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,2,17,60,95,13,65,7,372,120,0,0,0,0,1,0,0,4,14,768,0,103,871,1281
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,10,1,11,22,38,4,9,0,39,16,1,0,1,0,0,0,0,0,3,144,0,11,155,201
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,11,1,19,12,45,5,16,1,115,104,80,0,0,0,220,0,0,0,0,617,0,53,670,534
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,12,1,11,41,34,5,24,6,171,124,1,0,0,0,5,2,0,5,8,437,0,32,469,639
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,2,19,71,106,7,41,9,335,21,6,1,0,2,4,0,1,2,8,633,0,116,749,1062
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,14,1,24,35,72,5,34,3,261,13,4,0,0,1,3,0,0,4,4,463,0,52,515,736
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,15,1,14,44,97,6,41,12,248,11,4,0,0,1,2,2,0,2,8,492,0,51,543,722
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,16,1,14,54,51,1,20,4,268,20,0,0,0,1,1,1,0,5,6,446,0,65,511,723
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,2,32,48,104,8,49,7,239,61,5,1,0,1,6,2,0,4,10,577,0,64,641,857
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,18,2,39,114,75,7,30,5,161,214,3,2,0,1,5,0,0,2,10,668,0,84,752,1022
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,19,1,8,18,19,2,6,1,58,44,0,0,0,0,1,0,0,1,3,161,0,10,171,255
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,20,1,36,28,77,3,32,4,148,70,2,1,0,2,3,1,0,1,3,411,0,66,477,636
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,21,1,12,33,21,5,13,1,87,19,0,0,0,0,0,0,0,0,1,192,0,21,213,292
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,22,2,12,60,40,2,69,3,260,125,1,0,1,1,0,0,0,0,5,579,0,44,623,820
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,23,2,28,49,143,6,39,5,206,75,5,1,0,2,1,0,0,5,2,567,1,75,643,872
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,24,3,58,305,134,15,60,7,388,148,7,2,1,1,5,2,0,3,18,1154,0,123,1277,1761
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,25,2,53,32,86,5,40,4,149,111,4,2,1,0,4,0,0,0,8,499,0,40,539,777
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,27,1,15,63,65,3,16,1,127,28,2,1,0,0,2,0,0,0,8,331,0,15,346,484
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,28,2,24,86,43,2,18,5,166,52,4,0,0,1,7,2,0,1,32,443,0,38,481,797
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,29,1,17,93,67,2,18,1,162,29,0,0,0,0,1,0,0,2,1,393,0,48,441,622
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,30,3,25,59,94,11,31,9,340,55,1,1,0,2,1,0,1,0,23,653,0,114,767,1084
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,31,1,5,28,24,0,10,0,42,9,1,0,0,0,0,0,0,0,1,120,0,17,137,198
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,32,1,13,26,20,2,13,2,68,35,0,1,0,2,1,1,0,1,15,200,0,37,237,317
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,33,1,20,5,30,0,7,2,114,51,0,0,0,0,4,1,1,2,0,237,0,12,249,341
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,34,1,11,43,42,3,10,3,34,78,1,0,0,1,0,0,1,0,1,228,1,16,245,391
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,35,2,35,37,208,7,38,3,333,77,3,2,1,1,4,1,1,4,30,785,10,92,887,1149
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,36,1,27,38,97,9,36,2,194,42,4,4,0,0,0,0,0,0,18,471,0,43,514,654
