ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRI,PVEM,PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,12,246,1052,,,,,264,220,144,,106,2261,937,7,2,2,0,,,,,5241,5,239,5485,8024,
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,20,854,1383,,,,,443,341,361,,217,3345,552,23,17,3,2,,,,,7541,1,384,7926,11474,
29,TLAXCALA,3,APIZACO,37,104,8199,6590,,10,0,0,804,7078,1022,0,689,14610,1378,101,62,33,7,,,,,40583,44,1957,42584,64021,
29,TLAXCALA,4,ATLANGATEPEC,9,11,370,,404,,,,81,147,26,252,37,796,44,4,5,2,2,26,12,2,9,2219,695,166,3080,4886,
29,TLAXCALA,5,ATLTZAYANCA  ,19,27,714,1684,,,,,313,2263,125,,165,2422,121,9,25,4,0,,,,,7845,1,462,8308,12181,
29,TLAXCALA,6,CALPULALPAN,21,55,2702,3539,,7,2,1,453,927,568,1,1542,8963,641,69,40,26,10,299,97,16,118,20021,9,866,20896,34177,
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,18,849,1566,,,,,155,417,116,,76,2631,104,7,11,7,0,,,,,5939,5,475,6419,11380,
29,TLAXCALA,8,CUAPIAXTLA,10,19,542,1354,,,,,277,1202,88,,62,2482,116,7,18,0,0,,,,,6148,4,376,6528,10194,
29,TLAXCALA,9,CUAXOMULCO,5,8,424,670,,,,,55,161,99,,123,990,50,9,5,1,0,20,9,1,8,2625,2,133,2760,4390,
29,TLAXCALA,10,CHIAUTEMPAN,30,87,4718,3565,,11,2,0,1268,1872,1043,0,1148,15225,682,107,57,37,23,410,185,8,103,30464,22,1212,31698,51679,
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,338,254,,,,,34,620,20,,31,842,65,1,2,1,0,,,,,2208,2,152,2362,3631,
29,TLAXCALA,12,ESPAÑITA,12,14,1931,590,,,,,74,809,99,,62,631,35,41,31,12,0,,,,,4315,0,213,4528,6566,
29,TLAXCALA,13,HUAMANTLA,42,105,5055,10796,,,,,1018,2187,1147,,665,14818,801,84,54,22,4,197,92,14,45,36999,25,2165,39189,63563,
29,TLAXCALA,14,HUEYOTLIPAN,12,20,1711,1045,,,,,210,1521,57,,202,1847,67,31,25,13,4,,,,,6733,0,393,7126,11283,
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,25,50,705,1915,,,,,331,1927,1167,,626,7470,679,31,11,12,6,,,,,14880,4,922,15806,27916,
29,TLAXCALA,16,IXTENCO,4,8,283,565,,,,,75,123,72,,69,1882,85,4,5,0,0,18,18,3,11,3213,3,215,3431,5277,
29,TLAXCALA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,4,12,276,783,,,,,515,161,611,,42,2409,88,13,26,1,2,71,22,3,26,5049,3,173,5225,7693,
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,17,44,679,3101,,,,,1487,1152,1148,,256,6831,1636,38,22,6,8,,,,,16364,9,729,17102,26505,
29,TLAXCALA,19,TEPETITLA DE LARDIZABAL,8,22,1135,1332,,,,,1593,245,188,,466,3752,168,33,20,7,11,79,35,2,26,9092,3,283,9378,14581,
29,TLAXCALA,20,SANCTORUM DE LAZARO CARDENAS,5,12,515,905,,,,,156,192,77,,246,1674,98,8,4,6,2,62,18,4,24,3991,1,136,4128,6544,
29,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA,10,23,1080,2199,,,,,153,412,195,,280,2822,169,48,7,9,2,96,25,4,20,7521,1,284,7806,12923,
29,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO,4,7,227,372,,,,,254,111,267,,72,1859,51,6,2,0,1,61,17,1,14,3315,2,106,3423,4477,
29,TLAXCALA,23,NATIVITAS,14,31,1311,765,,,,,2113,367,251,,1895,3949,156,44,32,25,26,102,46,1,48,11131,1,378,11510,18316,
29,TLAXCALA,24,PANOTLA,16,35,505,2132,,,,,803,1270,337,,342,5331,985,12,14,4,1,,,,,11736,64,734,12534,19992,
29,TLAXCALA,25,SAN PABLO DEL MONTE,17,81,3095,3382,,,,,660,5383,6227,,354,11245,2995,50,35,15,5,,,,,33446,13,1986,35445,54385,
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,8,22,851,1711,,,,,643,360,241,,165,3790,924,25,15,2,3,,,,,8730,4,426,9160,14420,
29,TLAXCALA,27,TENANCINGO,6,14,443,689,,,,,109,281,238,,59,2614,379,5,7,1,0,,,,,4825,2,384,5211,8777,
29,TLAXCALA,28,TEOLOCHOLCO,9,28,666,2390,,,,,378,494,1112,,170,5798,199,18,12,3,0,177,63,7,39,11526,4,468,11998,16964,
29,TLAXCALA,29,TEPEYANCO,7,16,396,1877,,,,,461,138,342,,150,2472,80,13,11,6,5,,,,,5951,0,247,6198,8740,
29,TLAXCALA,30,TERRENATE,8,18,368,2117,,,,,76,634,678,,83,1816,124,2,5,5,1,86,39,10,17,6061,2,320,6383,10079,
29,TLAXCALA,31,TETLA DE LA SOLIDARIDAD,15,35,1552,,1253,,,,447,758,117,621,173,4586,168,31,19,5,0,122,80,9,33,9974,1933,782,12689,21726,
29,TLAXCALA,32,TETLATLAHUCA,7,15,869,609,,,,,1552,163,169,,610,1664,78,26,17,4,8,43,15,3,15,5845,0,191,6036,9432,
29,TLAXCALA,33,TLAXCALA,35,118,6479,8468,,36,6,1,1389,1357,929,5,4246,22273,1134,285,78,95,27,487,187,16,150,47648,31,1687,49366,73408,
29,TLAXCALA,34,TLAXCO,36,63,3040,,2175,,,,630,697,213,1789,243,4796,192,39,42,12,8,139,74,11,76,14176,1115,971,16262,30994,
29,TLAXCALA,35,TOCATLAN,3,7,135,645,,,,,66,239,362,,25,954,33,2,1,0,0,26,19,0,8,2515,1,93,2609,4439,
