ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PT,NA,MORENA,ES,PAN_PRD_MC,PRI_PVEM,PT_MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,246,398,,2103,,,51227,20232,48883,,122445,22,4196,126663,193272,
30,VERACRUZ,2,TANTOYUCA,198,369,2349,2118,40999,1298,56807,29821,,,133392,20,5312,138724,192632,
30,VERACRUZ,3,TUXPAN,160,382,,2414,,,48463,21292,54703,,126872,46,4610,131528,209730,
30,VERACRUZ,4,ALAMO,210,400,,1970,,,55212,30096,50280,,137556,21,5635,143212,205499,
30,VERACRUZ,5,POZA RICA DE HIDALGO,139,324,,4157,,,37840,12274,64527,,118798,40,3113,121951,185736,
30,VERACRUZ,6,PAPANTLA,149,357,,2493,,,46931,20569,54890,,124883,27,4212,129122,199389,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,346,,5649,,,36608,14082,50779,,107118,64,3506,110688,179304,
30,VERACRUZ,8,MISANTLA,214,402,,2508,,,44759,28093,47098,,122458,20,4185,126663,188812,
30,VERACRUZ,9,PEROTE,131,337,,1741,,,42521,28926,40550,,113738,19,4739,118496,195394,
30,VERACRUZ,10,XALAPA I,137,326,,2676,,,31146,16774,64515,,115111,85,4167,119363,161740,
30,VERACRUZ,11,XALAPA II,117,297,,2758,,,43929,17587,60316,,124590,85,4322,128997,191121,
30,VERACRUZ,12,COATEPEC,122,315,,1803,,,41812,24183,50122,,117920,32,4641,122593,182314,
30,VERACRUZ,13,EMILIANO ZAPATA,171,358,,2019,,,41581,23838,50332,,117770,66,3702,121538,198124,
30,VERACRUZ,14,VERACRUZ I,173,384,,2498,,,61397,13832,52372,,130099,64,3417,133580,214202,
30,VERACRUZ,15,VERACRUZ II,190,406,,1420,,,67860,14666,53505,,137451,63,3839,141353,231992,
30,VERACRUZ,16,BOCA DEL RIO,186,389,,1615,,,69922,18354,42702,,132593,54,4315,136962,210308,
30,VERACRUZ,17,MEDELLIN DE BRAVO,137,351,,5066,,,41890,21339,50481,,118776,30,4088,122894,190476,
30,VERACRUZ,18,HUATUSCO,119,314,1986,2198,31610,2168,46856,28208,,,113026,70,5865,118961,177978,
30,VERACRUZ,19,CORDOBA,154,348,,6315,,,26649,27121,69059,,129144,109,4470,133723,198192,
30,VERACRUZ,20,ORIZABA,168,368,,2335,,,35936,23235,74698,,136204,91,4358,140653,204624,
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,301,,2326,,,35086,13909,57167,,108488,72,4925,113485,173420,
30,VERACRUZ,22,ZONGOLICA,133,299,,1874,,,46631,25007,40086,,113598,20,6192,119810,169694,
30,VERACRUZ,23,COSAMALOAPAN,193,379,,1339,,,38082,24191,55963,,119575,31,4032,123638,196612,
30,VERACRUZ,24,SANTIAGO TUXTLA,181,357,,2667,,,46158,17776,45565,,112166,26,5025,117217,194489,
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,323,,2666,,,40737,13100,48162,,104665,14,4904,109583,181928,
30,VERACRUZ,26,COSOLEACAQUE,159,390,,1641,,,27593,23140,79084,,131458,23,4280,135761,208399,
30,VERACRUZ,27,ACAYUCAN,151,323,,1014,,,44537,14845,53133,,113529,30,3915,117474,182957,
30,VERACRUZ,28,MINATITLAN,151,340,,3545,,,33794,12789,61541,,111669,30,3105,114804,174248,
30,VERACRUZ,29,COATZACOALCOS I,149,362,,3168,,,21258,11111,86631,2778,124946,125,2870,127941,198507,
30,VERACRUZ,30,COATZACOALCOS II,152,350,,1204,,,26769,12804,72439,,113216,28,3739,116983,184825,
