ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,ACAJETE,4,11,2192,769,72,84,76,62,33,1000,33,26,22,6,2,16,14,5,1,4,4417,0,129,4546,6536,
30,VERACRUZ,2,ACATLAN,2,4,748,95,707,8,35,6,2,294,4,7,14,1,1,0,1,0,0,1,1924,0,30,1954,2439,
30,VERACRUZ,3,ACAYUCAN,40,107,9793,3038,4994,206,708,355,295,19174,285,180,278,26,16,91,343,120,11,96,40009,7,1190,41206,62342,
30,VERACRUZ,4,ACTOPAN,38,64,7368,3204,635,334,389,351,223,6956,188,193,94,28,8,112,126,54,7,41,20311,16,567,20894,31574,
30,VERACRUZ,5,ACULA,7,9,924,304,20,1042,30,25,6,383,13,9,12,4,1,50,7,3,0,2,2835,5,89,2929,4134,
30,VERACRUZ,6,ACULTZINGO,14,26,2841,412,320,106,237,252,94,3958,213,114,67,21,4,13,126,26,6,64,8874,17,395,9286,13916,
30,VERACRUZ,206,AGUA DULCE,29,63,2167,2115,335,99,472,214,130,14411,206,89,31,11,5,51,454,147,11,96,21044,6,488,21538,33218,
30,VERACRUZ,8,ALAMO TEMAPACHE,69,145,19415,8805,863,857,955,609,440,17644,364,250,192,38,11,194,281,104,22,114,51158,4,1511,52673,77934,
30,VERACRUZ,9,ALPATLAHUAC,5,12,1632,589,331,52,96,47,43,869,58,55,52,6,0,23,9,8,2,10,3882,0,151,4033,6352,
30,VERACRUZ,10,ALTO LUCERO DE GUTIERREZ BARRIOS,33,46,5151,1816,289,301,373,207,201,4998,133,70,49,8,4,66,76,37,3,17,13799,5,503,14307,21702,
30,VERACRUZ,11,ALTOTONGA,29,77,5758,5038,684,407,822,2489,291,10315,427,169,69,102,25,248,164,76,16,77,27177,1,1109,28287,40921,
30,VERACRUZ,12,ALVARADO,40,77,9505,2291,430,583,448,658,319,9957,201,280,120,58,11,86,132,69,25,45,25218,6,939,26163,41448,
30,VERACRUZ,13,AMATITLAN,7,13,1886,339,69,63,136,26,27,1164,21,29,16,7,1,18,14,15,2,2,3835,0,125,3960,5977,
30,VERACRUZ,14,AMATLAN DE LOS REYES,26,57,5913,2477,437,228,579,237,192,9826,223,124,60,21,5,62,207,86,10,62,20749,3,458,21210,30774,
30,VERACRUZ,16,ANGEL R. CABADA,24,46,5021,1146,1670,970,241,174,118,5657,120,97,134,14,7,182,79,38,6,34,15708,4,552,16264,25717,
30,VERACRUZ,18,APAZAPAN,5,6,329,322,889,25,36,28,23,719,11,22,25,0,4,13,7,5,1,1,2460,1,56,2517,3314,
30,VERACRUZ,19,AQUILA,1,3,369,186,25,269,8,13,4,106,11,17,5,1,0,34,6,1,1,2,1058,0,35,1093,1502,
30,VERACRUZ,20,ASTACINGA,3,8,723,498,74,30,116,32,49,1249,65,12,3,3,7,18,24,5,1,15,2924,0,107,3031,4509,
30,VERACRUZ,21,ATLAHUILCO,5,12,1984,566,265,48,174,102,63,1859,56,32,31,16,10,31,49,18,2,7,5313,0,218,5531,6969,
30,VERACRUZ,22,ATOYAC,16,34,2435,1370,157,204,223,157,174,5099,128,40,26,10,1,63,102,36,4,29,10258,9,271,10538,16841,
30,VERACRUZ,23,ATZACAN,11,24,2586,633,605,528,289,422,87,4037,129,150,89,32,9,46,86,28,4,31,9791,0,365,10156,13957,
30,VERACRUZ,24,ATZALAN,34,80,6357,7275,326,215,629,475,185,6384,149,153,70,46,8,240,137,61,7,44,22761,2,724,23487,35002,
30,VERACRUZ,26,AYAHUALULCO,8,26,3731,2819,306,59,157,124,80,1591,87,73,76,9,3,70,59,12,4,21,9281,0,391,9672,15733,
30,VERACRUZ,27,BANDERILLA,9,30,3327,1593,858,112,304,181,117,5321,92,115,100,9,3,40,76,35,3,25,12311,2,257,12570,17735,
30,VERACRUZ,28,BENITO JUAREZ,10,21,3814,1769,169,83,118,97,69,1809,38,31,34,7,3,14,16,6,0,8,8085,0,276,8361,11116,
30,VERACRUZ,29,BOCA DEL RIO,96,219,51332,6130,447,487,917,583,319,18417,595,867,392,147,4,251,351,121,14,96,81470,20,1155,82645,123977,
30,VERACRUZ,30,CALCAHUALCO,5,17,2054,1327,229,79,108,64,60,1001,50,66,39,19,1,25,11,12,1,10,5156,1,271,5428,8312,
30,VERACRUZ,7,CAMARON DE TEJEDA,3,9,1977,502,205,80,40,43,20,647,10,28,20,8,5,29,7,2,0,2,3625,0,97,3722,4958,
30,VERACRUZ,31,CAMERINO Z. MENDOZA,16,40,2980,1088,1116,207,468,1026,205,8896,164,89,79,24,20,28,201,80,11,50,16732,2,617,17351,23300,
30,VERACRUZ,208,CARLOS A. CARRILLO,20,30,2729,1441,278,72,287,153,86,4160,62,58,39,9,5,55,128,68,8,30,9668,1,307,9976,16793,
30,VERACRUZ,32,CARRILLO PUERTO,8,26,2521,1000,122,235,324,130,116,3883,83,23,23,4,2,21,55,25,2,25,8594,2,250,8846,12660,
30,VERACRUZ,33,CASTILLO DE TEAYO,15,26,3551,1166,157,133,437,193,91,3837,94,54,47,12,3,20,73,39,3,20,9930,0,310,10240,14407,
30,VERACRUZ,34,CATEMACO,24,63,6680,1564,940,379,802,431,262,9506,350,163,110,38,7,59,254,85,27,68,21725,0,891,22616,35113,
30,VERACRUZ,35,CAZONES DE HERRERA,15,35,5149,2118,391,113,245,84,71,4001,72,52,44,12,2,41,55,28,4,27,12509,0,270,12779,18558,
30,VERACRUZ,36,CERRO AZUL,24,35,2628,1779,130,155,237,844,144,5576,99,62,8,18,2,35,67,33,2,16,11835,2,221,12058,18254,
30,VERACRUZ,56,CHACALTIANGUIS,10,20,1978,1228,434,36,127,70,67,1843,37,44,72,3,1,33,31,14,0,7,6025,0,198,6223,9128,
30,VERACRUZ,57,CHALMA,9,19,726,717,1783,273,116,82,60,2211,119,22,37,0,4,26,33,11,2,20,6242,0,233,6475,9268,
30,VERACRUZ,58,CHICONAMEL,6,9,330,485,1309,47,55,26,17,773,50,17,17,2,0,32,8,7,0,2,3177,0,135,3312,4635,
30,VERACRUZ,59,CHICONQUIACO,8,17,3084,667,63,447,82,73,34,1340,24,38,40,17,5,87,18,6,0,8,6033,0,204,6237,9201,
30,VERACRUZ,60,CHICONTEPEC,47,78,4537,1784,2070,4207,936,697,528,11259,272,86,85,11,13,153,155,73,14,50,26930,5,1241,28176,38584,
30,VERACRUZ,61,CHINAMECA,13,25,1603,1331,151,57,241,74,72,4676,89,48,20,6,3,34,85,30,2,20,8542,1,191,8734,13393,
30,VERACRUZ,62,CHINAMPA DE GOROSTIZA,10,20,2759,542,62,77,99,77,46,2921,50,31,9,2,0,22,64,24,4,21,6810,0,126,6936,10397,
30,VERACRUZ,64,CHOCAMAN,7,21,2382,1028,819,180,198,159,124,3172,321,103,88,13,5,40,43,27,9,46,8757,2,313,9072,13453,
30,VERACRUZ,65,CHONTLA,10,19,3062,1936,136,88,100,52,45,1096,21,32,23,4,1,83,17,6,0,3,6705,1,165,6871,9436,
30,VERACRUZ,66,CHUMATLAN,2,5,649,115,242,10,48,426,27,477,20,3,4,12,2,2,2,2,0,0,2041,0,49,2090,2911,
30,VERACRUZ,37,CITLALTEPETL,9,14,2302,1276,96,97,112,35,32,1333,21,10,4,2,0,28,11,3,1,5,5368,0,92,5460,7277,
30,VERACRUZ,38,COACOATZINTLA,5,14,1975,328,146,69,126,119,50,1404,76,49,29,14,2,15,37,15,2,11,4467,0,127,4594,7111,
30,VERACRUZ,39,COAHUITLAN,3,8,1537,475,64,18,102,22,22,1003,28,22,14,2,0,5,31,9,2,5,3361,0,117,3478,5295,
30,VERACRUZ,40,COATEPEC,51,119,14649,5940,845,441,820,413,446,18102,409,284,199,33,6,140,312,133,10,82,43264,7,1047,44318,67104,
30,VERACRUZ,41,COATZACOALCOS,190,453,31969,11127,2137,729,2643,1388,1464,97205,1719,902,276,125,23,320,2903,612,75,628,156245,41,2975,159261,247776,
30,VERACRUZ,42,COATZINTLA,29,68,4973,2142,3261,184,647,264,262,11344,188,273,239,34,23,49,237,91,13,51,24275,6,598,24879,38693,
