ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAZ,MDZ,PP,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
32,ZACATECAS,1,APOZOL,11,12,430,1081,47,29,724,31,127,704,14,15,10,,8,2,3,0,3,2,0,2,,3232,1,112,3345,5346
32,ZACATECAS,2,APULCO,8,9,196,942,113,207,43,89,290,363,51,13,435,5,1,1,1,2,6,0,0,2,,2760,0,202,2962,4343
32,ZACATECAS,3,ATOLINGA,8,8,603,280,20,32,408,13,41,91,20,6,0,,5,5,0,0,1,1,1,3,,1530,0,62,1592,2413
32,ZACATECAS,4,BENITO JUAREZ,9,9,1333,524,20,45,7,12,22,348,23,8,1,,4,9,3,1,6,4,4,3,,2377,0,54,2431,3478
32,ZACATECAS,5,CALERA,21,50,5530,3088,517,386,1328,240,407,3771,226,560,73,387,135,113,18,4,75,32,3,17,,16910,3,657,17570,28360
32,ZACATECAS,6,CAÑITAS ,10,12,145,980,221,55,901,49,482,776,58,212,49,58,1,3,0,0,7,7,1,4,,4009,0,273,4282,6002
32,ZACATECAS,7,CONCEPCION DEL ORO,22,26,174,1984,84,107,681,51,2100,971,27,1,8,23,3,4,1,0,16,8,2,4,,6249,1,359,6609,9441
32,ZACATECAS,8,CUAUHTEMOC,11,18,306,2397,837,223,1507,59,31,672,182,18,9,76,20,27,0,1,,,,,,6365,2,378,6745,8968
32,ZACATECAS,9,CHALCHIHUITES,21,25,1126,2742,168,274,116,34,71,554,22,41,8,5,15,15,3,1,11,15,0,1,,5222,1,200,5423,8424
32,ZACATECAS,10,FRESNILLO,205,322,8522,16168,2087,9408,6940,1116,2181,38906,1485,1543,688,879,189,105,29,10,955,789,55,165,6495,98715,84,3218,102017,162936
32,ZACATECAS,11,TRINIDAD GARCIA,7,8,517,311,16,18,370,12,5,347,12,12,3,,8,5,1,0,3,1,0,3,,1644,0,72,1716,2821
32,ZACATECAS,12,GENARO CODINA,16,18,394,954,511,133,815,57,32,675,343,48,11,20,27,35,3,5,,,,,,4063,0,291,4354,6075
32,ZACATECAS,13,ENRIQUE ESTRADA,7,11,693,720,94,46,73,47,71,497,47,677,7,16,13,9,3,0,3,3,1,2,154,3176,0,121,3297,4823
32,ZACATECAS,14,FRANCISCO R. MURGUIA,42,48,505,5814,189,442,99,91,92,3961,66,24,25,269,7,6,3,1,70,58,8,27,,11757,1,444,12202,17409
32,ZACATECAS,15,EL PLATEADO,5,5,74,452,466,7,8,15,13,62,0,1,0,1,4,8,0,0,1,1,0,0,,1113,0,57,1170,1635
32,ZACATECAS,16,PANFILO NATERA,24,35,521,4370,2393,997,184,134,248,2050,440,60,20,22,85,74,4,6,125,53,13,38,,11837,2,626,12465,17285
