Municipio,Seccion,Tipo Casilla,PAN,PRI_PVEM,PRD,PT_PC,PANAL,VALIDOS,NULOS,TOTAL,ListaNominal,
CAMPECHE,1,B ,78,268,33,20,32,431,11,442,571, 
CAMPECHE,2,B ,89,265,30,24,22,430,16,446,657, 
CAMPECHE,3,B ,68,338,37,19,23,485,14,499,672, 
CAMPECHE,4,B ,95,218,32,15,21,381,21,402,730, 
CAMPECHE,4,C1 ,103,219,34,20,17,393,17,410,730, 
CAMPECHE,4,C2 ,83,205,46,13,10,357,19,376,730, 
CAMPECHE,4,C3 ,90,227,36,15,11,379,21,400,730, 
CAMPECHE,4,C4 ,94,207,57,22,15,395,22,417,730, 
CAMPECHE,4,C5 ,97,222,41,13,12,385,14,399,730, 
CAMPECHE,4,E1 ,81,235,31,22,17,386,12,398,712, 
CAMPECHE,4,E1C1 ,92,219,25,18,16,370,24,394,712, 
CAMPECHE,4,E2C2,82,210,43,15,15,365,21,386,654,
CAMPECHE,5,B,87,211,28,11,16,353,14,367,516,
CAMPECHE,5,C1,78,228,21,18,15,360,11,371,515,
CAMPECHE,6,B,86,177,19,8,10,300,8,308,459,
CAMPECHE,6,C1,90,139,31,12,21,293,12,305,459,
CAMPECHE,7,B,42,223,33,15,14,327,18,345,467,
CAMPECHE,7,C1,49,213,33,15,19,329,11,340,466,
CAMPECHE,8,B,143,176,46,12,27,404,16,420,726,
CAMPECHE,9,B,92,236,37,17,34,416,15,431,657,
CAMPECHE,9,C1,84,258,35,16,30,423,11,434,657,
CAMPECHE,9,C2,76,235,43,16,29,399,11,410,657,
CAMPECHE,9,C3,91,252,35,23,31,432,11,443,656,
CAMPECHE,9,C4,60,250,33,12,34,389,22,411,656,
CAMPECHE,9,C5,86,223,29,10,32,380,21,401,656,
CAMPECHE,10,B,81,142,29,20,14,286,20,306,470,
CAMPECHE,10,C1,62,159,39,24,14,298,10,308,470,
CAMPECHE,11,B,80,190,25,10,6,311,10,321,453,
CAMPECHE,11,C1,72,204,24,13,14,327,14,341,453,
CAMPECHE,12,B,94,281,49,33,25,482,38,520,732,
CAMPECHE,12,C1,83,282,46,39,24,474,10,484,732,
CAMPECHE,13,B,123,167,34,25,19,368,23,391,578,
,,,,,,,,,,,,
CAMPECHE,13,C1,123,184,26,18,18,369,20,389,577,
CAMPECHE,14,B,76,175,27,9,8,295,21,316,506,
CAMPECHE,14,C1,72,179,34,10,10,305,13,318,505,
CAMPECHE,15,B,88,208,36,13,14,359,17,376,548,
CAMPECHE,15,C1,78,208,20,19,13,338,14,352,547,
CAMPECHE,16,B,89,166,17,20,21,313,13,326,506,
CAMPECHE,16,C1,85,172,29,9,16,311,14,325,506,
CAMPECHE,17,B,88,226,35,22,34,405,11,416,694,
CAMPECHE,17,C1,71,201,31,9,21,333,15,348,694,
CAMPECHE,17,C2,62,225,44,12,25,368,10,378,693,
CAMPECHE,17,C3,88,232,35,9,25,389,16,405,693,
CAMPECHE,17,C4,88,207,24,13,22,354,20,374,693,
CAMPECHE,18,B,96,278,26,17,31,448,13,461,629,
CAMPECHE,19,B,93,168,19,11,8,299,10,309,482,
CAMPECHE,19,C1,78,163,27,7,11,286,16,302,481,
CAMPECHE,20,B,56,224,26,5,17,328,16,344,508,
CAMPECHE,20,C1,58,197,28,10,9,302,24,326,507,
CAMPECHE,21,B,89,269,37,19,13,427,18,445,663,
CAMPECHE,21,C1,74,254,24,17,11,380,16,396,662,
CAMPECHE,22,B,44,159,33,17,16,269,34,303,447,
CAMPECHE,22,C1,58,164,44,17,11,294,15,309,447,
CAMPECHE,23,B,54,153,22,16,10,255,14,269,403,
CAMPECHE,23,C1,78,138,36,9,10,271,20,291,402,
CAMPECHE,24,B,57,219,40,18,16,350,20,370,528,
CAMPECHE,24,C1,57,210,39,29,21,356,26,382,528,
CAMPECHE,25,B,69,276,48,15,19,427,22,449,594,
CAMPECHE,26,B,74,203,53,23,24,377,15,392,551,
CAMPECHE,26,C1,73,223,54,18,24,392,16,408,551,
CAMPECHE,27,B,87,235,30,21,28,401,13,414,576,
CAMPECHE,27,C1,86,224,45,15,25,395,16,411,575,
CAMPECHE,28,B,63,266,34,5,23,391,15,406,592,
CAMPECHE,29,B,63,185,14,27,22,311,19,330,434,
CAMPECHE,29,C1,46,191,32,27,11,307,16,323,434,
CAMPECHE,30,B,54,159,39,13,29,294,6,300,382,
CAMPECHE,30,C1,45,171,20,5,25,266,17,283,381,
,,,,,,,,,,,,
CAMPECHE,31,B,107,291,49,19,23,489,27,516,715,
CAMPECHE,32,B,46,137,43,18,15,259,11,270,397,
CAMPECHE,32,C1,52,123,38,17,12,242,19,261,397,
CAMPECHE,33,B,46,151,29,23,14,263,17,280,429,
CAMPECHE,33,C1,47,154,21,14,13,249,14,263,428,
CAMPECHE,34,B,59,236,22,10,14,341,21,362,605,
CAMPECHE,34,C1,99,194,28,32,14,367,15,382,605,
CAMPECHE,35,B,42,185,20,18,6,271,24,295,449,
CAMPECHE,35,C1,60,170,23,13,15,281,14,295,448,
CAMPECHE,36,B,73,211,21,23,7,335,9,344,549,
CAMPECHE,36,C1,68,225,22,15,10,340,13,353,549,
CAMPECHE,37,B,60,138,11,9,13,231,10,241,402,
CAMPECHE,37,C1,64,138,24,12,8,246,10,256,401,
CAMPECHE,38,B,88,303,34,17,29,471,20,491,738,
CAMPECHE,39,B,94,235,37,21,13,400,14,414,643,
CAMPECHE,39,C1,80,206,30,12,19,347,19,366,643,
CAMPECHE,39,C2,82,188,34,17,20,341,20,361,643,
CAMPECHE,40,B,53,123,29,11,17,233,9,242,376,
CAMPECHE,40,C1,46,121,24,9,11,211,19,230,376,
CAMPECHE,41,B,103,290,72,0,23,488,19,507,744,
CAMPECHE,42,B,65,184,42,22,23,336,24,360,554,
CAMPECHE,42,C1,69,207,51,16,23,366,13,379,554,
CAMPECHE,43,B,76,177,27,27,31,338,6,344,500,
CAMPECHE,43,C1,44,228,33,30,8,343,22,365,500,
CAMPECHE,44,B,51,138,40,21,15,265,16,281,415,
CAMPECHE,44,C1,48,139,30,27,11,255,16,271,415,
