CASILLAS,CASILLAS_NUM,CASILLAS_TIPO,DISTRITO,MUNICIPIO,LISTA NOMINAL,P.A.N,P.R.I.,P.R.D.,P.C.,P.T.,P.V.E.M.,P.P.S.,P.D.M.,NO REG.,NULOS,TOTAL
170,1,B,10,ARMERIA,432,60,131,72,9,1,0,2,2,0,5,282
170,2,C,10,ARMERIA,433,45,142,69,11,1,0,0,2,0,7,277
171,1,B,10,ARMERIA,514,63,110,124,3,1,0,0,0,0,18,319
171,2,C,10,ARMERIA,515,82,104,102,4,0,0,0,1,0,11,304
172,1,B,10,ARMERIA,735,94,217,124,10,1,2,0,1,0,21,470
173,1,B,10,ARMERIA,562,61,155,143,9,5,0,0,1,0,10,384
173,2,C,10,ARMERIA,562,62,130,140,10,2,0,0,0,0,5,349
174,1,B,10,ARMERIA,436,84,84,77,6,2,0,0,4,0,7,264
174,2,C,10,ARMERIA,437,77,87,95,3,1,0,0,0,0,10,273
175,1,B,10,ARMERIA,632,87,176,123,3,0,0,0,2,0,12,403
176,1,B,10,ARMERIA,519,50,113,133,2,2,0,0,8,0,3,311
176,2,C,10,ARMERIA,520,45,140,113,3,2,0,0,3,0,9,315
177,1,B,10,ARMERIA,534,60,136,103,4,2,0,0,1,0,7,313
177,2,C,10,ARMERIA,535,54,132,119,4,3,0,0,2,0,8,322
178,1,B,10,ARMERIA,441,51,88,69,8,0,0,0,1,0,18,235
178,2,C,10,ARMERIA,441,61,113,68,6,0,0,0,2,0,15,265
179,1,B,10,ARMERIA,741,131,159,120,10,1,2,0,2,0,21,446
180,1,B,10,ARMERIA,764,73,312,58,4,1,0,0,2,0,13,463
181,1,B,10,ARMERIA,466,56,96,128,4,0,0,0,0,0,12,296
181,2,C,10,ARMERIA,467,33,82,119,2,0,1,0,2,0,9,248
182,1,B,10,ARMERIA,427,29,96,120,2,2,1,0,0,0,4,254
182,2,C,10,ARMERIA,428,13,86,134,2,1,0,0,2,0,6,244
183,1,B,10,ARMERIA,577,41,156,122,9,4,2,0,0,0,7,341
184,1,B,10,ARMERIA,412,41,121,84,2,1,0,1,2,0,10,262
185,1,B,10,ARMERIA,616,28,146,154,8,1,1,0,1,0,6,345
