MUNICIPIO,SECION,CASILLA,PAN,PRI,PRD,PFCRN,PT,PVEM,VALIDA,No Registrados,Nulos,Total
CANATLAN,1,B,175,153,71,0,31,0,430,0,11,441
CANATLAN,2,C,338,131,76,1,33,0,579,0,11,590
CANATLAN,3,B,178,210,89,0,36,0,513,0,13,526
CANATLAN,4,B,145,103,24,0,42,0,314,0,9,323
CANATLAN,5,C,270,218,103,3,54,0,648,0,13,661
CANATLAN,6,C,332,304,86,2,54,2,780,0,31,811
CANATLAN,7,B,118,109,48,0,56,0,331,0,10,341
CANATLAN,8,B,33,232,131,0,19,0,415,0,9,424
CANATLAN,9,B,77,173,101,0,16,0,367,0,12,379
CANATLAN,10,B,12,77,20,0,5,0,114,0,4,118
CANATLAN,11,B,34,25,7,0,7,0,73,0,4,77
CANATLAN,12,B,13,39,39,0,4,0,95,0,8,103
CANATLAN,13,B,85,176,68,0,21,0,350,0,19,369
CANATLAN,14,B,80,94,53,2,20,0,249,0,11,260
CANATLAN,15,X1,84,154,141,1,17,0,397,0,15,412
CANATLAN,16,X1,13,47,87,0,11,0,158,0,5,163
CANATLAN,17,B,32,22,5,0,9,0,68,0,2,70
CANATLAN,18,B,10,12,12,0,2,0,36,0,0,36
CANATLAN,19,B,23,28,10,1,10,0,72,0,2,74
CANATLAN,20,B,109,37,8,0,15,0,169,0,0,169
CANATLAN,21,B,17,15,40,0,6,0,78,0,4,82
CANATLAN,22,X,242,184,49,1,86,1,563,0,1,564
CANATLAN,23,B,89,126,29,1,10,1,256,0,7,263
CANATLAN,24,B,90,78,28,0,9,0,205,0,2,207
CANATLAN,25,B,136,63,83,0,5,0,287,0,27,314
CANATLAN,26,C,136,120,125,0,13,0,394,0,16,410
CANATLAN,27,C,120,147,107,0,38,2,414,0,11,425
CANATLAN,28,B,85,52,69,0,20,0,226,0,3,229
CANATLAN,29,C,190,135,68,2,16,2,413,0,11,424
CANATLAN,30,C,199,118,90,0,57,0,464,0,9,473
CANATLAN,31,B,123,117,77,1,21,1,340,0,8,348
CANATLAN,32,B,41,97,35,1,26,0,200,0,4,204
CANATLAN,33,B,26,80,44,0,4,0,154,0,5,159
CANATLAN,34,B,13,33,20,0,4,0,70,0,1,71
CANATLAN,35,B,29,39,30,0,13,3,114,0,10,124
CANATLAN,36,B,6,34,7,0,1,0,48,0,1,49
CANATLAN,37,C,91,193,184,0,25,0,493,0,20,513
CANATLAN,38,B,94,128,25,0,26,0,273,0,11,284
CANATLAN,39,B,20,93,17,0,1,0,131,0,3,134
CANATLAN,40,X,82,71,141,0,6,1,301,0,1,302
,,,,,,,,,,,,
,,,,,,,,,,,,
CANELAS,42,B,151,84,1,0,1,0,237,0,8,245
CANELAS,43,B,34,2,0,0,0,0,36,0,1,37
CANELAS,44,B,71,17,0,0,0,0,88,0,5,93
CANELAS,45,B,19,21,0,0,1,0,41,0,1,42
CANELAS,46,B,27,8,13,0,0,0,48,0,2,50
CANELAS,47,B,47,22,12,0,0,0,81,0,3,84
CANELAS,48,B,54,17,3,0,0,0,74,0,1,75
CANELAS,50,B,13,47,0,0,0,0,60,0,1,61
CANELAS,52,B,13,59,0,0,0,0,72,0,2,74
CANELAS,53,B,52,12,16,0,0,0,80,0,7,87
CANELAS,54,B,30,2,5,0,1,0,38,0,1,39
CANELAS,55,B,47,20,1,0,0,0,68,0,2,70
CANELAS,56,B,101,59,1,0,0,0,161,0,0,161
,,,,,,,,,,,,
CONETO DE COMONFORT,57,B,73,217,2,0,0,0,292,0,5,297
CONETO DE COMONFORT,58,B,42,98,0,0,1,0,141,0,4,145
CONETO DE COMONFORT,59,B,34,59,0,0,0,0,93,0,8,101
CONETO DE COMONFORT,60,B,107,67,0,0,1,0,175,0,3,178
CONETO DE COMONFORT,61,B,41,20,0,0,0,0,61,0,2,63
CONETO DE COMONFORT,62,B,75,38,0,0,0,0,113,0,3,116
CONETO DE COMONFORT,63,X,106,218,0,1,2,0,327,0,8,335
CONETO DE COMONFORT,64,B,38,85,0,0,1,0,124,0,7,131
CONETO DE COMONFORT,65,B,44,105,0,1,0,0,150,0,4,154
,,,,,,,,,,,,
CUENCAME,66,C,249,177,137,1,18,0,582,0,11,593
CUENCAME,67,B,61,131,125,1,8,0,326,0,14,340
CUENCAME,68,B,107,124,160,0,6,0,397,0,9,406
CUENCAME,69,C,228,215,197,2,41,0,683,0,18,701
CUENCAME,70,B,90,86,123,0,7,0,306,0,12,318
CUENCAME,71,B,2,11,27,0,4,0,44,0,0,44
CUENCAME,72,B,40,92,61,0,9,0,202,0,6,208
CUENCAME,73,C,53,72,148,0,33,2,308,0,12,320
CUENCAME,74,B,15,8,27,0,27,0,77,0,3,80
CUENCAME,75,B,95,65,44,1,28,0,233,0,10,243
CUENCAME,76,C,100,73,28,0,42,0,243,0,14,257
CUENCAME,77,B,7,41,38,1,2,0,89,0,2,91
CUENCAME,78,B,6,111,94,1,3,0,215,0,8,223
CUENCAME,79,B,9,28,53,0,2,0,92,0,2,94
CUENCAME,80,B,68,150,127,1,7,2,355,0,10,365
CUENCAME,81,B,9,49,24,0,14,2,98,0,10,108
CUENCAME,82,X,3,43,51,0,3,0,100,0,3,103
CUENCAME,83,B,19,40,45,0,4,0,108,0,3,111
CUENCAME,84,B,14,48,49,0,4,0,115,0,2,117
CUENCAME,85,B,22,55,28,1,4,1,111,0,4,115
CUENCAME,86,B,38,74,18,0,2,0,132,0,0,132
CUENCAME,87,B,13,75,47,0,30,2,167,0,6,173
CUENCAME,88,B,7,9,10,0,0,0,26,0,3,29
CUENCAME,89,B,10,58,45,0,4,0,117,0,3,120
CUENCAME,90,B,13,27,54,1,4,0,99,0,3,102
CUENCAME,91,B,25,21,43,0,8,0,97,0,1,98
CUENCAME,92,B,32,5,31,0,4,0,72,0,2,74
CUENCAME,93,B,16,11,40,0,4,0,71,0,2,73
CUENCAME,94,B,59,111,27,1,5,0,203,0,9,212
CUENCAME,95,B,75,153,21,0,3,0,252,0,0,252
CUENCAME,96,B,39,158,31,0,7,0,235,0,1,236
CUENCAME,97,X,25,159,69,0,4,1,258,0,4,262
CUENCAME,98,B,7,26,3,0,0,1,37,0,0,37
CUENCAME,99,C,112,160,83,1,48,2,406,0,10,416
CUENCAME,100,C,73,164,105,1,32,1,376,0,9,385
CUENCAME,101,B,55,101,29,0,3,0,188,0,6,194
CUENCAME,102,B,81,72,6,0,16,0,175,0,4,179
CUENCAME,103,B,104,113,45,1,21,1,285,0,7,292
CUENCAME,104,B,35,42,26,0,2,0,105,0,0,105
CUENCAME,105,B,166,34,33,0,12,1,246,0,8,254
CUENCAME,106,B,98,29,27,0,5,1,160,0,9,169
CUENCAME,107,B,14,58,9,0,0,1,82,0,4,86
,,,,,,,,,,,,
DUANGO,108,C,304,80,5,0,114,7,510,0,7,517
DUANGO,109,B,98,92,3,1,132,2,328,0,9,337
DUANGO,110,C,265,203,11,3,428,8,918,0,22,940
DUANGO,111,C,161,210,7,0,232,4,614,0,11,625
DUANGO,112,B,110,81,9,0,116,3,319,0,6,325
DUANGO,113,B,111,113,2,1,170,7,404,0,0,404
DUANGO,114,C,152,112,5,0,208,9,486,0,13,499
DUANGO,115,B,72,76,8,0,140,2,298,0,2,300
DUANGO,116,B,88,64,3,0,109,2,266,0,2,268
DUANGO,117,B,121,26,4,0,144,5,300,0,11,311
DUANGO,118,B,39,37,3,0,221,10,310,0,16,326
DUANGO,119,B,12,33,3,0,230,2,280,0,9,289
DUANGO,120,B,25,30,3,1,289,2,350,0,12,362
DUANGO,121,B,27,32,1,0,213,2,275,0,8,283
DUANGO,122,B,12,28,1,1,163,0,205,0,11,216
DUANGO,123,B,29,28,6,0,162,2,227,0,7,234
DUANGO,124,C,41,40,4,1,379,6,471,0,22,493
DUANGO,125,B,31,42,0,1,257,3,334,0,3,337
DUANGO,126,C,84,85,4,0,332,3,508,0,12,520
DUANGO,127,C,46,108,7,0,274,6,441,0,5,446
DUANGO,128,B,32,82,5,1,180,2,302,0,10,312
DUANGO,129,C,62,162,3,5,142,4,378,0,8,386
DUANGO,130,B,91,197,4,12,97,3,404,0,17,421
DUANGO,131,C,140,205,7,3,158,5,518,0,12,530
DUANGO,132,C,143,167,2,2,186,4,504,0,15,519
DUANGO,133,B,59,139,3,2,135,6,344,0,10,354
DUANGO,134,C,113,166,3,1,144,8,435,0,16,451
DUANGO,135,C,245,228,15,4,304,5,801,0,31,832
DUANGO,136,C,180,258,17,8,271,7,741,0,24,765
DUANGO,137,C,269,142,12,0,200,3,626,2,15,643
DUANGO,138,B,70,62,3,0,121,0,256,0,7,263
DUANGO,139,C,163,122,6,0,235,8,534,0,14,548
DUANGO,140,C,150,151,7,2,245,6,561,0,13,574
DUANGO,141,C,186,136,8,1,276,9,616,0,15,631
DUANGO,142,C,320,95,2,0,141,5,563,0,5,568
DUANGO,143,C,222,154,10,1,206,10,603,0,16,619
DUANGO,144,C,240,196,10,0,262,16,724,0,13,737
DUANGO,145,C,322,222,10,6,342,15,917,0,16,933
DUANGO,146,C,337,197,13,0,353,18,918,2,18,938
DUANGO,147,C,123,65,14,0,234,5,441,1,2,444
DUANGO,148,B,131,78,6,0,146,3,364,0,6,370
DUANGO,149,B,140,86,9,0,167,11,413,0,9,422
DUANGO,150,C,166,92,4,0,490,5,757,0,14,771
DUANGO,151,C,166,125,14,0,187,8,500,0,17,517
DUANGO,152,C,296,124,5,1,137,4,567,0,6,573
DUANGO,153,B,104,47,4,1,189,4,349,0,19,368
DUANGO,154,C,188,139,6,3,314,2,652,0,31,683
DUANGO,155,C,126,112,8,2,365,7,620,0,20,640
DUANGO,156,C,94,286,4,2,205,4,595,0,22,617
DUANGO,157,C,231,193,10,1,282,14,731,0,18,749
DUANGO,158,C,139,104,5,0,229,9,486,0,4,490
DUANGO,159,C,158,172,5,1,186,10,532,0,35,567
DUANGO,160,C,170,119,6,0,177,9,481,0,15,496
DUANGO,161,C,277,312,6,2,200,7,804,0,22,826
DUANGO,162,C,315,227,5,0,241,9,797,0,44,841
DUANGO,163,C,170,178,7,5,195,3,558,0,24,582
DUANGO,164,B,79,149,2,8,111,4,353,0,12,365
DUANGO,165,,18,26,1,7,36,1,89,0,2,91
DUANGO,166,B,22,61,0,0,75,46,204,0,46,250
DUANGO,167,C,116,168,8,4,240,6,542,0,19,561
DUANGO,168,C,196,199,7,0,209,14,625,0,15,640
DUANGO,169,C,297,133,7,0,298,13,748,1,27,776
DUANGO,170,C,285,204,4,1,216,11,721,0,16,737
DUANGO,171,B,69,105,9,1,140,4,328,0,11,339
DUANGO,172,C,146,115,2,0,276,2,541,0,26,567
DUANGO,173,B,102,107,6,2,215,4,436,0,14,450
DUANGO,174,B,128,75,3,0,140,3,349,0,17,366
DUANGO,175,B,115,126,7,0,154,6,408,0,12,420
DUANGO,176,C,128,190,18,0,343,15,694,0,23,717
DUANGO,177,C,53,33,3,0,486,0,575,0,20,595
DUANGO,178,C,78,98,5,0,429,2,612,0,7,619
DUANGO,179,C,77,85,11,0,339,1,513,0,24,537
DUANGO,180,C,58,92,5,2,428,4,589,0,23,612
DUANGO,181,B,135,84,13,1,177,7,417,0,2,419
DUANGO,182,C,130,103,1,3,203,3,443,0,8,451
DUANGO,183,C,107,87,9,0,194,2,399,0,14,413
DUANGO,184,C,192,124,5,1,228,3,553,2,20,575
DUANGO,185,C,215,92,12,0,181,5,505,0,8,513
DUANGO,186,B,168,67,3,1,78,5,322,0,10,332
DUANGO,187,C,185,124,10,1,185,3,508,0,10,518
DUANGO,188,C,406,165,13,0,181,13,778,0,24,802
DUANGO,189,B,175,105,5,0,114,10,409,0,5,414
DUANGO,190,C,171,124,6,3,129,14,447,1,9,457
DUANGO,191,C,269,135,4,0,122,8,538,0,12,550
DUANGO,192,C,246,147,6,0,139,9,547,0,11,558
DUANGO,193,B,155,78,2,2,146,4,387,0,15,402
DUANGO,194,C,275,147,9,0,117,7,555,0,12,567
DUANGO,195,C,279,161,16,1,232,13,702,0,13,715
DUANGO,196,B,167,91,2,1,154,12,427,0,9,436
DUANGO,197,C,242,106,8,2,212,8,578,0,9,587
DUANGO,198,C,129,166,9,3,250,1,558,0,14,572
DUANGO,199,C,169,153,7,1,163,8,501,0,15,516
DUANGO,200,B,47,102,0,3,83,2,237,0,6,243
DUANGO,201,B,65,95,2,2,110,2,276,0,3,279
DUANGO,202,C,358,182,11,1,341,15,908,0,22,930
DUANGO,203,C,293,124,5,0,158,5,585,0,14,599
DUANGO,204,C,95,111,7,0,299,2,514,1,4,519
DUANGO,205,B,235,97,2,0,116,4,454,0,7,461
DUANGO,206,B,290,123,1,0,72,4,490,0,7,497
DUANGO,207,B,176,97,7,0,83,5,368,0,8,376
DUANGO,208,C,247,125,3,0,109,8,492,1,2,495
DUANGO,209,B,207,90,3,1,115,5,421,1,7,429
DUANGO,210,C,262,111,15,1,162,8,559,1,9,569
DUANGO,211,B,214,100,9,0,123,8,454,0,10,464
DUANGO,212,B,221,126,7,0,112,6,472,0,10,482
DUANGO,213,C,221,110,10,0,156,4,501,0,10,511
DUANGO,214,B,164,93,4,0,75,0,336,0,11,347
DUANGO,215,B,246,88,1,0,112,9,456,0,4,460
DUANGO,216,B,220,62,6,0,60,1,349,1,4,354
DUANGO,217,B,266,93,2,0,79,13,453,0,8,461
DUANGO,218,C,99,121,11,1,203,10,445,0,4,449
DUANGO,219,B,10,20,0,0,30,0,60,0,0,60
DUANGO,220,B,67,93,8,1,130,4,303,0,18,321
DUANGO,221,B,57,49,5,1,143,4,259,0,13,272
DUANGO,222,C,128,119,8,1,287,11,554,1,22,577
DUANGO,223,C,171,168,15,0,274,4,632,0,35,667
DUANGO,224,C,282,171,5,6,237,4,705,0,24,729
DUANGO,225,C,257,127,12,0,266,6,668,0,16,684
DUANGO,226,B,201,77,8,1,97,6,390,0,7,397
DUANGO,227,C,251,128,7,0,231,8,625,0,13,638
DUANGO,228,C,272,138,7,0,172,9,598,0,12,610
DUANGO,229,B,142,71,5,0,95,7,320,0,12,332
DUANGO,230,B,167,83,3,0,80,4,337,0,2,339
DUANGO,231,B,233,91,13,1,136,2,476,0,0,476
DUANGO,232,B,136,68,10,1,62,3,280,0,5,285
DUANGO,233,B,230,131,10,0,67,7,445,1,11,457
