ID_ENTIDAD,ID_MUNICIPIO_LOCAL,PARTIDO_CI,CANDIDATURA
11,1,PAN,Briseida Anabel Magdaleno González
11,1,PRI,Juan Antonio Negrete Martínez
11,1,PRD,Marisela Espinosa Negrete
11,1,PVEM,María Verónica Hurtado Ramírez
11,1,PT,Ma. Lourdes Negrete Santacruz
11,1,MC,Ana Teresa García Rizo
11,1,MORENA,Job Eduardo Gallardo Santellano
11,2,PAN,Claudia Silva Campos
11,2,PRI,Claudia Silva Campos
11,2,PRD,Claudia Silva Campos
11,2,PVEM,Paulet Fernández Martínez
11,2,PT,Mayra Alcantar León
11,2,MC,Tonathiu Albarrán Martínez
11,2,MORENA,Olga Lidia Tirado Zúñiga
11,3,PAN,María Verónica Agundis Estrada
11,3,PRI,Mauricio Trejo Pureco
11,3,PRD,Laura Lizbeth Aguilar León
11,3,PVEM,Mariana Verónica Arzola Zarate
11,3,PT,Ma. Guadalupe Serrato Monzón
11,3,MC,Dulce María Perales Betancourt
11,3,MORENA,Osvaldo García Arteaga
11,3,CI,Raúl Eugenio Ramírez Riba
11,4,PAN,Guadalupe Monserrat Mendoza Cano
11,4,PRI,Guadalupe Monserrat Mendoza Cano
11,4,PRD,Guadalupe Monserrat Mendoza Cano
11,4,PVEM,Kenia Laura Patiño Loyola
11,4,MC,Iván Ortiz Mandujano
11,4,MORENA,Evelyn Arteaga Vázquez
11,5,PAN,José Luis Oliveros Usabiaga
11,5,PRI,José Luis Oliveros Usabiaga
11,5,PRD,José Luis Oliveros Usabiaga
11,5,PVEM,José Juan Bravo Valenzuela
11,5,PT,Rosa María Moreno Hernández
11,5,MC,Consuelo Camargo Olvera
11,5,MORENA,Benito Juárez Arvizu
11,6,PAN,José Luis Rivas Loyola
11,6,PRI,J. Miguel Romero Sandoval
11,6,PRD,María del Carmen Orozco García
11,6,PT,Juan Manuel Espinoza Cervantes
11,6,MORENA,Tatiana Dorado Mejía
11,7,PAN,Francisco Javier Mendoza Márquez
11,7,PRI,Francisco Javier Mendoza Márquez
11,7,PRD,Francisco Javier Mendoza Márquez
11,7,PVEM,Jorge Enrique Velázquez Centeno
11,7,PT,Jorge Alberto Acuña Dávalos
11,7,MC,Luis Guillermo Ortiz Alva
11,7,MORENA,Juan Miguel Ramirez Sanchez
11,8,PAN,Blanca Haydee Preciado Pérez
11,8,PRI,Gustavo Adolfo Alfaro Reyes
11,8,PVEM,Ana María Hernández Ayala
11,8,PT,Renato García González
11,8,MC,Liliana Lozano Rodríguez
11,8,MORENA,Mayra de Jesús Méndez Carvajal
11,9,PAN,Claudio Santoyo Cabello
11,9,PRI,Viridiana Yunuen Ramírez Estrada
11,9,PRD,Miguel Ángel Prado Camacho
11,9,PVEM,Claudia Elisa Rodríguez Moreno
11,9,PT,Felipe Vargas Vazquez
11,9,MC,Karim Isidro Flores Pérez
11,9,MORENA,Gilberto Zarate Nieves
11,10,PAN,Luis Fernando Velázquez Esquivel
11,10,PRI,Aurelio Cano Chaparro
11,10,PVEM,Argelia Soto Ruiz
11,10,MORENA,Edgar del Ángel García
11,11,PAN,Marlene de Anda Oliva
11,11,PRI,Marlene de Anda Oliva
11,11,PRD,Marlene de Anda Oliva
11,11,PVEM,Carlos Romero Villegas
11,11,PT,Dante Darío Rodríguez Juárez
11,11,MC,Marco Mauricio Estefanía Torres
11,11,MORENA,María de la Cruz Mata Medina
11,12,PAN,Ana Rosa Bueno Macías
11,12,PRI,Mauricio Arce Canchola
11,12,PVEM,Lorenzo Olmedo Rojas
11,12,PT,Humberto Hernández Martínez
11,12,MORENA,Rodolfo Bravo Ornelas
11,13,PAN,Christian Flavio Ríos Galicia
11,13,PRI,Christian Flavio Ríos Galicia
11,13,PRD,Christian Flavio Ríos Galicia
11,13,PVEM,Abigail Velázquez Escamilla
11,13,PT,Ramón Martínez Salazar
11,13,MC,Rubén Darío Piña Martínez
11,13,MORENA,Edgar Javier Reséndiz Jacobo
11,14,PAN,Adrián Hernández Alejandri
11,14,PRI,Adrián Hernández Alejandri
11,14,PRD,Adrián Hernández Alejandri
11,14,PVEM,Karla Maribel Castillo Alba
11,14,PT,Marisa Victoria Ramírez González
11,14,MC,Elizabeth Núñez Zúñiga
11,14,MORENA,José Julio González Landeros
11,15,PAN,Samantha Smith Gutiérrez
11,15,PRI,Samantha Smith Gutiérrez
11,15,PRD,Samantha Smith Gutiérrez
11,15,PVEM,Jose Roberto Saucedo Pimentel
11,15,PT,Paloma Robles Lacayo
11,15,MC,Liliana Alejandra Preciado Zárate
11,15,MORENA,Jorge Antonio Rodríguez Medrano
11,16,PAN,Rosa Isela Rabia Saldaña
11,16,PRI,Elizabeth Teresita Rodríguez García
11,16,PRD,José Antonio Contreras Armenta
11,16,PVEM,Laura Villalpando Arroyo
11,16,MC,Ma. Carmen Castañeda Gomez
11,16,MORENA,Rosa Elena Saldaña Ávila
11,17,PAN,Lorena del Carmen Alfaro García
11,17,PRI,Lorena del Carmen Alfaro García
11,17,PRD,Lorena del Carmen Alfaro García
11,17,PVEM,Lluvia Araceli León Vega
11,17,PT,Víctor Manuel Saavedra Zamudio
11,17,MC,Alejandro Herrera Sánchez
11,17,MORENA,Irma Leticia González Sánchez
11,18,PAN,José González Ojeda
11,18,PRI,Ma. Guadalupe Samano Solorzano
11,18,PRD,María del Carmen Rivera Juárez
11,18,PVEM,Samuel Estrada Camargo
11,18,PT,Sonia Margarita Pinales Valdez
11,18,MC,Jorge Hortelano Pescador
11,18,MORENA,Daniel Cimental Barrón
11,19,PAN,María Isabel Ascevedo Mercado
11,19,PRI,María Isabel Ascevedo Mercado
11,19,PRD,María Isabel Ascevedo Mercado
11,19,PVEM,Miguel Martínez Rubio
11,19,MORENA,Felipe Carrillo Rodríguez
11,20,PAN,Alejandra Gutiérrez Campos
11,20,PRI,Hilda Zukeyli López Jiménez
11,20,PRD,Karla Gisela Lira Díaz
11,20,PVEM,Gerardo Fernández González
11,20,PT,Michel Vladimir Santos Salcedo
11,20,MC,Juan Pablo Delgado Miranda
11,20,MORENA,Vanessa Montes de Oca Mayagoitia
11,21,PAN,Nadya Aguilar Vieyra
11,21,PRI,Nadya Aguilar Vieyra
11,21,PRD,Nadya Aguilar Vieyra
11,21,PVEM,Nancy Torres Juárez
11,21,PT,Karol Almanza Magaña
11,21,MC,Alma Denisse Sánchez Barragán
11,21,MORENA,Stephanie Balcázar López
11,22,PAN,Erick Silvano Montemayor Lara
11,22,PRI,Erick Silvano Montemayor Lara
11,22,PRD,Erick Silvano Montemayor Lara
11,22,PVEM,Juan Carlos López Buendía
11,22,MC,Victoria Alejandra Mendoza Franco
11,22,MORENA,Sandra Martínez Capuchino
11,23,PAN,Omar Gregorio Mendoza Flores
11,23,PRI,Juan José Balver González
11,23,PVEM,Natalia Navarrete Negrete
11,23,PT,Lucila Casillas Vargas
11,23,MC,Carlos Alberto Castillo Cruz
11,23,MORENA,Yozajamby Florencia Molina Balver
11,24,PAN,Leonardo Solórzano Villanueva
11,24,PRI,Leonardo Solórzano Villanueva
11,24,PRD,Leonardo Solórzano Villanueva
11,24,PVEM,Leticia Laguna Soria
11,24,MC,Erika Teresita Zavala Sánchez
11,24,MORENA,Wendy Olivia Mendoza Govea
11,25,PAN,Roberto García Urbano
11,25,PRI,Roberto García Urbano
11,25,PRD,Roberto García Urbano
11,25,PVEM,Juan Muñoz Gutiérrez
11,25,PT,Raquel Márquez Zermeño
11,25,MC,Víctor Manuel González Reyes
11,25,MORENA,Mónica Guadalupe López Hernández
11,26,PAN,Pedro Kiyoshi Tanamachi Reyes
11,26,PRI,J. Jesús Granados Calderón
11,26,PVEM,Héctor Jesús Hernández Barroso
11,26,MC,Xóchitl Domínguez Pérez
11,26,MORENA,Ma. Isabel Jacinto Rocha
11,27,PAN,Gerardo Arredondo Hernández
11,27,PRI,Gerardo Arredondo Hernández
11,27,PRD,Gerardo Arredondo Hernández
11,27,PVEM,María Concepción Cornejo Cruz
11,27,PT,Israel Marmolejo Arellano
11,27,MC,Coral Valencia Bustos
11,27,MORENA,Julio César Ernesto Prieto Gallardo
11,28,PAN,Ma. Teresa Botello Álvarez
11,28,PRI,Ismael Flores Rodríguez
11,28,PVEM,Lesliepebels Montserrat Pérez Velázquez
11,28,PT,Francisco Javier Rosas Saavedra
11,28,MC,Linda Karen Castillo Hernández
11,28,MORENA,José Daniel Sámano Jiménez
11,29,PAN,Nancy Piña Mendoza
11,29,PRI,Juan Carlos Castillo Cantero
11,29,PRD,Juan Raúl Rodríguez Cárdenas
11,29,PVEM,Eric Pérez Cárdenas
11,29,PT,Judith López Herrera
11,29,MC,Claudia Muñoz Cárdenas
