Clave,MUNICIPIO:    ,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,NULOS,TOTAL
1,ACAPULCO DE JUAREZ,1,B,0,97,167,0,3,7,6,280
1,ACAPULCO DE JUAREZ,1,C,0,107,175,0,3,7,9,301
1,ACAPULCO DE JUAREZ,2,B,0,85,121,0,2,0,8,216
1,ACAPULCO DE JUAREZ,2,C,0,94,120,0,4,2,8,228
1,ACAPULCO DE JUAREZ,3,B,0,110,94,0,0,0,0,204
1,ACAPULCO DE JUAREZ,3,CA,0,124,84,0,2,1,8,219
1,ACAPULCO DE JUAREZ,3,CB,0,94,92,0,0,0,8,194
1,ACAPULCO DE JUAREZ,4,B,0,93,102,0,2,1,11,209
1,ACAPULCO DE JUAREZ,4,C,0,84,94,0,1,1,5,185
1,ACAPULCO DE JUAREZ,5,B,0,54,107,0,0,0,5,166
1,ACAPULCO DE JUAREZ,5,C,0,70,85,0,0,1,1,157
1,ACAPULCO DE JUAREZ,6,B,0,59,108,0,4,0,2,173
1,ACAPULCO DE JUAREZ,6,C,0,50,103,0,3,1,7,164
1,ACAPULCO DE JUAREZ,7,B,0,112,111,0,5,1,4,233
1,ACAPULCO DE JUAREZ,7,C,0,115,111,0,3,0,4,233
1,ACAPULCO DE JUAREZ,8,B,0,67,102,0,2,0,6,177
1,ACAPULCO DE JUAREZ,8,C,0,72,120,0,0,0,0,192
1,ACAPULCO DE JUAREZ,9,B,0,103,77,0,1,2,2,185
1,ACAPULCO DE JUAREZ,9,C,0,103,95,0,0,0,2,200
1,ACAPULCO DE JUAREZ,10,B,0,148,166,0,1,3,22,340
1,ACAPULCO DE JUAREZ,11,B,0,74,80,0,3,1,3,161
1,ACAPULCO DE JUAREZ,11,C,0,59,70,0,3,0,3,135
1,ACAPULCO DE JUAREZ,12,B,0,92,106,0,2,1,4,205
1,ACAPULCO DE JUAREZ,12,C,0,89,109,0,2,1,1,202
1,ACAPULCO DE JUAREZ,13,B,0,139,132,0,0,1,7,279
1,ACAPULCO DE JUAREZ,13,C,0,133,133,0,1,1,8,276
1,ACAPULCO DE JUAREZ,14,B,0,165,129,0,0,0,0,294
1,ACAPULCO DE JUAREZ,14,E,0,0,0,0,0,0,0,0
1,ACAPULCO DE JUAREZ,15,B,0,111,96,0,0,2,4,213
1,ACAPULCO DE JUAREZ,15,C,0,138,108,0,2,0,4,252
1,ACAPULCO DE JUAREZ,16,B,0,77,97,0,0,1,4,179
1,ACAPULCO DE JUAREZ,16,C,0,89,90,0,2,2,6,189
1,ACAPULCO DE JUAREZ,17,B,0,87,101,0,12,0,2,202
1,ACAPULCO DE JUAREZ,17,C,0,86,93,0,7,1,3,190
1,ACAPULCO DE JUAREZ,18,B,0,153,107,0,2,0,6,268
1,ACAPULCO DE JUAREZ,18,C,0,134,121,0,2,0,4,261
1,ACAPULCO DE JUAREZ,19,B,0,121,109,0,2,0,1,233
1,ACAPULCO DE JUAREZ,19,C,0,121,107,0,1,2,3,234
1,ACAPULCO DE JUAREZ,20,B,0,163,104,0,2,1,3,273
1,ACAPULCO DE JUAREZ,20,C,0,156,115,0,1,2,2,276
1,ACAPULCO DE JUAREZ,21,B,0,129,126,0,3,3,6,267
1,ACAPULCO DE JUAREZ,21,C,0,131,147,0,3,1,2,284
1,ACAPULCO DE JUAREZ,22,B,0,86,125,0,4,1,7,223
1,ACAPULCO DE JUAREZ,22,C,0,82,129,0,2,2,9,224
1,ACAPULCO DE JUAREZ,23,B,0,99,142,0,1,1,4,247
1,ACAPULCO DE JUAREZ,23,CA,0,80,145,0,0,0,4,229
1,ACAPULCO DE JUAREZ,23,CB,0,86,140,0,1,2,4,233
1,ACAPULCO DE JUAREZ,24,B,0,135,215,0,4,0,4,358
1,ACAPULCO DE JUAREZ,24,C,0,132,229,0,8,1,7,377
1,ACAPULCO DE JUAREZ,25,B,0,138,166,0,1,1,2,308
1,ACAPULCO DE JUAREZ,25,CA,0,119,172,0,3,2,4,300
1,ACAPULCO DE JUAREZ,25,CB,0,127,168,0,3,0,4,302
1,ACAPULCO DE JUAREZ,26,B,0,104,183,0,2,0,7,296
1,ACAPULCO DE JUAREZ,26,C,0,118,163,0,0,3,4,288
1,ACAPULCO DE JUAREZ,27,B,0,91,113,0,3,2,4,213
1,ACAPULCO DE JUAREZ,27,CA,0,82,137,0,0,0,3,222
1,ACAPULCO DE JUAREZ,27,CB,0,89,117,0,2,0,4,212
1,ACAPULCO DE JUAREZ,28,B,0,100,119,0,0,2,10,231
1,ACAPULCO DE JUAREZ,28,C,0,110,139,0,1,2,5,257
1,ACAPULCO DE JUAREZ,29,B,0,94,188,0,2,3,6,293
1,ACAPULCO DE JUAREZ,29,C,0,92,181,0,2,5,5,285
1,ACAPULCO DE JUAREZ,30,B,0,114,155,0,3,5,9,286
1,ACAPULCO DE JUAREZ,30,C,0,128,172,0,1,0,8,309
1,ACAPULCO DE JUAREZ,31,B,0,121,104,0,1,0,3,229
1,ACAPULCO DE JUAREZ,31,CA,0,126,88,0,1,3,0,218
1,ACAPULCO DE JUAREZ,31,CB,0,124,114,0,3,2,10,253
1,ACAPULCO DE JUAREZ,31,CC,0,122,114,0,5,1,4,246
1,ACAPULCO DE JUAREZ,32,B,0,146,161,0,8,5,1,321
1,ACAPULCO DE JUAREZ,32,C,0,134,174,0,4,3,7,322
1,ACAPULCO DE JUAREZ,33,B,0,85,161,0,2,2,10,260
1,ACAPULCO DE JUAREZ,33,CA,0,92,171,0,1,1,5,270
1,ACAPULCO DE JUAREZ,33,CB,0,89,162,0,2,7,2,262
1,ACAPULCO DE JUAREZ,34,B,0,87,98,0,0,1,8,194
1,ACAPULCO DE JUAREZ,34,C,0,93,112,0,3,1,5,214
1,ACAPULCO DE JUAREZ,35,B,0,71,118,0,0,0,4,193
1,ACAPULCO DE JUAREZ,35,C,0,63,120,0,0,0,5,188
1,ACAPULCO DE JUAREZ,36,B,0,123,112,0,1,0,2,238
1,ACAPULCO DE JUAREZ,36,CA,0,101,118,0,0,0,4,223
1,ACAPULCO DE JUAREZ,36,CB,0,118,135,0,0,0,5,258
1,ACAPULCO DE JUAREZ,37,B,0,74,139,0,2,3,3,221
1,ACAPULCO DE JUAREZ,37,C,0,87,136,0,1,0,8,232
1,ACAPULCO DE JUAREZ,38,B,0,97,157,0,1,0,5,260
1,ACAPULCO DE JUAREZ,38,CA,0,80,155,0,0,0,6,241
1,ACAPULCO DE JUAREZ,38,CB,0,104,150,0,2,1,2,259
1,ACAPULCO DE JUAREZ,39,B,0,93,220,0,3,2,3,321
1,ACAPULCO DE JUAREZ,39,CA,0,99,181,0,1,2,7,290
1,ACAPULCO DE JUAREZ,39,CB,0,124,187,0,3,2,5,321
1,ACAPULCO DE JUAREZ,40,B,0,99,139,0,3,0,5,246
1,ACAPULCO DE JUAREZ,40,C,0,95,148,0,1,0,5,249
1,ACAPULCO DE JUAREZ,41,B,0,84,129,0,0,6,3,222
1,ACAPULCO DE JUAREZ,41,CA,0,79,159,0,3,1,7,249
1,ACAPULCO DE JUAREZ,41,CB,0,91,144,0,3,0,4,242
1,ACAPULCO DE JUAREZ,42,B,0,104,161,0,5,1,9,280
1,ACAPULCO DE JUAREZ,42,CA,0,106,144,0,6,0,5,261
