id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,PSN,PC,PAS,PRI-PVEM,Nulos,Total
13,10/11/2002,12,Ayuntamientos,13,0,373,1,B,Basica,0,23,FRANCISCO I. MADERO,716,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,373,0,201,231,0,0,0,7,3,0,3,445
13,10/11/2002,12,Ayuntamientos,13,0,375,1,B,Basica,0,23,FRANCISCO I. MADERO,710,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,375,0,233,181,0,0,0,3,1,0,6,424
13,10/11/2002,12,Ayuntamientos,13,0,387,1,B,Basica,0,24,HUASCA DE OCAMPO,681,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,387,141,203,13,0,0,0,0,0,0,8,365
13,10/11/2002,12,Ayuntamientos,13,0,400,1,B,Basica,0,24,HUASCA DE OCAMPO,509,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,400,163,103,13,0,0,0,0,0,0,8,287
13,10/11/2002,12,Ayuntamientos,13,0,406,1,C,Contigua,0,25,HUAUTLA,473,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,406,114,117,0,12,0,0,0,0,0,35,278
13,10/11/2002,12,Ayuntamientos,13,0,411,1,B,Basica,0,25,HUAUTLA,488,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,411,29,87,0,8,0,0,0,0,0,114,238
13,10/11/2002,12,Ayuntamientos,13,0,412,1,B,Basica,0,25,HUAUTLA,324,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,412,6,14,0,0,0,0,0,0,0,78,98
13,10/11/2002,12,Ayuntamientos,13,0,413,1,B,Basica,0,25,HUAUTLA,508,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,413,169,144,0,16,0,0,0,0,0,27,356
13,10/11/2002,12,Ayuntamientos,13,0,429,1,C,Contigua,0,25,HUAUTLA,434,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,429,85,104,0,36,0,0,0,0,0,53,278
13,10/11/2002,12,Ayuntamientos,13,0,431,1,C,Contigua,0,26,HUAZALINGO,508,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,431,53,114,0,23,0,0,0,0,0,95,285
13,10/11/2002,12,Ayuntamientos,13,0,432,1,B,Basica,0,26,HUAZALINGO,415,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,432,41,105,0,5,0,0,0,0,0,158,309
13,10/11/2002,12,Ayuntamientos,13,0,434,1,B,Basica,0,26,HUAZALINGO,581,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,434,0,0,0,0,0,0,0,0,0,0,0
13,10/11/2002,12,Ayuntamientos,13,0,441,1,B,Basica,0,27,HUEHUETLA,608,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,441,21,150,249,4,0,0,0,0,0,12,436
13,10/11/2002,12,Ayuntamientos,13,0,443,1,B,Basica,0,27,HUEHUETLA,699,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,443,15,262,198,1,0,0,0,0,0,13,489
13,10/11/2002,12,Ayuntamientos,13,0,444,1,B,Basica,0,27,HUEHUETLA,734,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,444,6,230,260,1,0,0,0,0,0,19,516
13,10/11/2002,12,Ayuntamientos,13,0,445,1,B,Basica,0,27,HUEHUETLA,221,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,445,4,98,46,2,0,0,0,0,0,8,158
13,10/11/2002,12,Ayuntamientos,13,0,448,1,B,Basica,0,27,HUEHUETLA,611,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,448,69,132,110,7,0,0,0,0,0,38,356
13,10/11/2002,12,Ayuntamientos,13,0,453,1,C,Contigua,0,27,HUEHUETLA,488,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,453,46,169,64,3,0,0,0,0,0,16,298
13,10/11/2002,12,Ayuntamientos,13,0,455,1,B,Basica,0,27,HUEHUETLA,512,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,455,27,131,68,0,0,0,0,0,0,46,272
13,10/11/2002,12,Ayuntamientos,13,0,460,1,C,Contigua,0,28,HUEJUTLA DE REYES,689,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,460,159,111,0,10,47,0,0,0,0,15,342
13,10/11/2002,12,Ayuntamientos,13,0,461,1,C,Contigua,0,28,HUEJUTLA DE REYES,503,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,461,106,80,0,3,93,2,0,0,0,5,289
13,10/11/2002,12,Ayuntamientos,13,0,461,2,C,Contigua,0,28,HUEJUTLA DE REYES,503,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,461,109,101,0,2,79,2,0,0,0,11,304
13,10/11/2002,12,Ayuntamientos,13,0,464,1,B,Basica,0,28,HUEJUTLA DE REYES,586,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,464,149,100,0,2,77,3,0,0,0,8,339
13,10/11/2002,12,Ayuntamientos,13,0,464,1,C,Contigua,0,28,HUEJUTLA DE REYES,587,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,464,113,91,0,1,53,1,0,0,0,80,339
13,10/11/2002,12,Ayuntamientos,13,0,470,2,C,Contigua,0,28,HUEJUTLA DE REYES,687,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,470,173,89,0,4,87,2,0,0,0,14,369
13,10/11/2002,12,Ayuntamientos,13,0,472,1,B,Basica,0,28,HUEJUTLA DE REYES,600,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,472,281,20,0,0,6,8,0,0,0,44,359
13,10/11/2002,12,Ayuntamientos,13,0,474,1,B,Basica,0,28,HUEJUTLA DE REYES,395,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,474,66,98,0,0,45,2,0,0,0,20,231
13,10/11/2002,12,Ayuntamientos,13,0,474,1,C,Contigua,0,28,HUEJUTLA DE REYES,396,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,474,50,112,0,3,59,7,0,0,0,148,379
13,10/11/2002,12,Ayuntamientos,13,0,477,1,B,Basica,0,28,HUEJUTLA DE REYES,648,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,477,149,170,0,2,68,6,0,0,0,9,404
13,10/11/2002,12,Ayuntamientos,13,0,483,1,C,Contigua,0,28,HUEJUTLA DE REYES,591,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,483,231,83,0,2,4,0,0,0,0,37,357
