"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","PRI-VERDE-NUEVA ALIANZA","PRI-VERDE","PRI-NUEVA ALIANZA","VERDE-NUEVA ALIANZA","NÉSTOR MEJÍA NERI","NO REGISTRADO","NULO","...20"
"Acaxochitlán","13","BASICA","25","144","37","10","6","7","6","49","0","2","0","0","0","137","0","11",NA
"Acaxochitlán","13","CONTIGUA 1","33","183","40","4","3","3","3","51","0","3","1","0","0","114","3","12",NA
"Acaxochitlán","13","CONTIGUA 2","45","163","36","5","3","4","3","50","0","1","0","0","0","149","0","15",NA
"Acaxochitlán","14","BASICA","27","136","53","6","1","6","4","62","0","0","0","0","0","57","0","17",NA
"Acaxochitlán","14","CONTIGUA 1","35","125","40","5","2","4","1","39","0","2","0","0","0","93","0","16",NA
"Acaxochitlán","14","CONTIGUA 2","39","144","43","4","2","2","1","59","0","0","1","0","0","78","0","0",NA
"Acaxochitlán","15","BASICA","6","112","24","21","4","4","6","9","0","0","0","1","0","67","0","21",NA
"Acaxochitlán","16","BASICA","77","104","5","21","2","13","5","7","0","0","0","0","0","207","0","43",NA
"Acaxochitlán","17","BASICA","29","52","4","8","3","10","1","14","0","0","0","0","0","79","0","25",NA
"Acaxochitlán","17","CONTIGUA 1","28","78","4","7","1","8","3","14","0","0","0","0","0","61","0","16",NA
"Acaxochitlán","18","BASICA","4","53","1","1","3","0","1","4","0","0","0","0","0","12","0","7",NA
"Acaxochitlán","19","BASICA","25","119","36","8","0","5","0","57","0","0","0","0","0","16","0","16",NA
"Acaxochitlán","19","CONTIGUA 1","20","118","33","9","2","3","5","61","0","0","0","0","0","15","0","15",NA
"Acaxochitlán","20","BASICA","46","114","14","11","16","3","5","9","0","0","3","0","0","32","0","24",NA
"Acaxochitlán","20","CONTIGUA 1","32","103","4","14","22","3","1","14","0","2","1","0","0","32","0","20","ANULADA"
"Acaxochitlán","21","BASICA","43","116","9","13","12","2","12","12","0","1","0","0","0","50","0","21",NA
"Acaxochitlán","21","CONTIGUA 1","38","144","7","17","14","2","4","14","0","7","0","0","0","41","0","19",NA
"Acaxochitlán","21","CONTIGUA 2","31","122","3","14","9","3","6","13","0","3","6","1","0","40","0","18",NA
"Acaxochitlán","22","BASICA","82","70","16","8","18","2","2","17","0","2","2","2","0","46","0","10","ANULADA"
"Acaxochitlán","22","CONTIGUA 1","79","111","11","8","13","2","4","13","0","1","2","0","0","42","0","13",NA
"Acaxochitlán","22","CONTIGUA 2","75","89","14","9","15","2","3","11","0","6","2","0","0","57","0","18","ANULADA"
"Acaxochitlán","23","BASICA","54","186","18","6","11","2","2","24","0","0","0","1","0","102","0","15",NA
"Acaxochitlán","23","CONTIGUA 1","62","168","9","11","2","2","5","17","0","1","1","0","0","78","0","20",NA
"Acaxochitlán","23","CONTIGUA 2","64","171","9","16","6","0","5","10","0","3","3","0","0","88","3","8",NA
"Acaxochitlán","24","BASICA","20","142","14","18","1","4","0","31","0","1","1","1","0","218","0","23",NA
"Acaxochitlán","24","CONTIGUA 1","12","156","12","23","8","0","7","34","0","1","2","1","0","214","0","10",NA
"Acaxochitlán","24","CONTIGUA 2","18","97","16","13","4","3","5","12","0","0","0","0","0","276","1","19",NA
"Acaxochitlán","25","BASICA","19","124","29","5","3","1","10","22","0","1","1","1","0","120","0","23",NA
"Acaxochitlán","25","EXTRAORDINARIA 1","36","68","23","12","2","4","6","26","0","0","2","0","0","102","0","15",NA
"Acaxochitlán","25","EXTRAORDINARIA 1 CONTIGUA 1","39","69","27","9","1","3","1","27","0","1","1","2","0","96","2","5",NA
"Acaxochitlán","26","BASICA","54","96","25","9","6","7","8","35","0","0","0","0","0","106","0","18",NA
"Acaxochitlán","27","BASICA","24","100","13","5","5","6","3","148","0","0","2","1","0","73","0","26",NA
"Acaxochitlán","27","CONTIGUA 1","40","100","33","11","4","1","4","164","0","0","0","0","0","81","0","15",NA
"Acaxochitlán","27","CONTIGUA 2","29","87","14","15","9","0","3","190","0","0","0","0","0","84","0","18",NA
"Acaxochitlán","27","CONTIGUA 3","43","48","14","16","13","7","5","218","0","0","0","0","0","66","0","28",NA
"Acaxochitlán","28","BASICA","9","105","9","6","13","4","4","130","0","0","0","0","0","29","0","9",NA
"Acaxochitlán","28","CONTIGUA 1","8","79","8","5","12","4","2","143","0","0","0","0","0","0","0","0",NA
"Acaxochitlán","29","BASICA","18","126","68","21","24","4","5","25","0","2","0","0","0","77","0","9",NA
"Acaxochitlán","29","CONTIGUA 1","18","116","49","30","20","5","3","29","0","1","2","0","1","85","0","5",NA
"Acaxochitlán","29","CONTIGUA 2","22","156","49","25","9","2","5","18","0","1","0","0","0","83","0","10",NA
"Acaxochitlán","30","BASICA","22","91","24","26","25","8","7","152","0","0","3","0","0","45","1","22",NA
