"Municipio","Sección","Casilla","Partido Acción Nacional","Partido Revolucionario Institucional","Partido de la Revolución Democrática","Partido del Trabajo","Partido Verde Ecologista de México","Partido Movimiento Ciudadano","Partido Nueva Alianza","Partido Morena","Partido Encuentro Social","NO REGISTRADO","NULO"
"Almoloya","114","BASICA","40","121","11","103","0","43","43","5","8","1","4"
"Almoloya","114","CONTIGUA 1","45","113","17","103","0","43","47","5","0","0","9"
"Almoloya","114","CONTIGUA 2","29","132","8","82","0","65","69","12","5","0","9"
"Almoloya","114","CONTIGUA 3","33","128","13","73","0","54","56","11","5","0","9"
"Almoloya","115","BASICA","50","114","9","133","0","49","37","3","14","0","18"
"Almoloya","115","CONTIGUA 1","54","158","15","118","0","70","22","5","5","0","11"
"Almoloya","116","BASICA","7","54","25","13","0","1","6","2","0","0","4"
"Almoloya","117","BASICA","36","107","46","36","0","8","7","1","2","0","2"
"Almoloya","118","BASICA","53","45","5","42","0","14","10","1","0","0","1"
"Almoloya","119","BASICA","40","96","2","104","0","20","21","3","3","0","4"
"Almoloya","120","BASICA","24","43","7","31","0","4","2","2","0","0","0"
"Almoloya","121","BASICA","20","73","4","70","0","36","48","4","5","0","6"
"Almoloya","121","CONTIGUA 1","28","88","4","63","0","31","22","6","3","0","9"
"Almoloya","122","BASICA","34","156","16","116","0","62","38","13","7","0","12"
"Almoloya","123","BASICA","9","88","26","69","0","25","25","4","2","0","3"
"Almoloya","124","BASICA","19","65","31","51","0","15","15","22","1","0","3"
"Almoloya","125","BASICA","21","75","24","58","0","74","4","4","2","0","4"
"Almoloya","126","BASICA","50","144","17","65","0","67","23","5","3","0","9"
